,artist_name,album_name,release_date,total_tracks
0,ROSALÍA,Motomami +,2022-09-09,24
1,ROSALÍA,Motomami,2022-03-18,16
2,ROSALÍA,El Mal Querer,2018-11-02,11
3,ROSALÍA,Los Ángeles,2017-02-10,12
4,ROSALÍA,Rr,2023-03-24,3
5,ROSALÍA,Llylm,2023-01-27,1
6,ROSALÍA,Despechá Rmx,2022-12-16,1
7,ROSALÍA,Bizcochito (Leord Y Haraca Kiko Remix) (Feat. Haraca Kiko),2022-10-20,1
8,Romeo Santos,El Pañuelo,2022-08-30,1
9,ROSALÍA,Despechá,2022-07-28,1
10,Tokischa,Linda,2021-09-01,1
11,Billie Eilish,Lo Vas A Olvidar (With Rosalía),2021-01-21,1
13,The Weeknd,Blinding Lights (Remix),2020-12-04,1
14,ROSALÍA,Tkn (Feat. Travis Scott),2020-05-28,1
15,ROSALÍA,Dolerme,2020-03-24,1
16,ROSALÍA,Juro Que,2020-01-23,1
17,ROSALÍA,A Palé,2019-11-07,1
18,ROSALÍA,"Yo X Ti, Tu X Mi",2019-08-15,1
19,ROSALÍA,Fucking Money Man,2019-07-03,2
0,Rauw Alejandro,Saturno,2023-01-24,18
1,Rauw Alejandro,Trap Cake Vol. 2,2022-02-25,9
2,Rauw Alejandro,Vice Versa,2021-12-10,14
3,Rauw Alejandro,Afrodisíaco,2020-11-13,16
4,Rauw Alejandro,Concierto Virtual En Tiempos De Covid-19 Desde El Coliseo De Puerto Rico,2020-05-29,17
5,Rauw Alejandro,"Trap Cake, Vol. 1",2019-05-31,7
6,ROSALÍA,Rr,2023-03-24,3
7,Rauw Alejandro,Tamo En Nota,2023-02-13,1
8,Rauw Alejandro,Panties Y Brasieres,2023-01-26,1
9,Rauw Alejandro,Lejos Del Cielo,2022-11-10,1
10,Rauw Alejandro,Dime Quién????,2022-10-28,1
11,Rauw Alejandro,Punto 40,2022-09-22,1
12,Rauw Alejandro,Lokera,2022-07-25,1
13,Tainy,Sci-Fi,2022-07-21,1
14,De La Ghetto,Loco Por Perrearte (Remix),2022-06-03,1
15,Shakira,Te Felicito,2022-04-21,1
