,artist_name,album_name,release_date,total_tracks
0,TOTO,ライヴ・アット・武道館1982 (Live),2021-07-09,21
1,TOTO,With A Little Help From My Friends (Live),2021-06-25,12
3,TOTO,"Shinjuku, Tokyo, Japan, Koseinenkin Kaikan, March 12",2021-05-06,8
4,TOTO,デビュー40周年記念ライヴ40ツアーズ・アラウンド・ザ・サン,2019-01-30,26
5,TOTO,Old Is New,2018-11-06,10
6,TOTO,40 Tours Around The Sun (Live),2018-10-12,26
7,TOTO,Toto Xiv,2015-03-23,11
9,TOTO,Toto Xiv (With Commentary),2015-03-20,22
10,TOTO,Toto Xiv~聖剣の絆,2015-03-18,12
12,TOTO,35Th Anniversary: Live In Poland,2014-01-01,21
14,TOTO,"35Th Anniversary: Live In Poland (Live At The Atlas Arena, Lodz, Poland/2013)",2014-01-01,12
15,TOTO,Toto Falling In Between Live,2008-01-01,23
16,TOTO,Falling In Between Live,2007-10-29,23
17,TOTO,Falling In Between Live (Disc 2),2007-01-01,12
18,TOTO,Falling In Between Live (Disc 1),2007-01-01,11
0,Rick Astley,Whenever You Need Somebody (Deluxe Edition - 2022 Remaster),2022-05-20,36
2,Rick Astley,The Best Of Me,2019-12-29,31
4,Rick Astley,Beautiful Life,2018-07-13,12
6,Rick Astley,50,2016-06-10,12
8,Rick Astley,Portrait,2005-10-15,13
10,Rick Astley,3 Originals,2002-12-07,31
11,Rick Astley,Body & Soul,1993-09-09,10
13,Rick Astley,Free,1991-02-25,11
15,Rick Astley,Hold Me In Your Arms,1988-11-26,10
17,Rick Astley,Whenever You Need Somebody,1987-11-12,10
19,Rick Astley,Giving Up On Love Ep,2023-04-28,4
0,Falco,Einzelhaft (Deluxe Version),2023-01-27,28
1,Falco,Falco Symphonic (Live),2022-09-23,13
2,Falco,Falco - The Box,2022-02-11,36
3,Falco,Falco 65,2022-02-04,29
4,Falco,Falco - Sterben Um Zu Leben,2018-05-25,24
5,Falco,Falco Coming Home - The Tribute Donauinselfest 2017 (Live),2018-02-02,17
6,Falco,Exquisite,2016-02-19,8
7,Falco,Nachtflug (Remastered 2012),2012-01-01,24
8,Falco,Out Of The Dark (Into The Light) [Remastered 2012],2012-01-01,25
9,Falco,Essential,2011-01-01,14
10,Falco,Falco 3 25Th Anniversary Edition,2010-10-22,16
11,Falco,Donauinsel Live,2009-02-27,13
13,Falco,Einzelhaft 25Th Anniversary Edition,2004-03-08,21
14,Falco,Falco Symphonic,2004-03-04,16
15,Falco,Live Forever,1999-11-29,13
16,Falco,Verdammt Wir Leben Noch,1999-10-18,12
17,Falco,Out Of The Dark (Into The Light),1998-02-27,10
18,Falco,Nachtflug,1992-09-24,10
19,Falco,Charisma Kommando (All Versions) [2022 Remaster],1990-05-25,6
0,New Kids On The Block,Selections From Philadelphia 2022,2023-04-24,7
1,New Kids On The Block,Hangin' Tough (30Th Anniversary),2019-03-08,18
2,New Kids On The Block,Thankful (Unwrapped),2017-12-01,9
3,New Kids On The Block,10,2013-06-12,14
6,NKOTBSB,Nkotbsb,2011-05-24,13
7,New Kids On The Block,The Block (Deluxe Version),2008-01-01,19
8,New Kids On The Block,The Block,2008-01-01,15
12,New Kids On The Block,Face The Music,1993,14
13,New Kids On The Block,Step By Step,1990-06-04,12
14,New Kids On The Block,"Merry, Merry Christmas",1989,10
15,New Kids On The Block,Hangin' Tough,1988-09-02,10
16,New Kids On The Block,No More Games/The Remix Album,1988,12
17,New Kids On The Block,New Kids On The Block,1986-04-01,10
18,New Kids On The Block,Bring Back The Time,2022-03-03,1
19,New Kids On The Block,House Party,2020-04-24,1
0,Modern Talking,Back For Gold,2017-06-16,17
1,Modern Talking,Die Erfolgreichsten Hits (Remastered),2016-12-02,21
2,Modern Talking,50 Hits,2016-08-19,30
3,Modern Talking,Universe,2003-03-31,12
6,Modern Talking,Victory,2002-03-18,15
9,Modern Talking,America,2001-03-19,16
12,Modern Talking,Year Of The Dragon,2000-02-28,19
13,Modern Talking,2000 - Year Of The Dragon,2000-02-28,19
15,Modern Talking,Alone,1999-02-18,17
17,Modern Talking,Back For Good/2Nd,1998-09-21,18
19,Modern Talking,Back For Good,1998-03-01,18
0,Kenny Loggins,Listen To The Voices (Live 1988),2022-12-05,19
1,Kenny Loggins,One Night In Texas (Live 1982),2019-07-26,23
2,Kenny Loggins,How About Now,2007-02-20,12
5,Kenny Loggins,More Songs From Pooh Corner,2000,11
6,Kenny Loggins,December,1998-10-06,11
7,Kenny Loggins,The Unimaginable Life,1997-04-10,14
8,Kenny Loggins,Return To Pooh Corner,1994-05-20,10
9,Kenny Loggins,Outside: From The Redwoods,1993-07-20,13
10,Kenny Loggins,Leap Of Faith,1991-09-01,12
11,Kenny Loggins,Back To Avalon,1988-08-02,11
12,Kenny Loggins,Vox Humana,1985-05-02,9
13,Kenny Loggins,High Adventure,1982-07-17,9
15,Kenny Loggins,Alive,1980,18
16,Kenny Loggins,Keep The Fire,1979,9
17,Kenny Loggins,Nightwatch,1978,9
18,Kenny Loggins,Celebrate Me Home,1977,10
19,Kenny Loggins,"Farewell Concert 1976 (Live: Nassau Coliseum, Uniondale, Ny 21 Aug '76)",1976,16
0,Ivana Spagna,1954,2019-10-25,10
1,Ivana Spagna,Woman,2017-07-06,11
2,Ivana Spagna,L'Arte Di Arrangiarsi,2017-07-04,11
3,La Curva,Pazza Inter,2014-10-17,13
4,Ivana Spagna,Remember Easy Hits,2014-07-10,18
6,Ivana Spagna,Buon Natale,2012-12-10,12
7,Ivana Spagna,Un'Ora Con...,2012-06-26,14
8,Ivana Spagna,Il Cerchio Della Vita,2012-06-24,16
9,Ivana Spagna,Four,2012,10
10,Ivana Spagna,Diario Di Bordo: Voglia Di Sdraiarmi Al Sole,2009-04-22,11
11,Ivana Spagna,Diario Di Bordo,2009-03-18,8
12,Ivana Spagna,Ivana Spagna,2007-06-28,18
14,Ivana Spagna,I Grandi Successi,2006-02-01,50
15,Ivana Spagna,Le Sue Più Belle Canzoni,2004-08-27,31
17,Ivana Spagna,La Nostra Canzone,2001-05-16,10
18,Ivana Spagna,Domani,2000-02-22,13
19,Ivana Spagna,E Che Mai Sara',1998-05-07,16
0,Imagination,Flashback - Revised & Remixed Classics (40Th Anniversary Edition),2021-12-10,15
1,Imagination,Just An Illusion The Legacy (15 International Dj Remixes),2018-04-23,15
2,Imagination,"You Can Be All You Want To Be, Pt. 2 (9 International Remixes)",2018-02-12,9
3,Imagination,You Can Be All You Want To Be (16 Exclusive Dj Mixes),2017-11-22,16
4,Imagination,Retropia,2017,19
5,Imagination,Night Dubbing Ii (Feat. Errol Kennedy),2014-11-03,12
6,Imagination,Fascination Of The Physical,2011-10-31,27
7,Imagination,Night Dubbing,2011-06-27,8
8,Imagination,In The Heat Of The Night,2011-01-20,8
9,Imagination,Closer,1987,14
10,Imagination,Trilogy,1986,12
11,Imagination,Night Dubbing (Remastered 2023),1983-01-01,8
13,Imagination,Scandalous,1983,8
15,Imagination,Body Talk,1981,7
16,Imagination,Shake It,1980-07-17,8
17,Don Arcadio,Flashback,2023-01-20,1
18,Imagination,Burnin' Up,2022-08-24,2
19,Imagination,One In A Million (Feat. Errol Kennedy),2019-02-14,1
0,The Alan Parsons Project,Gaudi,1987-02-22,7
3,The Alan Parsons Project,Gaudi (Expanded Edition),1987,14
4,The Alan Parsons Project,Stereotomy (Expanded Edition),1985-11-01,13
