,artist_name,album_name,release_date,total_tracks
0,Amistades Peligrosas,Amistades Peligrosas El Regreso,2020-03-06,10
1,Amistades Peligrosas,El Arte De Amar,2013-05-21,9
2,Amistades Peligrosas,Lucha Rock,2012-10-22,15
3,Amistades Peligrosas,Serie Verde- Amistades Peligrosas,2007-09-21,10
4,Amistades Peligrosas,Original Masters,2005-02-15,22
5,Amistades Peligrosas,La Larga Espera,2003-04-16,11
6,Amistades Peligrosas,Nueva Era,1998,12
7,Amistades Peligrosas,La Profecía,1996,10
8,Amistades Peligrosas,La Ultima Tentación,1995,12
9,Amistades Peligrosas,Relatos De Una Intriga,1991,10
10,Amistades Peligrosas,Me Haces Tanto Bien (Versión 2023),2022-11-04,1
11,Amistades Peligrosas,Imprescindibles,2022-04-29,5
12,Amistades Peligrosas,Estoy Por Ti - 30 Aniversario,2021-09-14,1
13,Kike Ruiz,El Último Aplauso,2021-05-28,1
14,Amistades Peligrosas,Alto El Fuego,2021-05-07,1
15,Amistades Peligrosas,El Regreso,2020-03-06,1
16,Amistades Peligrosas,Con Los Brazos Abiertos (Madrid 2020),2013-08-20,1
17,Amistades Peligrosas,Me Haces Tanto Bien,2007-05-25,1
18,Amistades Peligrosas,Mis Mentiras,2004-06-23,1
19,Various Artists,80'S Freestyle,2021-11-12,29
0,Nacho Cano,Malinche Symphonic,2022-11-25,8
1,Nacho Cano,El Amargo Del Pomelo,2013-09-18,10
2,Nacho Cano,A. Un Musical De Nacho Cano,2008-12-02,17
3,Nacho Cano,"Amor, Humor",1999,11
4,Nacho Cano,El Lado Femenino,1996-10-14,10
5,Nacho Cano,Un Mundo Separado Por El Mismo Dios,1994-11-01,14
6,Nacho Cano,Hijo De La Guerra (Juan Magán Remix),2023-03-31,1
7,Banda El Recodo,México Mágico (El Recodo Mix Malinche),2023-03-17,1
8,Marta Hermida,"La Canción Del Norte, Neslitopis",2023-03-10,1
9,Banda El Recodo,México Mágico,2023-01-27,1
10,Nacho Cano,Himno Centenario Villarreal Cf,2022-12-28,6
11,Nacho Cano,Hijo De La Guerra,2022-12-09,1
12,Nacho Cano,Destino México Mágico,2022-05-13,1
14,Nacho Cano,Un Año Mas (En Directo / Sonorama Ribera 2019),2020-12-04,1
15,Nacho Cano,Barco A Venus (En Directo / Sonorama Ribera 2019),2020-11-13,1
16,Nacho Cano,La Fuerza Del Destino (En Directo / Sonorama Ribera 2019),2020-10-09,1
17,Nacho Cano,Vivimos Siempre Juntos (Kique 2015 House Remix) - Single,2015-11-02,1
18,Nacho Cano,Ha Nacido Un Gitano (Version Malu 2010),2009-12-08,1
19,Nacho Cano,Vivimos Siempre Juntos,2007-05-25,1
0,Mercedes Ferrer,Tiempo Real 2020,2020-02-21,14
1,Mercedes Ferrer,Carne Y Verso,2018-10-05,10
2,Mercedes Ferrer,Travesia,2009-06-16,10
3,Mercedes Ferrer,Intermedio 1986-2006,2006-05-08,18
4,Mercedes Ferrer,Tiempo Real,2003-09-09,10
5,Mercedes Ferrer,Generaciones,1996-12-26,13
6,Mercedes Ferrer,Tiempo Futuro,1994,11
7,Mercedes Ferrer,Iman,1991,12
8,Mercedes Ferrer,Tengo Todas Las Calles (Remasterizado 2021),1988,9
9,Mercedes Ferrer,Entre Mi Sombra Y Yo (Remasterizado 2021),1986,11
10,Mercedes Ferrer,Fieras Feroces,2023-04-21,5
11,Mercedes Ferrer,Supremacía Moral,2023-04-21,1
12,Mercedes Ferrer,Fuerza Distinta,2023-03-08,1
13,Mercedes Ferrer,Cuenta Vacía,2022-11-25,1
14,Mercedes Ferrer,Hacer Parecer,2022-10-14,1
