,artist_name,album_name,release_date,total_tracks
0,Roxette,Tourism 30Th Anniversary Edition,2023-02-17,34
1,PG Roxette,Pop-Up Dynamo!,2022-10-19,47
2,Roxette,Rox Rmx Vol. 1 (Remixes From The Roxette Vaults),2022-06-24,14
3,Roxette,Rox Rmx Vol. 2 (Remixes From The Roxette Vaults),2022-06-22,15
4,Roxette,Rox Rmx Vol. 3 (Remixes From The Roxette Vaults),2022-06-20,15
5,Roxette,Look Sharp! 30Th Anniversary Edition,2022-01-12,52
6,Roxette,Joyride 30Th Anniversary Edition,2021-11-26,52
7,Roxette,Bag Of Trix Vol. 4 (Music From The Roxette Vaults),2020-12-11,24
8,Roxette,Bag Of Trix Vol. 3 (Music From The Roxette Vaults),2020-11-27,22
9,Roxette,Bag Of Trix Vol. 2 (Music From The Roxette Vaults),2020-11-13,24
10,Roxette,Bag Of Trix Vol. 1 (Music From The Roxette Vaults),2020-10-30,25
11,Roxette,Good Karma,2016-06-03,11
12,Roxette,"Travelling The World Live At Caupolican, Santiago, Chile May 5, 2012",2013-12-06,18
13,Roxette,Travelling,2012-03-23,15
17,Roxette,Charm School (Deluxe Edition),2011-02-11,24
18,Roxette,Charm School (Extended Version),2011-02-11,27
19,Roxette,Charm School Revisited,2011-02-11,27
0,Erasure,Day-Glo (Based On A True Story),2022-08-12,10
3,Erasure,The Neon Remixed,2021-07-30,18
6,Erasure,The Neon,2020-08-21,10
9,Erasure,World Be Live,2018-07-06,24
12,Erasure,World Beyond (Feat. Echo Collective),2018-03-09,10
13,Erasure,World Beyond,2018-03-09,10
15,Erasure,Just A Little Love,2017-09-29,7
16,Erasure,World Be Gone,2017-07-28,7
0,Madonna,American Life (The Remixes),2023-04-21,8
1,Madonna,Ray Of Light (Single Remixes),2023-03-03,9
2,Madonna,You Can Dance (Single Edits),2022-11-17,7
3,Madonna,Rain,2022-11-11,6
4,Madonna,Bad Girl / Fever,2022-10-20,12
5,Madonna,Finally Enough Love: 50 Number Ones,2022-08-19,50
6,Madonna,Finally Enough Love,2022-06-24,16
7,Madonna,Madame X - Music From The Theater Xperience (Live),2021-10-08,20
8,Madonna,True Blue (35Th Anniversary Edition),2021-07-30,18
9,Madonna,Madame X (Deluxe),2019-06-14,15
10,Madonna,Madame X (International Deluxe),2019-06-14,18
11,Madonna,Rebel Heart Tour (Live),2017-09-15,22
12,Madonna,Rebel Heart (Super Deluxe),2015-03-10,25
13,Madonna,Rebel Heart (Deluxe),2015-03-10,19
14,Madonna,Rebel Heart,2015-03-10,14
17,Madonna,Mdna World Tour,2013-01-01,24
18,Madonna,Mdna,2012-01-01,18
19,Madonna,Mdna (Deluxe Version),2012-01-01,17
0,Cyndi Lauper,True Colors (35Th Anniversary Edition),2021-10-15,12
1,Cyndi Lauper,In Paris,2017-08-23,17
2,Cyndi Lauper,Spotify Sessions,2016-06-24,12
3,Cyndi Lauper,Detour,2016-05-06,12
4,Cyndi Lauper,She'S So Unusual - Spotify Commentary,2014-04-01,8
