,artist_name,album_name,release_date,total_tracks
0,Loquillo,Diario De Una Tregua,2022-04-29,10
1,Loquillo,El Último Clásico,2019-11-22,10
2,Loquillo,Salud Y Rock And Roll,2016-12-09,34
3,Loquillo,Viento Del Este (Remaster 2017),2016-12-01,12
4,Loquillo,Viento Del Este,2016-04-22,12
5,Loquillo,Código Rocker (Remastered 2017),2015-12-01,14
6,Loquillo,El Creyente,2014-04-29,26
7,Loquillo,La Nave De Los Locos (Remaster 2017),2012-12-01,10
8,Loquillo,La Nave De Los Locos,2012-10-23,10
9,Loquillo,Loquillo En Madrid,2012-06-08,18
10,Loquillo,Su Nombre Era El De Todas Las Mujeres (Remaster 2017),2011-12-01,10
11,Loquillo,Su Nombre Era El De Todas Las Mujeres,2011-09-30,10
12,Loquillo,Rock & Roll Star - 30 Años,2009-11-13,55
13,Loquillo,Balmoral,2008-04-08,16
14,Loquillo,Nueve Tragos,2007-05-22,9
15,Loquillo,Mujeres En Pie De Guerra (Banda Sonora Original),2004-12-01,9
16,Loquillo,Mujeres En Pie De Guerra,2004-10-04,9
17,Loquillo,Nueve Tragos (Remaster 2017),1999-12-01,9
18,Loquillo,Con Elegancia,1998-01-01,12
19,Loquillo,La Vida Por Delante [Edición Para Coleccionistas],1994-06-07,23
0,Mecano,Esencial Mecano,2013-06-18,30
1,Mecano,Siglo Xxi,2009-11-17,33
3,Mecano,Mecano,2005-03-10,13
4,Mecano,"Ana, José, Nacho",1998-03-24,30
8,Mecano,En Concierto (En Vivo),1998-01-02,12
9,Mecano,Aidalai,1991-05-27,14
11,Mecano,Aidalai (Bonus Track Edition),1991-05-27,14
13,Mecano,Descanso Dominical (Bonus Tracks Edition),1988-05-24,15
15,Mecano,Descanso Dominical / Une Femme Avec Une Femme,1988-05-24,12
18,Mecano,Entre El Cielo Y El Suelo (Bonus Tracks Edition),1986-06-16,14
0,LOS NIKIS,Los Nikis Contraatacan. Todas Sus Grabaciones De Estudio De Los Siglos Xx Y Xxi,2019-09-27,65
1,LOS NIKIS,Mi Chica Se Ha Ido A Benidorm,1995-04-04,17
2,LOS NIKIS,La Hormigonera Asesina,1989-04-04,12
3,LOS NIKIS,Submarines A Pleno Sol,1987,8
4,LOS NIKIS,Marines A Pleno Sol,1986-04-04,16
5,XpresidentX,El Imperio Contraataca,2022-02-18,1
6,LOS NIKIS,Menos De Lo Mismo Vol. I,2019-02-01,4
7,LOS NIKIS,La Madre De Jimena,2019-01-22,1
8,LOS NIKIS,Me Confunden Con Un Hipster,2018-12-20,1
9,LOS NIKIS,Sangre En El Museo De Cera,1982-09-01,4
10,LOS NIKIS,La Amenaza Amarilla,1982-07-01,4
11,Various Artists,Rock En Español,2023-04-28,30
12,Various Artists,Latin Post-Punk,2022-05-13,26
13,Various Artists,Héroes De La Nueva Ola,2022-05-13,30
14,Various Artists,Fiestón,2022-02-11,30
15,Various Artists,Rock Party España,2021-12-17,30
16,Various Artists,Himnos Del Pop/Rock Español,2021-11-26,30
17,Various Artists,Estado De Independencia,2021-10-15,22
18,Various Artists,Las Mejores Bandas Españolas,2021-10-01,30
19,Various Artists,Leyendas Del Pop-Rock Español,2021-09-24,29
0,Polanski y el Ardor,Ataque Preventivo De La U.R.S.S.,1982-11-01,3
1,Various Artists,Lollipop 40 Aniversario,2022-10-21,46
0,Gabinete Caligari,Solo Se Vive Una Vez. Colección Definitiva,2019-07-19,30
1,Gabinete Caligari,Camino Soria (30 Aniversario Remaster),2018-03-09,9
2,Gabinete Caligari,"En Directo (Colegio Mayor Mendel, Madrid, 11 Febrero 1984)",2016-10-21,10
3,Gabinete Caligari,Lo Mejor De Gabinete Caligari,2009-06-23,18
4,Gabinete Caligari,Subid La Música,1998,12
5,Gabinete Caligari,Heroes De Los 80. Sombras Negras,1993,14
6,Gabinete Caligari,Cien Mil Vueltas,1991-09-01,12
7,Gabinete Caligari,Privado,1989,10
8,Gabinete Caligari,Los Singles,1987-02-20,12
9,Gabinete Caligari,Al Calor Del Amor En Un Bar,1986-02-20,10
10,Gabinete Caligari,4 Rosas Y Que Dios Reparta Suerte,1984-02-20,17
11,Gabinete Caligari,Imprescindibles,2021-03-19,5
12,Gabinete Caligari,Camino Soria,2013-02-22,1
13,Gabinete Caligari,Suite Nupcial,2013-02-22,1
14,Gabinete Caligari,"Tócala, Uli",2013-02-22,1
15,Gabinete Caligari,The Platinum Collection: Gabinete Caligari,2007-03-19,33
16,Various Artists,Héroes De La Nueva Ola,2022-05-13,30
17,Various Artists,Himnos Del Pop/Rock Español,2021-11-26,30
18,Various Artists,Los 90 España,2021-10-29,30
19,Various Artists,Las Mejores Bandas Españolas,2021-10-01,30
0,Hombres G,La Esquina De Rowland,2021-10-08,14
1,Hombres G,Resurrección,2019-03-15,11
2,Hombres G,Huevos Revueltos (En Vivo),2018-06-15,29
3,Hombres G,En La Arena (Gira 30 Años Y Un Día / Las Ventas 26 De Junio De 2015),2015-11-20,28
4,Hombres G,30 Años Y Un Día,2015-06-02,52
5,Hombres G,En La Playa,2011-11-29,10
6,Hombres G,Desayuno Continental,2010-11-16,11
7,Hombres G,10,2007-09-18,12
9,Hombres G,Todo Esto Es Muy Extraño,2004-11-02,11
10,Hombres G,Todo Esto Es Muy Extraño (American Edition),2004-11-02,12
11,Hombres G,El Año Que Vivimos Peligrosamente,2004-03-01,16
13,Hombres G,Voy A Pasarmelo Bien. Tributo A Hombres G,2003-01-31,10
14,Hombres G,Albums,2002,75
15,Hombres G,Los Singles,1993-05-28,20
16,Hombres G,Historia Del Bikini,1992,11
17,Hombres G,Esta Es Tu Vida,1990,14
18,Hombres G,Voy A Pasarmelo Bien,1989,10
19,Hombres G,Agitar Antes De Usar,1988,10
0,Revolver,Adictos A La Euforia,2023-02-10,9
1,Revolver,Básico Iv,2019-05-10,13
2,Revolver,Tu Noche Y La Mía: Colección Definitiva,2017-09-29,33
3,Revolver,Capitol,2017-02-10,14
4,Revolver,Babilonia,2015-02-10,10
5,Revolver,Enjoy,2013-08-27,13
6,Revolver,Argan,2011-03-29,14
7,Revolver,Argan (Deluxe Edition),2011-03-29,22
8,Revolver,Que Veinte Años No Es Nada,2009-11-17,63
9,Revolver,21 Gramos,2008-09-16,12
11,Revolver,Basico 3,2006-03-07,12
12,Revolver,Mestizo,2004-10-19,13
13,Revolver,8:30 Am,2002-10-01,12
14,Revolver,Rarezas,2002-07-08,15
15,Revolver,Revolver,2001-06-04,11
16,Revolver,Sur,2000-08-27,11
17,Revolver,Basico 2,1997-11-17,14
18,Revolver,Calle Mayor,1996-11-11,10
19,Revolver,El Dorado,1995-03-06,11
0,Los Secretos,Desde Que No Nos Vemos - Concierto Homenaje A Enrique Urquijo (En Directo / Wizink Center / Madrid / 17-11-2019),2021-11-18,20
1,Los Secretos,Mi Paraíso,2019-09-20,12
2,Los Secretos,Una Vida A Tu Lado,2017-11-03,77
3,Los Secretos,Los Secretos (Edición 35 Aniversario),2015-10-30,27
4,Los Secretos,Algo Prestado,2015-05-12,12
6,Los Secretos,Lo Mejor De Los Secretos,2014-01-06,14
7,Los Secretos,Sinfónico,2012-10-30,10
8,Los Secretos,En Este Mundo Raro,2011-09-16,13
9,Los Secretos,Gracias Por Elegirme,2008-12-09,30
10,Los Secretos,30 Años,2007,38
11,Los Secretos,Una Y Mil Veces,2006-04-17,12
12,Los Secretos,25Aniversario De Los Secretos (Doble),2005-01-01,39
13,Los Secretos,Con Cierto Sentido,2003-11-17,15
14,Los Secretos,Solo Para Escuchar,2002-11-15,11
15,Los Secretos,A Tu Lado,2000-01-01,17
16,Los Secretos,Dos Caras Distintas,1995-01-01,13
17,Los Secretos,Cambio De Planes,1993-01-01,11
18,Los Secretos,Adios Tristeza,1991-01-01,11
19,Los Secretos,La Calle Del Olvido,1989-01-01,10
0,Seguridad Social,La Encrucijada (Versión Deluxe),2019-03-08,14
1,Seguridad Social,La Encrucijada,2017-11-30,11
2,Seguridad Social,Seguridad Social - En Desconcierto,2015-02-17,2
3,Seguridad Social,Seguridad Social - Solo Para Locos,2015-02-17,10
4,Seguridad Social,Seguridad Social - Solo Para Locos - En Desconcierto,2015-02-17,12
5,Seguridad Social,30 Años Con Seguridad Social ... Por Siempre Jamás (En Vivo),2014-01-01,15
6,Seguridad Social,Por Siempre Jamás,2013-10-15,15
7,Seguridad Social,El Mundo Al Dia En 80 Vueltas,2011-06-21,10
8,Seguridad Social,Clasicos Del Futuro,2009-08-25,24
9,Seguridad Social,25 Años De Rock & Roll,2007-02-06,30
10,Seguridad Social,Puerto Escondido,2005-05-30,11
11,Seguridad Social,Otros Mares,2003-05-06,10
12,Seguridad Social,Va Por Ti,2000-06-12,12
13,Seguridad Social,Camino Vertical,1999-06-12,10
14,Seguridad Social,En La Boca Del Volcan,1997-06-12,14
15,Seguridad Social,Compromiso,1994-06-12,14
16,Seguridad Social,De Amor,1994-06-12,13
17,Seguridad Social,Furia Latina,1993,12
18,Seguridad Social,Que No Se Extinga La Llama!,1991-06-12,10
19,Seguridad Social,Introglicerina,1990-06-12,9
0,The Refrescos,Retro Power,2021-12-17,10
1,The Refrescos,Let´S Ska!,2017-06-09,16
2,The Refrescos,Sal Y Sol,2015-11-21,13
3,The Refrescos,Astarot,2001,9
4,The Refrescos,Simpatía Por El Débil,1991-01-01,11
5,The Refrescos,Kings Of Chunda Chunda,1990-01-01,10
6,The Refrescos,The Refrescos,1989-01-01,11
7,The Refrescos,Lo Que Más Quiero,2021-12-17,1
8,The Refrescos,La Alegria Te Interesa,2021-12-10,1
9,The Refrescos,Presidente,2021-06-18,1
10,The Refrescos,Aguardiente,2021-03-19,1
11,The Refrescos,Canta Rie Bebe,2014-12-09,1
12,Various Artists,Para Ti Papá,2023-03-10,45
13,13 Bats,Eating My Own Brain,2023-02-17,3
14,Various Artists,Hecho En España,2022-10-28,45
15,Various Artists,Verano Años 80,2022-10-21,40
16,Various Artists,Para Conducir,2022-10-21,40
17,Various Artists,Música De Los 80,2022-08-05,159
18,Various Artists,Para Cantar En El Coche,2022-08-05,70
19,Various Artists,Nostalgia,2022-08-05,69
0,Tino Casal,Origen,2020-12-04,9
1,Tino Casal,Quimera: Inéditos Y Rarezas,2019,11
2,Tino Casal,De La Piel Del Diablo. La Colección Definitiva,2016-09-16,34
3,Tino Casal,Todo Casal (Edición Especial),2011-09-16,85
5,Tino Casal,Todo Casal [Versión Estándar],2011-09-16,16
6,Tino Casal,Casal Único,2006-09-15,31
7,Tino Casal,Casal Vive,2000-03-03,26
8,Tino Casal,Remixes Por Pumpin' Dolls (Remastered 2015),2000,7
9,Tino Casal,Histeria,1990-01-25,13
10,Tino Casal,Lágrimas De Cocodrilo,1987-01-25,11
11,Tino Casal,Hielo Rojo,1984,9
12,Tino Casal,Etiqueta Negra,1983-03-24,11
13,Tino Casal,Neocasal,1981-01-25,9
14,Tino Casal,Valentino,2020-11-30,1
15,Tino Casal,París,2020-11-16,1
16,Tino Casal,Billy Boy,2013-07-12,1
17,Tino Casal,Champú De Huevo,2013-07-12,1
19,Tino Casal,"Legal, Ilegal",2013-07-12,1
0,Miguel Bosé,Mtv Unplugged,2016-10-07,16
1,Miguel Bosé,Amo,2015-01-20,15
2,Miguel Bosé,Personalidad,2014-12-02,18
4,Miguel Bosé,Esencial Miguel Bose,2013-06-18,30
5,Miguel Bosé,Papitwo (Deluxe),2012-09-04,28
6,Miguel Bosé,Cardio Tour (Live),2011-03-09,16
7,Miguel Bosé,Cardio Deluxe,2010-11-22,23
8,Miguel Bosé,Cardio Remixes,2010-11-22,9
9,Miguel Bosé,Lo Esencial De Miguel Bose,2010-03-16,45
10,Miguel Bosé,Cardio,2010-03-09,12
11,Miguel Bosé,Papitour (En Directo Las Ventas),2007-11-27,18
12,Miguel Bosé,I Successi Di Miguel Bosè,2007-07-13,30
13,Miguel Bosé,Papito,2007-03-06,16
14,Miguel Bosé,Papito (Deluxe),2007,17
15,Miguel Bosé,Originales (20 Exitos),2005-05-03,20
16,Miguel Bosé,Velvetina,2005-01-02,14
17,Miguel Bosé,Por Vos Muero,2004-04-20,10
19,Miguel Bosé,Sereno,2001-11-06,11
0,Celtas Cortos,"30 Aniversario (Sólo Recuerdo Lo Bueno, De Lo Malo Nada)",2019-11-01,58
1,Celtas Cortos,Energía Positiva,2018-09-14,13
2,Celtas Cortos,In Crescendo,2016-11-04,34
3,Celtas Cortos,Contratiempos,2014-09-16,12
4,Celtas Cortos,Vivos & Directos,2012-03-09,25
5,Celtas Cortos,Introversiones,2010-08-31,13
6,Celtas Cortos,Introversiones (Deluxe),2010-08-31,15
7,Celtas Cortos,40 De Abril,2008-09-02,13
9,Celtas Cortos,20 Soplando Versos,2006-05-01,20
10,Celtas Cortos,C'Est La Vie (French Version),2003-05-09,13
11,Celtas Cortos,Tienes La Puerta Abierta,1999-04-17,15
12,Celtas Cortos,Nos Vemos En Los Bares,1997,25
14,Celtas Cortos,En Estos Dias Inciertos...,1996,14
15,Celtas Cortos,Tranquilo Majete,1993-04-17,13
16,Celtas Cortos,Cuentame Un Cuento,1991-04-17,12
17,Celtas Cortos,Gente Impresentable,1990,11
18,Celtas Cortos,Rock Celta,1989-04-17,9
19,Celtas Cortos,Imprescindibles,2022-04-15,5
0,Duncan Dhu,1,2013-08-06,36
2,Duncan Dhu,Ineditos Y Rarezas,2005-11-28,18
3,Duncan Dhu,Cien Gaviotas Donde Iran... Un Tributo A Duncan Dhu,2005-10-03,17
4,Duncan Dhu,Coleccion,2003,151
5,Duncan Dhu,Crepusculo,2001-11-23,16
6,Duncan Dhu,Coleccion 1985-1998,1998-01-17,40
7,Duncan Dhu,Teatro Victoria Eugenia,1995-02-25,19
8,Duncan Dhu,Piedras,1994-01-17,11
9,Duncan Dhu,Supernova,1991-01-17,11
10,Duncan Dhu,Autobiografía (Edición Especial),1989-05-21,58
11,Duncan Dhu,Autobiografia,1989-01-17,30
12,Duncan Dhu,Grabaciones Olvidadas,1989-01-17,17
13,Duncan Dhu,El Grito Del Tiempo,1987-01-17,16
14,Duncan Dhu,Canciones,1986-01-17,12
15,Duncan Dhu,Por Tierras Escocesas,1985-06-15,25
16,Duncan Dhu,Imprescindibles,2021-04-16,5
17,Duncan Dhu,Cuando Llegue El Fin,2013-06-25,1
18,Duncan Dhu,Top5Hits Duncan Dhu,2010-04-06,5
19,Duncan Dhu,20 Años De Canciones,2005-11-28,16
0,Nacha Pop,Chica De Ayer Y Otras Canciones Que Consiguen Que Te Pueda Amar - Colección Definitiva,2017-05-05,27
1,Nacha Pop,Efecto Inmediato,2017-02-17,12
2,Nacha Pop,Lo Mejor De Nacha Pop,2013-01-01,14
3,Nacha Pop,Sus 50 Mejores Canciones,2011-01-01,50
4,Nacha Pop,Tour 80-08 Reiniciando (Set),2008-01-01,22
5,Nacha Pop,La Más Completa Colección,2005-01-01,25
6,Nacha Pop,Nacha Pop 80/88,2004-01-01,18
7,Nacha Pop,Bravo! Nacha Pop,1996-01-01,14
8,Nacha Pop,El Momento,1987-01-01,10
9,Nacha Pop,Dibujos Animados,1985-01-01,10
10,Nacha Pop,Una Décima De Segundo,1983-01-03,15
11,Nacha Pop,Buena Disposicion,1982-01-15,13
12,Nacha Pop,Nacha Pop,1980-03-17,12
13,Nacha Pop,Urgentemente,2017-05-26,1
14,Nacha Pop,Por El Mismo Precio,2017-02-03,1
15,Nacha Pop,Tu Mejor Momento,2017-01-13,1
16,Nacha Pop,Sal Y Limon,2017,1
17,Nacha Pop,Antes Que Salga El Sol,2013-05-17,1
18,Nacha Pop,Atrás,2013-05-17,1
19,Nacha Pop,Juego Sucio,2013-05-17,1
0,Tam Tam Go!,After 30,2022-05-20,12
1,Tam Tam Go!,After 30 (Deluxe),2022-05-20,23
2,Tam Tam Go!,Bolero Incendiado,2009-10-30,14
3,Tam Tam Go!,Euphoria,2007-02-27,10
4,Tam Tam Go!,Cruzando El Río,2006-02-17,16
5,Greta y los Garbo,Lucha Rock,2004-06-01,12
6,Tam Tam Go!,Miscelanea,2001,17
7,Tam Tam Go!,Nubes Y Claros,1999-03-17,14
8,Tam Tam Go!,Vida Y Color,1992-07-12,11
9,Tam Tam Go!,Espaldas Mojadas,1990-01-25,12
10,Tam Tam Go!,Spanish Romance,1989-07-12,14
11,Tam Tam Go!,Spanish Suffle,1988-01-27,11
12,Tam Tam Go!,Belleza Pasajera,2023-01-20,1
13,Tam Tam Go!,Pasarán,2022-10-14,1
