,artist_name,album_name,release_date,total_tracks
0,Alice Deejay,Who Needs Guitars Anyway?,2000-10-01,14
1,Alice Deejay,Better Off Alone (2011 Remixes),2011-08-27,7
2,Alice Deejay,Better Off Alone (Tate Strauss & Mobin Master Mix),2011-08-27,2
4,Alice Deejay,Better Off Alone,2011-08-27,8
5,Alice Deejay,Better Off Alone (Laidback Luke Remixes),2011-08-06,5
6,Alice Deejay,Better Off Alone (Laidback Luke Remix),2011-06-20,5
7,Alice Deejay,Celebrate Our Love,2000-12-01,6
8,Alice Deejay,Will I Ever,2000-11-01,5
9,Alice Deejay,The Lonely One,2000-09-01,5
10,Alice Deejay,Hitmix,2000-01-01,3
11,Alice Deejay,Back In My Life,1999-06-01,6
13,Various Artists,Festival Dance Tent,2023-05-02,67
14,CA$hMANE,Better Off Alone (Phonk Version),2023-04-07,1
15,Various Artists,Throwback Tracks,2023-04-06,61
16,Various Artists,90Er Best Of,2023-03-23,99
17,Various Artists,Class Of '00,2023-03-12,21
18,Various Artists,Para Ti Papá,2023-03-10,45
19,Various Artists,Kids Dance Party 2023,2023-03-08,20
0,Sash!,Life Changes,2013-11-08,13
1,Sash!,Life Is A Beach,2012-08-31,15
2,Sash!,S4! Sash!,2002-11-11,16
3,Sash!,Trilenium,2000-03-31,14
4,Sash!,Life Goes On,1998-08-31,20
5,Sash!,It'S My Life,1997-06-30,22
6,R3HAB,Rock My Body,2023-04-28,1
7,R3HAB,Rock My Body (With Inna & Sash!),2023-04-28,1
9,Gabry Ponte,Never Be Alone,2022-10-14,1
11,Sash!,Rainbow (Massivedrum Remix),2022-08-26,1
12,Sash!,Rainbow,2022-07-15,5
13,Deepaim,I Believe,2022-04-29,1
14,Sash!,Walking The Wire,2021-12-17,2
15,Sash!,Walking The Wire (Piano Version),2021-12-03,2
16,Sash!,Together Again (Jwm Remix),2021-07-23,3
17,Sash!,Coming Home (The Remixes),2021-03-26,5
18,Sash!,Coming Home,2021-02-15,1
19,Sash!,Colour The World (2020 X-Mas Edit),2020-12-11,1
