,artist_name,album_name,release_date,total_tracks
0,Los Acústicos,La Oreja De Van Gogh (Acoustic Home Sessions),2023-03-31,7
1,La Oreja de Van Gogh,Esencial La Oreja De Van Gogh,2021-06-04,30
2,La Oreja de Van Gogh,Un Susurro En La Tormenta,2020-09-18,11
3,La Oreja de Van Gogh,El Planeta Imaginario,2016-11-04,12
4,La Oreja de Van Gogh,Primera Fila,2013-10-28,15
5,La Oreja de Van Gogh,Cometas Por El Cielo En Directo Desde América,2012-09-18,15
6,La Oreja de Van Gogh,Cometas Por El Cielo,2011-09-13,12
8,La Oreja de Van Gogh,Nuestra Casa A La Izquierda Del Tiempo,2009-10-20,12
9,La Oreja de Van Gogh,A Las Cinco En El Astoria,2008-09-30,12
10,La Oreja de Van Gogh,Guapa,2007-04-09,15
11,La Oreja de Van Gogh,Mas Guapa,2006,26
12,La Oreja de Van Gogh,París,2004-05-10,12
13,La Oreja de Van Gogh,La Oreja De Van Gogh En Directo,2004-04-19,18
14,La Oreja de Van Gogh,Lo Que Te Conte Mientras Te Hacias La Dormida,2003,15
15,La Oreja de Van Gogh,El Viaje De Copperpot,2000-11-21,12
17,La Oreja de Van Gogh,Dile Al Sol,1999-09-27,12
0,El Canto Del Loco,Radio La Colifata Presenta: El Canto Del Loco,2010-03-30,18
1,El Canto Del Loco,Por Mi Y Por Todos Mis Compañeros,2009-11-24,11
3,El Canto Del Loco,De Personas A Personas,2008-11-28,19
4,El Canto Del Loco,Personas,2008-04-01,14
6,El Canto Del Loco,Zapatillas,2005,13
7,El Canto Del Loco,Estados De Animo,2003-05-15,12
9,El Canto Del Loco,El Canto Del Loco En Directo,2003-02-06,11
11,El Canto Del Loco,A Contracorriente,2002-03-01,12
13,El Canto Del Loco,El Canto Del Loco,2000-06-16,12
14,El Canto Del Loco,Eres Tonto (Feat. Vicentico),2010-07-06,1
15,El Canto Del Loco,Un Millon De Cicatrices,2009-11-30,1
16,El Canto Del Loco,Quiero Aprender De Ti,2009-11-10,1
17,El Canto Del Loco,"Hey, Hey Vicky",2009-10-12,1
18,El Canto Del Loco,Eres Tonto,2004-03-10,1
19,El Canto Del Loco,Son Sueños (Remasterizado),2002,3
0,Julieta Venegas,Tu Historia,2022-11-11,10
1,Julieta Venegas,La Enamorada,2019-11-22,9
2,Julieta Venegas,Algo Sucede,2015-08-14,12
