,artist_name,album_name,release_date,total_tracks
0,Juanes,Un Día Normal (20Th Anniversary Remastered),2022-05-20,12
1,Juanes,Origen,2021-05-27,12
2,Juanes,Más Futuro Que Pasado,2019-11-22,13
3,Juanes,Mis Planes Son Amarte,2017-05-12,12
4,Juanes,Loco De Amor (Tour Edition),2015-06-29,15
5,Juanes,Loco De Amor,2014-01-01,12
7,Juanes,Tr3S Presents Juanes Mtv Unplugged,2012-01-01,14
8,Juanes,P.A.R.C.E.,2010-01-01,10
9,Juanes,P.A.R.C.E. (Deluxe Version),2010-01-01,12
11,Juanes,La Vida Es Un Ratico En Vivo,2008-01-01,24
15,Juanes,La Vida... Es Un Ratico (Exclusive Track Version),2007-01-01,15
16,Juanes,La Vida Es Un Ratico,2007-01-01,15
19,Juanes,La Vida... Es Un Ratico,2007-01-01,14
0,Chayanne,Personalidad,2014-12-02,18
1,Chayanne,En Todo Estaré,2014-08-25,13
2,Chayanne,En Todo Estaré (Deluxe Edition),2014-08-25,14
3,Chayanne,Chayanne Es Mi Nombre,2012-04-06,11
4,Chayanne,A Solas Con Chayanne,2012-02-07,14
5,Chayanne,No Hay Imposibles,2010-02-23,11
6,Chayanne,Vivo,2008-07-21,12
7,Chayanne,Mi Tiempo (Deluxe Edition),2007,13
8,Chayanne,Cautivo,2006-03-10,10
9,Chayanne,Desde Siempre,2005-03-29,12
10,Chayanne,Cautivo (Bonus Tracks Version),2005,13
11,Chayanne,Sincero,2003-08-26,12
13,Chayanne,Simplemente,2001-02-26,15
15,Chayanne,Atado A Tu Amor,1999-07-25,14
16,Chayanne,Salomé,1999-06-14,4
0,Alexander Acha,Las Italianas,2022-07-08,19
1,Alexander Acha,Luz (Edición Especial),2019-12-20,15
2,Alexander Acha,Luz,2018-11-23,10
3,Alexander Acha,Claroscuro,2014-08-05,14
4,Alexander Acha,La Vida Es,2011-06-21,13
5,Alexander Acha,La Vida Es (Deluxe),2011-06-21,15
6,Alexander Acha,La Vida Es... Amor Sincero,2011-06-21,19
