,artist_name,album_name,release_date,total_tracks
0,Miley Cyrus,Endless Summer Vacation,2023-03-10,13
1,Miley Cyrus,Attention: Miley Live,2022-04-29,26
2,Miley Cyrus,Plastic Hearts,2020-11-27,15
4,Miley Cyrus,She Is Coming,2019-05-31,7
5,Miley Cyrus,Younger Now,2017-09-29,11
6,Miley Cyrus,Miley Cyrus & Her Dead Petz,2015-08-30,23
7,Miley Cyrus,Bangerz (Deluxe Version),2013-10-04,16
9,Miley Cyrus,Can'T Be Tamed,2010-01-01,12
10,Miley Cyrus,The Time Of Our Lives,2009-01-01,7
11,Miley Cyrus,The Time Of Our Lives (International Version),2009-01-01,8
12,Miley Cyrus,Breakout,2008-01-01,14
16,Miley Cyrus,Meet Miley Cyrus,2007-06-26,10
17,Miley Cyrus,Flowers (Demo),2023-03-03,2
18,Miley Cyrus,Flowers,2023-01-13,1
19,Miley Cyrus,Nothing Else Matters,2021-06-22,1
0,Harry Styles,Harry'S House,2022-05-20,13
1,Harry Styles,Fine Line,2019-12-13,12
2,Harry Styles,Harry Styles,2017-05-12,10
3,Harry Styles,As It Was,2022-03-31,1
4,Harry Styles,Spotify Singles,2017-09-27,2
5,Zymphonica,Hits Go Classical,2023-04-28,27
6,Zymphonica,Golden Hour (Symphony Orchestra Version),2023-03-17,6
7,Various Artists,Classical Class Vol 4,2023-03-16,41
8,Michael Forster,Piano Chill (Extended Version),2021-12-10,20
9,Various Artists,Now That'S What I Call Music! 108,2021-03-26,46
10,Various Artists,Instrumental Chart Hits,2021-03-07,14
11,Various Artists,Guitar Pop Songs,2021-01-03,12
12,Various Artists,Nytår 2021 Festen - Musikken Til Nytårsfesten,2020-12-17,131
13,Various Artists,Instrumental Pop Music Playlist,2020-11-01,14
14,Various Artists,Instrumental Covers Of Popular Songs,2020-10-25,14
15,Various Artists,Classical Covers Of Pop Music,2020-10-11,14
16,Various Artists,Instrumental Pop Songs,2020-09-27,14
17,Various Artists,Now That'S What I Call Music! 106,2020-07-24,41
18,Various Artists,Roadtrip,2020-07-08,88
19,Various Artists,Now That'S What I Call Music! 105,2020-05-08,46
0,Rosa Linn,Never Be Mine,2023-03-31,1
1,Rosa Linn,Wdia (Would Do It Again),2022-10-21,1
2,Rosa Linn,Snap Pack,2022-09-30,7
3,Rosa Linn,Snap,2022-03-19,1
4,Rosa Linn,King,2021-09-10,1
5,Summer Hits,Tiktok Summer Party / Viral Hits,2023-04-14,60
6,Summer Hits,Viral Summer Pop / Internet Hits,2023-04-14,60
7,Summer Hits,Tiktok Summer Hits/Viral Songs,2023-04-14,60
8,Various Artists,Now That'S What I Call Music! Vol. 85,2023-02-03,19
9,Various Artists,Los Nº1 De Los 40 (2022),2022-12-16,45
10,Various Artists,Now That'S What I Call Music! 113,2022-11-18,48
11,Various Artists,Eurovision Song Contest Turin 2022 (Karaoke Version),2022-04-08,40
0,SZA,Sos,2022-12-09,23
2,SZA,Ctrl (Deluxe),2022-06-09,21
3,Ben Platt,Dear Evan Hansen (Original Motion Picture Soundtrack),2021-09-24,16
4,Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,14
7,SZA,Ctrl,2017-06-09,14
9,SZA,Z,2014-04-08,10
10,SZA,Kill Bill (Feat. Doja Cat),2023-04-14,1
11,Lizzo,Special (Feat. Sza),2023-02-09,2
12,SZA,Kill Bill (Acoustic),2023-01-24,1
13,SZA,Kill Bill,2023-01-13,4
14,SZA,Shirt,2022-10-28,1
16,DJ Khaled,Beautiful (Feat. Future & Sza),2022-08-24,1
17,Doechii,Persuasive (With Sza),2022-07-22,2
19,Summer Walker,No Love (With Sza & Cardi B) [Extended Version],2022-03-25,1
0,The Kid LAROI,F*Ck Love 3+: Over You,2021-07-27,35
2,The Kid LAROI,Where Does Your Spirit Go?,2023-04-21,1
3,The Kid LAROI,I Guess It'S Love?,2023-02-24,1
4,The Kid LAROI,Kids Are Growing Up (Part 1),2023-02-10,1
5,The Kid LAROI,Love Again,2023-01-27,1
6,The Kid LAROI,I Can'T Go Back To The Way It Was (Intro),2023-01-19,1
7,Fivio Foreign,Paris To Tokyo,2022-07-08,1
8,The Kid LAROI,Thousand Miles,2022-04-22,1
9,The Kid LAROI,Stay (With Justin Bieber),2021-07-09,1
11,The Kid LAROI,Without You (With Miley Cyrus),2021-04-30,1
