,artist_name,album_name,release_date,total_tracks
0,The Mamas & The Papas,California Dreaming,2018-11-23,10
1,The Mamas & The Papas,People Like Us,1971-11-01,12
2,The Mamas & The Papas,The Papas & The Mamas,1968-05-01,12
3,The Mamas & The Papas,Deliver,1967-01-01,12
4,The Mamas & The Papas,The Mamas & The Papas,1966-08-30,12
5,The Mamas & The Papas,If You Can Believe Your Eyes & Ears,1966-03,12
6,The Mamas & The Papas,If You Can Believe Your Eyes And Ears,1966-03,12
7,The Mamas & The Papas,Dedicated To The One I Love,2023-02-14,1
8,The Mamas & The Papas,Dedicated To The One I Love (Glen Nicholls Remix),2022-04-08,1
9,The Mamas & The Papas,Dedicated To The One I Love (Silo X Bettina Bergström Remix),2022-04-08,1
10,The Mamas & The Papas,"Dedicated To The One I Love (Live On The Ed Sullivan Show, June 11, 1967)",2021-11-26,1
11,The Mamas & The Papas,"Words Of Love (Live On The Ed Sullivan Show, December 11, 1966)",2021-01-31,1
12,The Mamas & The Papas,"California Dreamin' (Live On The Ed Sullivan Show, December 11, 1966)",2020-12-19,1
13,The Mamas & The Papas,"I Call Your Name (Live On The Ed Sullivan Show, September 24, 1967)",2020-12-06,1
14,The Mamas & The Papas,"Twelve Thirty (Live On The Ed Sullivan Show, June 22, 1968)",2020-11-15,1
15,The Mamas & The Papas,"Monday, Monday (Live On The Ed Sullivan Show, December 11, 1966)",2020-10-07,1
16,The Mamas & The Papas,"Creeque Alley (Live On The Ed Sullivan Show, June 11, 1967)",2020-09-04,1
17,The Mamas & The Papas,"California Dreamin' (Live On The Ed Sullivan Show, September 24, 1967)",2020-07-19,1
18,The Mamas & The Papas,Creeque Alley (Performed Live On The Ed Sullivan Show/1967),2010-01-01,1
19,The Mamas & The Papas,Words Of Love (Performed Live On The Ed Sullivan Show/1967),2010-01-01,1
0,Scott McKenzie,Stained Glass Morning,2012-11-01,9
1,Scott McKenzie,The Voice Of Scott Mckenzie (Expanded Edition),1967-11-01,19
2,Scott McKenzie,San Francisco,1967-07-16,11
3,Scott McKenzie,San Francisco (Be Sure To Wear Some Flowers In Your Hair),2023-02-28,1
4,Scott McKenzie,San Francisco (Be Sure To Wear Flowers In Your Hair) [Live],2020-04-13,1
5,Various Artists,Spring Break Reunion: American Dreamin'- Live,2023-04-10,9
6,Various Artists,Now That'S What I Call 60S Pop,2023-03-10,89
7,Various Artists,Top 40 Hitdossier - #1 Hits,2022-12-02,100
8,Various Artists,60Er Hits,2022-08-12,77
9,Various Artists,60 Hits,2022-08-12,77
10,Various Artists,Now That'S What I Call A 60S & 70S Summer: Seasons In The Sun,2022-06-24,86
11,Various Artists,Gimme Some Lovin’ The ’60S (Live),2022-02-18,15
12,Various Artists,Top 40 Hitdossier - One Hit Wonders (Eendagsvliegen Top 100),2021-04-23,100
