,artist_name,album_name,release_date,total_tracks
0,Rihanna,Black Panther: Wakanda Forever - Music From And Inspired By,2022-11-11,20
1,Rihanna,Anti (Deluxe),2016-01-28,16
3,Rihanna,Anti,2016-01-28,13
5,Rihanna,Unapologetic (Deluxe Version),2013-01-01,17
7,Rihanna,Unapologetic (Deluxe),2012-12-11,17
9,Rihanna,Unapologetic,2012-12-11,14
12,Rihanna,Unapologetic (Edited Version),2012-12-10,14
13,Rihanna,Talk That Talk (Deluxe),2012-07-18,14
15,Rihanna,Unapologetic (Deluxe Version [Edited]),2012-01-01,17
16,Rihanna,Unapologetic (Standard Version [Edited]),2012-01-01,14
18,Rihanna,Talk That Talk,2011-11-19,11
0,JAY-Z,Hov Did,2022-08-31,1
1,JAY-Z,4:44,2017-07-07,10
3,JAY-Z,Magna Carta... Holy Grail,2013-07-04,16
8,JAY-Z,Watch The Throne (Deluxe),2011-08-08,16
12,JAY-Z,Watch The Throne,2011-08-08,12
16,JAY-Z,The Blueprint Collector'S Edition (Explicit Version),2009-09-08,40
17,JAY-Z,The Blueprint 3,2009-09-08,15
19,JAY-Z,American Gangster,2007-11-06,15
0,Miley Cyrus,Endless Summer Vacation,2023-03-10,13
1,Miley Cyrus,Attention: Miley Live,2022-04-29,26
2,Miley Cyrus,Plastic Hearts,2020-11-27,15
4,Miley Cyrus,She Is Coming,2019-05-31,7
5,Miley Cyrus,Younger Now,2017-09-29,11
6,Miley Cyrus,Miley Cyrus & Her Dead Petz,2015-08-30,23
7,Miley Cyrus,Bangerz (Deluxe Version),2013-10-04,16
9,Miley Cyrus,Can'T Be Tamed,2010-01-01,12
10,Miley Cyrus,The Time Of Our Lives,2009-01-01,7
11,Miley Cyrus,The Time Of Our Lives (International Version),2009-01-01,8
12,Miley Cyrus,Breakout,2008-01-01,14
16,Miley Cyrus,Meet Miley Cyrus,2007-06-26,10
17,Miley Cyrus,Flowers (Demo),2023-03-03,2
18,Miley Cyrus,Flowers,2023-01-13,1
19,Miley Cyrus,Nothing Else Matters,2021-06-22,1
0,Nena Daconte,Casi Perfecto,2023-03-10,10
1,Nena Daconte,Suerte…,2019-03-01,7
2,Nena Daconte,Suerte...,2019-03-01,7
3,Nena Daconte,Lo Mejor De Nena Daconte,2013-01-01,12
4,Nena Daconte,Sólo Muerdo Por Ti,2013-01-01,14
5,Nena Daconte,Una Mosca En El Cristal,2010-01-01,13
7,Nena Daconte,Retales De Carnaval,2008-01-01,11
8,Nena Daconte,He Perdido Los Zapatos,2006-01-01,11
9,Nena Daconte,El Verano,2023-02-09,1
10,Nena Daconte,Tu Canción,2023-01-13,1
11,Paco Damas,Cantar De La Luna Vacía,2022-12-16,1
12,Nena Daconte,Al Son De Una Guitarra,2022-10-07,1
13,Nena Daconte,Detrás De Cada Luz (Buffetlibre Remix),2022-07-14,1
14,Nena Daconte,"Despiértame, Madrid",2022-05-20,1
15,Nena Daconte,Detrás De Cada Luz,2022-01-28,1
16,La La Love You,Tenía Tanto Que Darte,2021-11-26,1
17,Nena Daconte,Hojas Secas,2020-10-30,1
19,Nena Daconte,La Llama,2019-02-21,1
0,Lady Gaga,Top Gun: Maverick (Music From The Motion Picture),2022-05-27,12
1,Tony Bennett,Love For Sale (Deluxe),2021-10-01,12
2,Lady Gaga,Dawn Of Chromatica,2021-09-03,14
3,Lady Gaga,Born This Way The Tenth Anniversary,2021-06-25,20
4,Lady Gaga,Chromatica,2020-05-29,16
5,Lady Gaga,A Star Is Born Soundtrack,2018-10-05,34
7,Lady Gaga,A Star Is Born Soundtrack (Without Dialogue),2018-10-05,19
8,Lady Gaga,Joanne,2016-10-21,14
9,Lady Gaga,Joanne (Deluxe),2016-10-21,14
13,Tony Bennett,Cheek To Cheek (Deluxe),2014-09-23,17
16,Tony Bennett,Cheek To Cheek,2014-09-23,11
18,Lady Gaga,Artpop,2013-11-11,15
0,Zahara,Madre,2022-12-23,11
1,Zahara,Reputa,2022-09-23,12
2,Zahara,La Pareja Tóxica (X Aniversario),2021-11-19,12
3,Zahara,Puta,2021-04-30,11
4,Zahara,Alienígena,2019-11-15,10
5,Zahara,Astronauta (Versión Exclusiva De Spotify),2018-11-16,11
6,Zahara,Bestiario 1,2016-09-09,10
7,Zahara,Santa (Track By Track),2015-05-04,23
8,Zahara,Santa,2015-04-21,11
9,Zahara,Zahara Dan Eno - Mari Banyanyi,2014-11-27,9
10,Zahara,La Pareja Tóxica,2011-11-18,12
11,Zahara,La Fabulosa Historia De... (Edited Version),2009-01-01,11
12,Natalia Lacunza,"No Me Querías Tanto (Perarnau Iv, Zahara Remix)",2022-11-03,1
13,Zahara,Médula (Reputa),2022-09-20,1
14,Zahara,Merichane (Reputa),2022-09-09,1
15,Zahara,Ramona (Reputa),2022-07-22,1
16,Zahara,Berlin U5 (Reputa),2022-06-10,1
17,Zahara,La Hostia De Dios,2022-04-29,1
18,IZARO,Delirios,2022-02-11,1
19,Leiva,Stranger Things,2021-11-04,1
0,Taylor Swift,Midnights (3Am Edition),2022-10-22,20
2,Taylor Swift,Midnights,2022-10-21,13
4,Taylor Swift,Red (Taylor'S Version),2021-11-12,30
6,Taylor Swift,Fearless (Taylor'S Version),2021-04-09,26
7,Taylor Swift,Evermore (Deluxe Version),2021-01-07,17
9,Taylor Swift,Evermore,2020-12-11,15
