,song,artist,date,explicit,uri_cancion,popularity,ironhacker,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,BESO,ROSALÍA,2023-03-24,False,spotify:track:609E1JCInJncactoMmkDon,97,mejoresplaylistsspotify,https://open.spotify.com/track/609E1JCInJncactoMmkDon,7ltDVBr6mKbRvohxheJ9h1,0.768,0.644,5,-6.671,0,0.136,0.736,0.000837,0.173,0.53,95.05,audio_features,609E1JCInJncactoMmkDon,spotify:track:609E1JCInJncactoMmkDon,https://api.spotify.com/v1/tracks/609E1JCInJncactoMmkDon,https://api.spotify.com/v1/audio-analysis/609E1JCInJncactoMmkDon,194543,4
0,BESO,ROSALÍA,2023-03-24,False,spotify:track:609E1JCInJncactoMmkDon,97,mejoresplaylistsspotify,https://open.spotify.com/track/609E1JCInJncactoMmkDon,1mcTU81TzQhprhouKaTkpq,0.768,0.644,5,-6.671,0,0.136,0.736,0.000837,0.173,0.53,95.05,audio_features,609E1JCInJncactoMmkDon,spotify:track:609E1JCInJncactoMmkDon,https://api.spotify.com/v1/tracks/609E1JCInJncactoMmkDon,https://api.spotify.com/v1/audio-analysis/609E1JCInJncactoMmkDon,194543,4
0,BESO,Rauw Alejandro,2023-03-24,False,spotify:track:609E1JCInJncactoMmkDon,97,mejoresplaylistsspotify,https://open.spotify.com/track/609E1JCInJncactoMmkDon,7ltDVBr6mKbRvohxheJ9h1,0.768,0.644,5,-6.671,0,0.136,0.736,0.000837,0.173,0.53,95.05,audio_features,609E1JCInJncactoMmkDon,spotify:track:609E1JCInJncactoMmkDon,https://api.spotify.com/v1/tracks/609E1JCInJncactoMmkDon,https://api.spotify.com/v1/audio-analysis/609E1JCInJncactoMmkDon,194543,4
0,BESO,Rauw Alejandro,2023-03-24,False,spotify:track:609E1JCInJncactoMmkDon,97,mejoresplaylistsspotify,https://open.spotify.com/track/609E1JCInJncactoMmkDon,1mcTU81TzQhprhouKaTkpq,0.768,0.644,5,-6.671,0,0.136,0.736,0.000837,0.173,0.53,95.05,audio_features,609E1JCInJncactoMmkDon,spotify:track:609E1JCInJncactoMmkDon,https://api.spotify.com/v1/tracks/609E1JCInJncactoMmkDon,https://api.spotify.com/v1/audio-analysis/609E1JCInJncactoMmkDon,194543,4
1,TONTA,NATHY PELUSO,2023-04-21,False,spotify:track:6HzWCIc51HnyGCOVRMH2AI,65,mejoresplaylistsspotify,https://open.spotify.com/track/6HzWCIc51HnyGCOVRMH2AI,3VHAySZQPlfGlNLslzXYpN,0.761,0.653,8,-5.036,1,0.0387,0.00139,0.146,0.0817,0.642,131.975,audio_features,6HzWCIc51HnyGCOVRMH2AI,spotify:track:6HzWCIc51HnyGCOVRMH2AI,https://api.spotify.com/v1/tracks/6HzWCIc51HnyGCOVRMH2AI,https://api.spotify.com/v1/audio-analysis/6HzWCIc51HnyGCOVRMH2AI,203864,3
2,El Merengue,Marshmello,2023-03-03,False,spotify:track:51FvjPEGKq2zByeeEQ43V9,91,mejoresplaylistsspotify,https://open.spotify.com/track/51FvjPEGKq2zByeeEQ43V9,64KEffDW9EtZ1y2vBYgq8T,0.775,0.677,8,-4.703,0,0.0442,0.0313,0.00517,0.112,0.698,124.011,audio_features,51FvjPEGKq2zByeeEQ43V9,spotify:track:51FvjPEGKq2zByeeEQ43V9,https://api.spotify.com/v1/tracks/51FvjPEGKq2zByeeEQ43V9,https://api.spotify.com/v1/audio-analysis/51FvjPEGKq2zByeeEQ43V9,189357,4
2,El Merengue,Marshmello,2023-03-03,False,spotify:track:51FvjPEGKq2zByeeEQ43V9,91,mejoresplaylistsspotify,https://open.spotify.com/track/51FvjPEGKq2zByeeEQ43V9,0tmwSHipWxN12fsoLcFU3B,0.775,0.677,8,-4.703,0,0.0442,0.0313,0.00517,0.112,0.698,124.011,audio_features,51FvjPEGKq2zByeeEQ43V9,spotify:track:51FvjPEGKq2zByeeEQ43V9,https://api.spotify.com/v1/tracks/51FvjPEGKq2zByeeEQ43V9,https://api.spotify.com/v1/audio-analysis/51FvjPEGKq2zByeeEQ43V9,189357,4
2,El Merengue,Manuel Turizo,2023-03-03,False,spotify:track:51FvjPEGKq2zByeeEQ43V9,91,mejoresplaylistsspotify,https://open.spotify.com/track/51FvjPEGKq2zByeeEQ43V9,64KEffDW9EtZ1y2vBYgq8T,0.775,0.677,8,-4.703,0,0.0442,0.0313,0.00517,0.112,0.698,124.011,audio_features,51FvjPEGKq2zByeeEQ43V9,spotify:track:51FvjPEGKq2zByeeEQ43V9,https://api.spotify.com/v1/tracks/51FvjPEGKq2zByeeEQ43V9,https://api.spotify.com/v1/audio-analysis/51FvjPEGKq2zByeeEQ43V9,189357,4
2,El Merengue,Manuel Turizo,2023-03-03,False,spotify:track:51FvjPEGKq2zByeeEQ43V9,91,mejoresplaylistsspotify,https://open.spotify.com/track/51FvjPEGKq2zByeeEQ43V9,0tmwSHipWxN12fsoLcFU3B,0.775,0.677,8,-4.703,0,0.0442,0.0313,0.00517,0.112,0.698,124.011,audio_features,51FvjPEGKq2zByeeEQ43V9,spotify:track:51FvjPEGKq2zByeeEQ43V9,https://api.spotify.com/v1/tracks/51FvjPEGKq2zByeeEQ43V9,https://api.spotify.com/v1/audio-analysis/51FvjPEGKq2zByeeEQ43V9,189357,4
3,Cupido,TINI,2023-02-14,False,spotify:track:2xVcCDRgG3TrH69TatsUxp,88,mejoresplaylistsspotify,https://open.spotify.com/track/2xVcCDRgG3TrH69TatsUxp,7vXDAI8JwjW531ouMGbfcp,0.913,0.584,9,-5.263,1,0.223,0.521,5.36e-05,0.307,0.627,119.873,audio_features,2xVcCDRgG3TrH69TatsUxp,spotify:track:2xVcCDRgG3TrH69TatsUxp,https://api.spotify.com/v1/tracks/2xVcCDRgG3TrH69TatsUxp,https://api.spotify.com/v1/audio-analysis/2xVcCDRgG3TrH69TatsUxp,174370,4
