,song,artist,date,explicit,uri_cancion,popularity,ironhacker,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,The Way It Is,Bruce Hornsby,1986-06-02,False,spotify:track:6V50MyHPGhEmwYu0Wdyf0t,71,miguel.1962.mas,https://open.spotify.com/track/6V50MyHPGhEmwYu0Wdyf0t,2iM28IgKg89v1o7BTQAVPo,0.582,0.689,7,-12.203,1,0.0277,0.607,0.0571,0.145,0.531,111.166,audio_features,6V50MyHPGhEmwYu0Wdyf0t,spotify:track:6V50MyHPGhEmwYu0Wdyf0t,https://api.spotify.com/v1/tracks/6V50MyHPGhEmwYu0Wdyf0t,https://api.spotify.com/v1/audio-analysis/6V50MyHPGhEmwYu0Wdyf0t,297853,4
0,The Way It Is,Bruce Hornsby,1986-06-02,False,spotify:track:6V50MyHPGhEmwYu0Wdyf0t,71,miguel.1962.mas,https://open.spotify.com/track/6V50MyHPGhEmwYu0Wdyf0t,4374DY0rBAi0pCV6F9i00Y,0.582,0.689,7,-12.203,1,0.0277,0.607,0.0571,0.145,0.531,111.166,audio_features,6V50MyHPGhEmwYu0Wdyf0t,spotify:track:6V50MyHPGhEmwYu0Wdyf0t,https://api.spotify.com/v1/tracks/6V50MyHPGhEmwYu0Wdyf0t,https://api.spotify.com/v1/audio-analysis/6V50MyHPGhEmwYu0Wdyf0t,297853,4
0,The Way It Is,The Range,1986-06-02,False,spotify:track:6V50MyHPGhEmwYu0Wdyf0t,71,miguel.1962.mas,https://open.spotify.com/track/6V50MyHPGhEmwYu0Wdyf0t,2iM28IgKg89v1o7BTQAVPo,0.582,0.689,7,-12.203,1,0.0277,0.607,0.0571,0.145,0.531,111.166,audio_features,6V50MyHPGhEmwYu0Wdyf0t,spotify:track:6V50MyHPGhEmwYu0Wdyf0t,https://api.spotify.com/v1/tracks/6V50MyHPGhEmwYu0Wdyf0t,https://api.spotify.com/v1/audio-analysis/6V50MyHPGhEmwYu0Wdyf0t,297853,4
0,The Way It Is,The Range,1986-06-02,False,spotify:track:6V50MyHPGhEmwYu0Wdyf0t,71,miguel.1962.mas,https://open.spotify.com/track/6V50MyHPGhEmwYu0Wdyf0t,4374DY0rBAi0pCV6F9i00Y,0.582,0.689,7,-12.203,1,0.0277,0.607,0.0571,0.145,0.531,111.166,audio_features,6V50MyHPGhEmwYu0Wdyf0t,spotify:track:6V50MyHPGhEmwYu0Wdyf0t,https://api.spotify.com/v1/tracks/6V50MyHPGhEmwYu0Wdyf0t,https://api.spotify.com/v1/audio-analysis/6V50MyHPGhEmwYu0Wdyf0t,297853,4
1,The Captain of Her Heart,Double,1985,False,spotify:track:5EwltLwI9hRLyiTUAjMsQ6,60,miguel.1962.mas,https://open.spotify.com/track/5EwltLwI9hRLyiTUAjMsQ6,4NOA8osMRoNN1FZ5vrR4y2,0.671,0.641,8,-9.488,1,0.0241,0.648,0.000346,0.118,0.385,96.281,audio_features,5EwltLwI9hRLyiTUAjMsQ6,spotify:track:5EwltLwI9hRLyiTUAjMsQ6,https://api.spotify.com/v1/tracks/5EwltLwI9hRLyiTUAjMsQ6,https://api.spotify.com/v1/audio-analysis/5EwltLwI9hRLyiTUAjMsQ6,274617,4
2,More Than I Can Bear,Matt Bianco,1990-01-01,False,spotify:track:0vBtGdmfgquSa3iRIbsa25,51,miguel.1962.mas,https://open.spotify.com/track/0vBtGdmfgquSa3iRIbsa25,1WQky50vkzSvSCUl0ejWqb,0.601,0.795,11,-7.762,1,0.0429,0.363,0.0381,0.342,0.45,83.97,audio_features,0vBtGdmfgquSa3iRIbsa25,spotify:track:0vBtGdmfgquSa3iRIbsa25,https://api.spotify.com/v1/tracks/0vBtGdmfgquSa3iRIbsa25,https://api.spotify.com/v1/audio-analysis/0vBtGdmfgquSa3iRIbsa25,258200,4
3,Lovemachine,Supermax,1977-09-26,False,spotify:track:2A9EqW476Cp9z8PqQE4pPN,43,miguel.1962.mas,https://open.spotify.com/track/2A9EqW476Cp9z8PqQE4pPN,0uIhbmH4ljZzKm8xGgsXok,0.791,0.625,9,-10.485,0,0.0681,0.00475,0.572,0.055,0.942,133.916,audio_features,2A9EqW476Cp9z8PqQE4pPN,spotify:track:2A9EqW476Cp9z8PqQE4pPN,https://api.spotify.com/v1/tracks/2A9EqW476Cp9z8PqQE4pPN,https://api.spotify.com/v1/audio-analysis/2A9EqW476Cp9z8PqQE4pPN,515493,4
4,Crazy,Gnarls Barkley,2006-04-24,False,spotify:track:1vxw6aYJls2oq3gW0DujAo,79,miguel.1962.mas,https://open.spotify.com/track/1vxw6aYJls2oq3gW0DujAo,5SbkVQYYzlw1kte75QIabH,0.855,0.587,8,-4.589,1,0.0336,0.0505,0.00714,0.105,0.64,111.97,audio_features,1vxw6aYJls2oq3gW0DujAo,spotify:track:1vxw6aYJls2oq3gW0DujAo,https://api.spotify.com/v1/tracks/1vxw6aYJls2oq3gW0DujAo,https://api.spotify.com/v1/audio-analysis/1vxw6aYJls2oq3gW0DujAo,177466,4
5,Can't Get You Out Of My Head,Kylie Minogue,2012-05-28,False,spotify:track:2kY9WeY6OyvbyCC92CxQad,0,miguel.1962.mas,https://open.spotify.com/track/2kY9WeY6OyvbyCC92CxQad,4RVnAU35WRWra6OZ3CbbMA,0.768,0.55,9,-7.604,0,0.034,0.0269,0.578,0.089,0.965,126.013,audio_features,2kY9WeY6OyvbyCC92CxQad,spotify:track:2kY9WeY6OyvbyCC92CxQad,https://api.spotify.com/v1/tracks/2kY9WeY6OyvbyCC92CxQad,https://api.spotify.com/v1/audio-analysis/2kY9WeY6OyvbyCC92CxQad,231480,4
6,"It's A Man's, Man's, Man's World",James Brown,1991,False,spotify:track:6AIB4vBOGWM4FJ65yNWaXu,0,miguel.1962.mas,https://open.spotify.com/track/6AIB4vBOGWM4FJ65yNWaXu,7GaxyUddsPok8BuhxN6OUW,0.646,0.35,8,-11.539,0,0.0486,0.665,0.000122,0.0472,0.552,80.882,audio_features,6AIB4vBOGWM4FJ65yNWaXu,spotify:track:6AIB4vBOGWM4FJ65yNWaXu,https://api.spotify.com/v1/tracks/6AIB4vBOGWM4FJ65yNWaXu,https://api.spotify.com/v1/audio-analysis/6AIB4vBOGWM4FJ65yNWaXu,167067,3
