,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Africa,TOTO,1982-04-08,False,spotify:track:2374M0fQpWi3dLnB54qaLX,85,djcesarherrera,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,0PFtn5NtBbbUNbU9EAmIWF,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,audio_features,2374M0fQpWi3dLnB54qaLX,spotify:track:2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,295893,4
1,Together Forever,Rick Astley,1987-11-12,False,spotify:track:5eFiEFtrq5dLgVHSZANUNl,70,djcesarherrera,https://open.spotify.com/track/5eFiEFtrq5dLgVHSZANUNl,0gxyHStUsqpMadRV0Di1Qt,0.702,0.933,2,-11.876,1,0.0492,0.0519,0.000128,0.155,0.896,115.114,audio_features,5eFiEFtrq5dLgVHSZANUNl,spotify:track:5eFiEFtrq5dLgVHSZANUNl,https://api.spotify.com/v1/tracks/5eFiEFtrq5dLgVHSZANUNl,https://api.spotify.com/v1/audio-analysis/5eFiEFtrq5dLgVHSZANUNl,205533,4
2,Rock Me Amadeus,Falco,1999-09-14,False,spotify:track:2RQN3SCB7sDuk2IwYo4mam,32,djcesarherrera,https://open.spotify.com/track/2RQN3SCB7sDuk2IwYo4mam,0hLd40hVpRDGENe4KGZLnW,0.617,0.852,7,-6.306,1,0.133,0.242,0.0155,0.0926,0.752,176.64,audio_features,2RQN3SCB7sDuk2IwYo4mam,spotify:track:2RQN3SCB7sDuk2IwYo4mam,https://api.spotify.com/v1/tracks/2RQN3SCB7sDuk2IwYo4mam,https://api.spotify.com/v1/audio-analysis/2RQN3SCB7sDuk2IwYo4mam,201360,4
3,You Got It (The Right Stuff),New Kids On The Block,1988-09-02,False,spotify:track:4buDeg67vos7KP1yHrS9wl,56,djcesarherrera,https://open.spotify.com/track/4buDeg67vos7KP1yHrS9wl,55qiaow2sDYtjqu1mwRua6,0.787,0.522,0,-13.029,0,0.0578,0.0126,1.34e-06,0.0671,0.923,111.576,audio_features,4buDeg67vos7KP1yHrS9wl,spotify:track:4buDeg67vos7KP1yHrS9wl,https://api.spotify.com/v1/tracks/4buDeg67vos7KP1yHrS9wl,https://api.spotify.com/v1/audio-analysis/4buDeg67vos7KP1yHrS9wl,249960,4
4,Brother Louie,Modern Talking,1986,False,spotify:track:5zWZ9iNevP0397xB3jWV2z,74,djcesarherrera,https://open.spotify.com/track/5zWZ9iNevP0397xB3jWV2z,79bxUQsBIXO8nVLB9fYKf7,0.783,0.836,0,-9.223,0,0.0486,0.396,0.0236,0.135,0.831,108.966,audio_features,5zWZ9iNevP0397xB3jWV2z,spotify:track:5zWZ9iNevP0397xB3jWV2z,https://api.spotify.com/v1/tracks/5zWZ9iNevP0397xB3jWV2z,https://api.spotify.com/v1/audio-analysis/5zWZ9iNevP0397xB3jWV2z,222667,4
5,"Danger Zone - From ""Top Gun"" Original Soundtrack",Kenny Loggins,1997-03-25,False,spotify:track:34x6hEJgGAOQvmlMql5Ige,77,djcesarherrera,https://open.spotify.com/track/34x6hEJgGAOQvmlMql5Ige,3Y3xIwWyq5wnNHPp5gPjOW,0.544,0.897,3,-6.056,0,0.0471,0.241,0.0,0.13,0.647,157.17,audio_features,34x6hEJgGAOQvmlMql5Ige,spotify:track:34x6hEJgGAOQvmlMql5Ige,https://api.spotify.com/v1/tracks/34x6hEJgGAOQvmlMql5Ige,https://api.spotify.com/v1/audio-analysis/34x6hEJgGAOQvmlMql5Ige,215133,4
6,Call Me,Ivana Spagna,1997-04-29,False,spotify:track:4px3BBdAHTvLfAdIRParrx,50,djcesarherrera,https://open.spotify.com/track/4px3BBdAHTvLfAdIRParrx,6RA9iJdNW5Lt7xTJhUBAno,0.771,0.73,7,-7.934,1,0.0334,0.168,1.76e-06,0.0722,0.964,113.038,audio_features,4px3BBdAHTvLfAdIRParrx,spotify:track:4px3BBdAHTvLfAdIRParrx,https://api.spotify.com/v1/tracks/4px3BBdAHTvLfAdIRParrx,https://api.spotify.com/v1/audio-analysis/4px3BBdAHTvLfAdIRParrx,246667,4
7,Just an Illusion,Imagination,1982,False,spotify:track:4QT3YKobBj4BI7xCYRLr9u,64,djcesarherrera,https://open.spotify.com/track/4QT3YKobBj4BI7xCYRLr9u,2CkhxuagMCG9uvlbKm5G3m,0.752,0.548,11,-10.532,0,0.0329,0.295,0.115,0.0582,0.658,105.125,audio_features,4QT3YKobBj4BI7xCYRLr9u,spotify:track:4QT3YKobBj4BI7xCYRLr9u,https://api.spotify.com/v1/tracks/4QT3YKobBj4BI7xCYRLr9u,https://api.spotify.com/v1/audio-analysis/4QT3YKobBj4BI7xCYRLr9u,387867,4
8,Eye In The Sky,The Alan Parsons Project,1982,False,spotify:track:39qYD4J4BKvZMQgxfXl5bv,73,djcesarherrera,https://open.spotify.com/track/39qYD4J4BKvZMQgxfXl5bv,2m62cc253Xvd9qYQ8d2X3d,0.823,0.417,2,-12.643,1,0.032,0.562,0.00098,0.0765,0.522,111.928,audio_features,39qYD4J4BKvZMQgxfXl5bv,spotify:track:39qYD4J4BKvZMQgxfXl5bv,https://api.spotify.com/v1/tracks/39qYD4J4BKvZMQgxfXl5bv,https://api.spotify.com/v1/audio-analysis/39qYD4J4BKvZMQgxfXl5bv,276280,4
9,Night Fever,Bee Gees,1979-01-01,False,spotify:track:4t2euPkyLUs5n5j1HDZ2Tr,0,djcesarherrera,https://open.spotify.com/track/4t2euPkyLUs5n5j1HDZ2Tr,1LZEQNv7sE11VDY3SdxQeN,0.733,0.795,1,-7.224,0,0.0249,0.0266,0.000948,0.083,0.892,109.122,audio_features,4t2euPkyLUs5n5j1HDZ2Tr,spotify:track:4t2euPkyLUs5n5j1HDZ2Tr,https://api.spotify.com/v1/tracks/4t2euPkyLUs5n5j1HDZ2Tr,https://api.spotify.com/v1/audio-analysis/4t2euPkyLUs5n5j1HDZ2Tr,212253,4
