,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Dangerous,Roxette,1988-10-19,False,spotify:track:756YOXmKh2iUnx33nAdfPf,0,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/756YOXmKh2iUnx33nAdfPf,2SHhfs4BiDxGQ3oxqf0UHY,0.712,0.898,4,-4.893,1,0.0336,0.0485,7.76e-06,0.148,0.961,124.409,audio_features,756YOXmKh2iUnx33nAdfPf,spotify:track:756YOXmKh2iUnx33nAdfPf,https://api.spotify.com/v1/tracks/756YOXmKh2iUnx33nAdfPf,https://api.spotify.com/v1/audio-analysis/756YOXmKh2iUnx33nAdfPf,228867,4
1,Dressed For Success,Roxette,1988-10-19,False,spotify:track:5hRXW7bDPwj08jTI74N3gg,0,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/5hRXW7bDPwj08jTI74N3gg,2SHhfs4BiDxGQ3oxqf0UHY,0.744,0.67,5,-5.305,1,0.0298,0.0831,0.0,0.184,0.856,119.706,audio_features,5hRXW7bDPwj08jTI74N3gg,spotify:track:5hRXW7bDPwj08jTI74N3gg,https://api.spotify.com/v1/tracks/5hRXW7bDPwj08jTI74N3gg,https://api.spotify.com/v1/audio-analysis/5hRXW7bDPwj08jTI74N3gg,249840,4
2,The Look,Roxette,1988-10-19,False,spotify:track:0ZfM5XfJTtFPhOxAERRnNY,0,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/0ZfM5XfJTtFPhOxAERRnNY,2SHhfs4BiDxGQ3oxqf0UHY,0.634,0.838,2,-5.363,1,0.0413,0.0531,8.34e-06,0.0522,0.541,95.011,audio_features,0ZfM5XfJTtFPhOxAERRnNY,spotify:track:0ZfM5XfJTtFPhOxAERRnNY,https://api.spotify.com/v1/tracks/0ZfM5XfJTtFPhOxAERRnNY,https://api.spotify.com/v1/audio-analysis/0ZfM5XfJTtFPhOxAERRnNY,237320,4
3,How Do You Do!,Roxette,1992-08-28,False,spotify:track:3rfOs6Miteal5wQUdFx8w1,0,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/3rfOs6Miteal5wQUdFx8w1,2SHhfs4BiDxGQ3oxqf0UHY,0.619,0.72,0,-6.584,1,0.0275,0.0194,1.68e-06,0.218,0.852,120.874,audio_features,3rfOs6Miteal5wQUdFx8w1,spotify:track:3rfOs6Miteal5wQUdFx8w1,https://api.spotify.com/v1/tracks/3rfOs6Miteal5wQUdFx8w1,https://api.spotify.com/v1/audio-analysis/3rfOs6Miteal5wQUdFx8w1,189093,4
4,A Little Respect - 2009 - Remaster,Erasure,1988-04-18,False,spotify:track:7aS418hRnOnYrXeyrZilwk,1,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/7aS418hRnOnYrXeyrZilwk,0z5DFXmhT4ZNzWElsM7V89,0.605,0.785,0,-7.961,1,0.0257,0.0303,4.14e-06,0.288,0.628,113.803,audio_features,7aS418hRnOnYrXeyrZilwk,spotify:track:7aS418hRnOnYrXeyrZilwk,https://api.spotify.com/v1/tracks/7aS418hRnOnYrXeyrZilwk,https://api.spotify.com/v1/audio-analysis/7aS418hRnOnYrXeyrZilwk,213987,4
5,Oh l'amour,Erasure,1986-05-01,False,spotify:track:2RsIjB4ZFnxnUCfnDD1NuW,0,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/2RsIjB4ZFnxnUCfnDD1NuW,0z5DFXmhT4ZNzWElsM7V89,0.665,0.594,3,-14.731,1,0.0303,0.115,0.00525,0.0434,0.706,122.45,audio_features,2RsIjB4ZFnxnUCfnDD1NuW,spotify:track:2RsIjB4ZFnxnUCfnDD1NuW,https://api.spotify.com/v1/tracks/2RsIjB4ZFnxnUCfnDD1NuW,https://api.spotify.com/v1/audio-analysis/2RsIjB4ZFnxnUCfnDD1NuW,184093,4
6,Stop! - 2009 Remastered Version,Erasure,1992-11-16,False,spotify:track:5BbjRjVnJ3dOLlDlreRBBh,0,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/5BbjRjVnJ3dOLlDlreRBBh,0z5DFXmhT4ZNzWElsM7V89,0.648,0.923,2,-5.615,1,0.0377,0.0687,1.29e-06,0.187,0.676,120.144,audio_features,5BbjRjVnJ3dOLlDlreRBBh,spotify:track:5BbjRjVnJ3dOLlDlreRBBh,https://api.spotify.com/v1/tracks/5BbjRjVnJ3dOLlDlreRBBh,https://api.spotify.com/v1/audio-analysis/5BbjRjVnJ3dOLlDlreRBBh,175240,4
7,La Isla Bonita,Madonna,1986-06-30,False,spotify:track:6r8k1vznHrzlEKYxL4dZEe,73,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/6r8k1vznHrzlEKYxL4dZEe,6tbjWDEIzxoDsBA1FuhfPW,0.724,0.822,1,-4.374,0,0.0333,0.304,1.38e-05,0.0553,0.964,99.9,audio_features,6r8k1vznHrzlEKYxL4dZEe,spotify:track:6r8k1vznHrzlEKYxL4dZEe,https://api.spotify.com/v1/tracks/6r8k1vznHrzlEKYxL4dZEe,https://api.spotify.com/v1/audio-analysis/6r8k1vznHrzlEKYxL4dZEe,242733,4
8,Like a Prayer,Madonna,2009-09-18,False,spotify:track:1z3ugFmUKoCzGsI6jdY4Ci,75,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/1z3ugFmUKoCzGsI6jdY4Ci,6tbjWDEIzxoDsBA1FuhfPW,0.624,0.842,5,-5.285,1,0.0376,0.264,2.11e-05,0.181,0.257,111.037,audio_features,1z3ugFmUKoCzGsI6jdY4Ci,spotify:track:1z3ugFmUKoCzGsI6jdY4Ci,https://api.spotify.com/v1/tracks/1z3ugFmUKoCzGsI6jdY4Ci,https://api.spotify.com/v1/audio-analysis/1z3ugFmUKoCzGsI6jdY4Ci,342680,4
9,Girls Just Want to Have Fun,Cyndi Lauper,2014-03-28,False,spotify:track:2zjt2hHBbiv5SuxYg8Z7eP,68,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/2zjt2hHBbiv5SuxYg8Z7eP,2BTZIqw0ntH9MvilQ3ewNY,0.707,0.788,6,-5.269,1,0.0333,0.214,0.000571,0.308,0.746,120.465,audio_features,2zjt2hHBbiv5SuxYg8Z7eP,spotify:track:2zjt2hHBbiv5SuxYg8Z7eP,https://api.spotify.com/v1/tracks/2zjt2hHBbiv5SuxYg8Z7eP,https://api.spotify.com/v1/audio-analysis/2zjt2hHBbiv5SuxYg8Z7eP,238120,4
