,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Take on Me,a-ha,1985-06-01,False,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,87,12177422298,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L,2jzc5TC5TVFLXQlBNiIUzE,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,2WfaOiMkCvy7F5fcp2zZ8L,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,225280,4
1,Every Breath You Take,The Police,1983-06-17,False,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,88,12177422298,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1,5NGO30tJxFlKixkPSgXcFE,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,audio_features,1JSTJqkT5qHq8MDJnJbRE1,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,https://api.spotify.com/v1/tracks/1JSTJqkT5qHq8MDJnJbRE1,https://api.spotify.com/v1/audio-analysis/1JSTJqkT5qHq8MDJnJbRE1,253920,4
2,Careless Whisper,George Michael,1998-11-09,False,spotify:track:4jDmJ51x1o9NZB5Nxxc7gY,81,12177422298,https://open.spotify.com/track/4jDmJ51x1o9NZB5Nxxc7gY,19ra5tSw0tWufvUp8GotLo,0.574,0.628,2,-8.815,0,0.036,0.13,0.0,0.271,0.803,153.119,audio_features,4jDmJ51x1o9NZB5Nxxc7gY,spotify:track:4jDmJ51x1o9NZB5Nxxc7gY,https://api.spotify.com/v1/tracks/4jDmJ51x1o9NZB5Nxxc7gY,https://api.spotify.com/v1/audio-analysis/4jDmJ51x1o9NZB5Nxxc7gY,300107,4
3,Karma Chameleon - Remastered 2002,Culture Club,1983-10-01,False,spotify:track:2wSAWEYUHkt92X4SBAPqZE,77,12177422298,https://open.spotify.com/track/2wSAWEYUHkt92X4SBAPqZE,6kz53iCdBSqhQCZ21CoLcc,0.668,0.73,10,-7.182,1,0.0366,0.225,0.0,0.188,0.894,92.049,audio_features,2wSAWEYUHkt92X4SBAPqZE,spotify:track:2wSAWEYUHkt92X4SBAPqZE,https://api.spotify.com/v1/tracks/2wSAWEYUHkt92X4SBAPqZE,https://api.spotify.com/v1/audio-analysis/2wSAWEYUHkt92X4SBAPqZE,252773,4
4,Girls Just Want to Have Fun,Cyndi Lauper,1983-10-14,False,spotify:track:4y1LsJpmMti1PfRQV9AWWe,81,12177422298,https://open.spotify.com/track/4y1LsJpmMti1PfRQV9AWWe,2BTZIqw0ntH9MvilQ3ewNY,0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,audio_features,4y1LsJpmMti1PfRQV9AWWe,spotify:track:4y1LsJpmMti1PfRQV9AWWe,https://api.spotify.com/v1/tracks/4y1LsJpmMti1PfRQV9AWWe,https://api.spotify.com/v1/audio-analysis/4y1LsJpmMti1PfRQV9AWWe,238267,4
5,I Want to Know What Love Is - 1999 Remaster,Foreigner,1984-12-12,False,spotify:track:1JLn8RhQzHz3qDqsChcmBl,82,12177422298,https://open.spotify.com/track/1JLn8RhQzHz3qDqsChcmBl,6IRouO5mvvfcyxtPDKMYFN,0.477,0.471,6,-10.036,1,0.0277,0.193,1.76e-06,0.131,0.423,81.204,audio_features,1JLn8RhQzHz3qDqsChcmBl,spotify:track:1JLn8RhQzHz3qDqsChcmBl,https://api.spotify.com/v1/tracks/1JLn8RhQzHz3qDqsChcmBl,https://api.spotify.com/v1/audio-analysis/1JLn8RhQzHz3qDqsChcmBl,304787,4
6,I Want to Know What Love Is - 1999 Remaster,Foreigner,1984-12-12,False,spotify:track:1JLn8RhQzHz3qDqsChcmBl,82,12177422298,https://open.spotify.com/track/1JLn8RhQzHz3qDqsChcmBl,6IRouO5mvvfcyxtPDKMYFN,0.477,0.471,6,-10.036,1,0.0277,0.193,1.76e-06,0.131,0.423,81.204,audio_features,1JLn8RhQzHz3qDqsChcmBl,spotify:track:1JLn8RhQzHz3qDqsChcmBl,https://api.spotify.com/v1/tracks/1JLn8RhQzHz3qDqsChcmBl,https://api.spotify.com/v1/audio-analysis/1JLn8RhQzHz3qDqsChcmBl,304787,4
7,Never Gonna Give You Up,Rick Astley,1987-11-12,False,spotify:track:4uLU6hMCjMI75M1A2tKUQC,6,12177422298,https://open.spotify.com/track/4uLU6hMCjMI75M1A2tKUQC,0gxyHStUsqpMadRV0Di1Qt,0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,audio_features,4uLU6hMCjMI75M1A2tKUQC,spotify:track:4uLU6hMCjMI75M1A2tKUQC,https://api.spotify.com/v1/tracks/4uLU6hMCjMI75M1A2tKUQC,https://api.spotify.com/v1/audio-analysis/4uLU6hMCjMI75M1A2tKUQC,213573,4
8,(Everything I Do) I Do It For You,Bryan Adams,1991-09-24,False,spotify:track:1Eb90nmqTrxylKFhcUzW8P,77,12177422298,https://open.spotify.com/track/1Eb90nmqTrxylKFhcUzW8P,3Z02hBLubJxuFJfhacLSDc,0.533,0.36,1,-12.633,1,0.0282,0.0805,1.03e-05,0.0631,0.299,131.229,audio_features,1Eb90nmqTrxylKFhcUzW8P,spotify:track:1Eb90nmqTrxylKFhcUzW8P,https://api.spotify.com/v1/tracks/1Eb90nmqTrxylKFhcUzW8P,https://api.spotify.com/v1/audio-analysis/1Eb90nmqTrxylKFhcUzW8P,393640,4
9,Nothing's Gonna Stop Us Now,Starship,1987-07-27,False,spotify:track:3X7uFMzJrEE0sxn62qd8Ch,79,12177422298,https://open.spotify.com/track/3X7uFMzJrEE0sxn62qd8Ch,0kObWap02DEg9EAJ3PBxzf,0.643,0.802,6,-4.92,1,0.0227,0.0299,0.0,0.0719,0.53,95.99,audio_features,3X7uFMzJrEE0sxn62qd8Ch,spotify:track:3X7uFMzJrEE0sxn62qd8Ch,https://api.spotify.com/v1/tracks/3X7uFMzJrEE0sxn62qd8Ch,https://api.spotify.com/v1/audio-analysis/3X7uFMzJrEE0sxn62qd8Ch,270333,4
