,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,El Ritmo Del Garaje,Loquillo,1989-02-22,False,spotify:track:2VIzHaFXpUB7lMtXmaZZ4N,0,teresidus,https://open.spotify.com/track/2VIzHaFXpUB7lMtXmaZZ4N,5Fv0DQ1ZBuc2DlidtOUCZr,0.575,0.718,7,-3.566,1,0.0545,0.0381,0.000504,0.1,0.962,140.885,audio_features,2VIzHaFXpUB7lMtXmaZZ4N,spotify:track:2VIzHaFXpUB7lMtXmaZZ4N,https://api.spotify.com/v1/tracks/2VIzHaFXpUB7lMtXmaZZ4N,https://api.spotify.com/v1/audio-analysis/2VIzHaFXpUB7lMtXmaZZ4N,293533,4
1,Me Colé en una Fiesta,Mecano,2013-06-18,False,spotify:track:2pd1wjBw4qByv8WMznwVaD,0,teresidus,https://open.spotify.com/track/2pd1wjBw4qByv8WMznwVaD,5BMgsAFg8rZQc3tqs5BB8G,0.725,0.978,9,-4.956,0,0.0493,0.101,0.000282,0.0641,0.894,144.771,audio_features,2pd1wjBw4qByv8WMznwVaD,spotify:track:2pd1wjBw4qByv8WMznwVaD,https://api.spotify.com/v1/tracks/2pd1wjBw4qByv8WMznwVaD,https://api.spotify.com/v1/audio-analysis/2pd1wjBw4qByv8WMznwVaD,254147,4
2,El imperio contraataca,LOS NIKIS,1986-04-04,False,spotify:track:0EzVGEyUB9HAXT1cQHwhqf,50,teresidus,https://open.spotify.com/track/0EzVGEyUB9HAXT1cQHwhqf,6arRVLZ3vn5AXkuvp9JxbS,0.487,0.914,4,-5.726,1,0.0669,0.194,1.95e-06,0.0826,0.658,133.117,audio_features,0EzVGEyUB9HAXT1cQHwhqf,spotify:track:0EzVGEyUB9HAXT1cQHwhqf,https://api.spotify.com/v1/tracks/0EzVGEyUB9HAXT1cQHwhqf,https://api.spotify.com/v1/audio-analysis/0EzVGEyUB9HAXT1cQHwhqf,192107,4
3,Ataque Preventivo de la U.R.S.S.,Polanski y el Ardor,1982,False,spotify:track:6c91qgzenwDEY5qWpG7LzS,0,teresidus,https://open.spotify.com/track/6c91qgzenwDEY5qWpG7LzS,42DaDfRKs3ZXH6oltXdwOk,0.142,0.779,9,-5.724,1,0.0635,0.00302,0.000395,0.0842,0.482,194.109,audio_features,6c91qgzenwDEY5qWpG7LzS,spotify:track:6c91qgzenwDEY5qWpG7LzS,https://api.spotify.com/v1/tracks/6c91qgzenwDEY5qWpG7LzS,https://api.spotify.com/v1/audio-analysis/6c91qgzenwDEY5qWpG7LzS,158507,4
4,El calor del amor en un bar,Gabinete Caligari,2007-03-19,False,spotify:track:4k12blydLbcePLvuVSrSgE,38,teresidus,https://open.spotify.com/track/4k12blydLbcePLvuVSrSgE,112QHbB1xApqwVJR6n20xy,0.582,0.879,4,-4.077,0,0.031,0.45,0.0,0.126,0.973,129.254,audio_features,4k12blydLbcePLvuVSrSgE,spotify:track:4k12blydLbcePLvuVSrSgE,https://api.spotify.com/v1/tracks/4k12blydLbcePLvuVSrSgE,https://api.spotify.com/v1/audio-analysis/4k12blydLbcePLvuVSrSgE,170680,4
5,Indiana,Hombres G,2006-03-06,False,spotify:track:6JqDuynlvAlI4QYvXqhY8P,47,teresidus,https://open.spotify.com/track/6JqDuynlvAlI4QYvXqhY8P,60uh2KYYSCqAgJNxcU4DA0,0.57,0.958,7,-4.282,1,0.0506,0.00415,0.000726,0.131,0.753,167.019,audio_features,6JqDuynlvAlI4QYvXqhY8P,spotify:track:6JqDuynlvAlI4QYvXqhY8P,https://api.spotify.com/v1/tracks/6JqDuynlvAlI4QYvXqhY8P,https://api.spotify.com/v1/audio-analysis/6JqDuynlvAlI4QYvXqhY8P,173560,4
6,Si es tan solo amor,Revolver,1993-06-01,False,spotify:track:02MahX3ZEDqQI8akhisqOc,44,teresidus,https://open.spotify.com/track/02MahX3ZEDqQI8akhisqOc,0U5P1naxYkkOsbHIGkVU9c,0.531,0.978,4,-2.279,1,0.0535,0.19,6.11e-06,0.456,0.804,124.868,audio_features,02MahX3ZEDqQI8akhisqOc,spotify:track:02MahX3ZEDqQI8akhisqOc,https://api.spotify.com/v1/tracks/02MahX3ZEDqQI8akhisqOc,https://api.spotify.com/v1/audio-analysis/02MahX3ZEDqQI8akhisqOc,266027,4
7,Pero a tu lado,Los Secretos,1995-01-01,False,spotify:track:3JOXwHPhtdRU3kYKcf64Gj,63,teresidus,https://open.spotify.com/track/3JOXwHPhtdRU3kYKcf64Gj,2KEDbpUlz9nwtGywHT4gyf,0.482,0.857,6,-4.841,1,0.105,0.367,6.5e-05,0.0756,0.87,79.105,audio_features,3JOXwHPhtdRU3kYKcf64Gj,spotify:track:3JOXwHPhtdRU3kYKcf64Gj,https://api.spotify.com/v1/tracks/3JOXwHPhtdRU3kYKcf64Gj,https://api.spotify.com/v1/audio-analysis/3JOXwHPhtdRU3kYKcf64Gj,195227,4
8,Chiquilla,Seguridad Social,1991-06-12,False,spotify:track:4eJikwHYHJ3yMg1tvS1Mom,60,teresidus,https://open.spotify.com/track/4eJikwHYHJ3yMg1tvS1Mom,5UbMQUFrcJdDstPCza7y0B,0.542,0.881,10,-3.559,0,0.142,0.0064,0.000112,0.359,0.765,166.835,audio_features,4eJikwHYHJ3yMg1tvS1Mom,spotify:track:4eJikwHYHJ3yMg1tvS1Mom,https://api.spotify.com/v1/tracks/4eJikwHYHJ3yMg1tvS1Mom,https://api.spotify.com/v1/audio-analysis/4eJikwHYHJ3yMg1tvS1Mom,188000,4
9,Aqui No Hay Playa,The Refrescos,2004-01-01,False,spotify:track:6P1Lksu4JnHZhxwn8svo7x,0,teresidus,https://open.spotify.com/track/6P1Lksu4JnHZhxwn8svo7x,2dN0tlioLsFZ6319yNUNlX,0.583,0.953,9,-8.141,1,0.0398,0.283,0.00131,0.174,0.949,168.139,audio_features,6P1Lksu4JnHZhxwn8svo7x,spotify:track:6P1Lksu4JnHZhxwn8svo7x,https://api.spotify.com/v1/tracks/6P1Lksu4JnHZhxwn8svo7x,https://api.spotify.com/v1/audio-analysis/6P1Lksu4JnHZhxwn8svo7x,215613,4
10,Eloise,Tino Casal,2007-11-20,False,spotify:track:6M6UYA5dPuu4kcOb7Y9x3q,44,teresidus,https://open.spotify.com/track/6M6UYA5dPuu4kcOb7Y9x3q,3PWELXN8Bl961nrQGPVk3u,0.514,0.946,10,-9.676,0,0.0576,0.156,0.00306,0.39,0.214,134.981,audio_features,6M6UYA5dPuu4kcOb7Y9x3q,spotify:track:6M6UYA5dPuu4kcOb7Y9x3q,https://api.spotify.com/v1/tracks/6M6UYA5dPuu4kcOb7Y9x3q,https://api.spotify.com/v1/audio-analysis/6M6UYA5dPuu4kcOb7Y9x3q,328960,4
11,Super Superman,Miguel Bosé,2011-10-18,False,spotify:track:79kteSck0ifLItTXCZcZhe,0,teresidus,https://open.spotify.com/track/79kteSck0ifLItTXCZcZhe,7mWCSSOYqm4E9mB7V4ot6S,0.631,0.955,2,-5.025,1,0.0327,0.00212,0.527,0.112,0.875,136.309,audio_features,79kteSck0ifLItTXCZcZhe,spotify:track:79kteSck0ifLItTXCZcZhe,https://api.spotify.com/v1/tracks/79kteSck0ifLItTXCZcZhe,https://api.spotify.com/v1/audio-analysis/79kteSck0ifLItTXCZcZhe,221240,4
12,Embrujada,Tino Casal,2007-11-20,False,spotify:track:7dubOXbOZQvqy15V0k2qc4,33,teresidus,https://open.spotify.com/track/7dubOXbOZQvqy15V0k2qc4,3PWELXN8Bl961nrQGPVk3u,0.725,0.942,10,-3.94,0,0.125,0.0102,0.00921,0.12,0.764,120.803,audio_features,7dubOXbOZQvqy15V0k2qc4,spotify:track:7dubOXbOZQvqy15V0k2qc4,https://api.spotify.com/v1/tracks/7dubOXbOZQvqy15V0k2qc4,https://api.spotify.com/v1/audio-analysis/7dubOXbOZQvqy15V0k2qc4,265800,4
13,Cuéntame un cuento,Celtas Cortos,1991-04-17,False,spotify:track:7uou7DWqEQSNfxcfipxyIu,54,teresidus,https://open.spotify.com/track/7uou7DWqEQSNfxcfipxyIu,3hIPQBm8PBt8B5aahP6cVP,0.442,0.912,11,-3.756,0,0.0381,0.0426,1.5e-06,0.0798,0.752,119.65,audio_features,7uou7DWqEQSNfxcfipxyIu,spotify:track:7uou7DWqEQSNfxcfipxyIu,https://api.spotify.com/v1/tracks/7uou7DWqEQSNfxcfipxyIu,https://api.spotify.com/v1/audio-analysis/7uou7DWqEQSNfxcfipxyIu,258531,4
14,Déjame,Los Secretos,2005-01-01,False,spotify:track:74tDMKwGlhrYEFFEKhgRLA,0,teresidus,https://open.spotify.com/track/74tDMKwGlhrYEFFEKhgRLA,2KEDbpUlz9nwtGywHT4gyf,0.46,0.947,7,-4.913,1,0.0367,0.0199,1.63e-06,0.35,0.948,99.535,audio_features,74tDMKwGlhrYEFFEKhgRLA,spotify:track:74tDMKwGlhrYEFFEKhgRLA,https://api.spotify.com/v1/tracks/74tDMKwGlhrYEFFEKhgRLA,https://api.spotify.com/v1/audio-analysis/74tDMKwGlhrYEFFEKhgRLA,157093,4
15,Amante Bandido,Miguel Bosé,1999-10-11,False,spotify:track:1wJneaMg40pI9qxGXPxG9X,58,teresidus,https://open.spotify.com/track/1wJneaMg40pI9qxGXPxG9X,7mWCSSOYqm4E9mB7V4ot6S,0.751,0.711,2,-8.026,1,0.0299,0.0413,0.0373,0.0827,0.734,130.797,audio_features,1wJneaMg40pI9qxGXPxG9X,spotify:track:1wJneaMg40pI9qxGXPxG9X,https://api.spotify.com/v1/tracks/1wJneaMg40pI9qxGXPxG9X,https://api.spotify.com/v1/audio-analysis/1wJneaMg40pI9qxGXPxG9X,263173,4
16,Cien gaviotas,Duncan Dhu,2005-11-28,False,spotify:track:5i07tC6hV5AtYTr0tsP0Uy,47,teresidus,https://open.spotify.com/track/5i07tC6hV5AtYTr0tsP0Uy,2MLHBMApNE5h8wIufiTPs7,0.593,0.943,9,-4.503,1,0.0424,0.133,4.38e-05,0.0478,0.846,136.027,audio_features,5i07tC6hV5AtYTr0tsP0Uy,spotify:track:5i07tC6hV5AtYTr0tsP0Uy,https://api.spotify.com/v1/tracks/5i07tC6hV5AtYTr0tsP0Uy,https://api.spotify.com/v1/audio-analysis/5i07tC6hV5AtYTr0tsP0Uy,169773,4
17,Devuélveme a mi chica,Hombres G,2014-05-13,False,spotify:track:6B1VrJ4pDGoVMlhKa6ZJiI,0,teresidus,https://open.spotify.com/track/6B1VrJ4pDGoVMlhKa6ZJiI,60uh2KYYSCqAgJNxcU4DA0,0.603,0.843,9,-7.597,0,0.0557,0.0031,0.0337,0.445,0.503,172.676,audio_features,6B1VrJ4pDGoVMlhKa6ZJiI,spotify:track:6B1VrJ4pDGoVMlhKa6ZJiI,https://api.spotify.com/v1/tracks/6B1VrJ4pDGoVMlhKa6ZJiI,https://api.spotify.com/v1/audio-analysis/6B1VrJ4pDGoVMlhKa6ZJiI,194867,4
18,Chica de ayer,Nacha Pop,2014-05-13,False,spotify:track:31dk6fdpzDoBIdWRilqcCO,0,teresidus,https://open.spotify.com/track/31dk6fdpzDoBIdWRilqcCO,1CdLG4i1rTEOsex2UE0jCH,0.674,0.854,7,-4.337,1,0.034,0.0579,0.00041,0.0735,0.684,127.295,audio_features,31dk6fdpzDoBIdWRilqcCO,spotify:track:31dk6fdpzDoBIdWRilqcCO,https://api.spotify.com/v1/tracks/31dk6fdpzDoBIdWRilqcCO,https://api.spotify.com/v1/audio-analysis/31dk6fdpzDoBIdWRilqcCO,208027,4
19,Espaldas mojadas,Tam Tam Go!,2014-05-13,False,spotify:track:3on8GPmUIGe07U1gtRhfbv,0,teresidus,https://open.spotify.com/track/3on8GPmUIGe07U1gtRhfbv,5S8JCEc9r5JQIOYAHngbCs,0.804,0.462,5,-13.315,1,0.0408,0.0078,0.0,0.398,0.897,121.332,audio_features,3on8GPmUIGe07U1gtRhfbv,spotify:track:3on8GPmUIGe07U1gtRhfbv,https://api.spotify.com/v1/tracks/3on8GPmUIGe07U1gtRhfbv,https://api.spotify.com/v1/audio-analysis/3on8GPmUIGe07U1gtRhfbv,247000,4
