,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Your Love,The Outfield,1985-04-07,False,spotify:track:5HGL4s8LG1X6FJfx8kbdrO,0,williamdzn,https://open.spotify.com/track/5HGL4s8LG1X6FJfx8kbdrO,1zxDewzd2j1ZdSBGaYcr0y,0.579,0.654,1,-12.421,0,0.0553,0.121,3.62e-06,0.0673,0.616,129.537,audio_features,5HGL4s8LG1X6FJfx8kbdrO,spotify:track:5HGL4s8LG1X6FJfx8kbdrO,https://api.spotify.com/v1/tracks/5HGL4s8LG1X6FJfx8kbdrO,https://api.spotify.com/v1/audio-analysis/5HGL4s8LG1X6FJfx8kbdrO,216467,4
1,Everybody Wants To Rule The World,Tears For Fears,1985-02-25,False,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,88,williamdzn,https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE,4bthk9UfsYUYdcFyqxmSUU,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,audio_features,4RvWPyQ5RL0ao9LPZeSouE,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/tracks/4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/audio-analysis/4RvWPyQ5RL0ao9LPZeSouE,251489,4
2,Beds Are Burning,Midnight Oil,1987-06-22,False,spotify:track:4fip7UWzXWW2Yp2D8Yj9aA,0,williamdzn,https://open.spotify.com/track/4fip7UWzXWW2Yp2D8Yj9aA,72KyoXzp0NOQij6OcmZUxk,0.768,0.331,0,-15.038,1,0.0412,0.0116,0.000113,0.0783,0.298,119.19,audio_features,4fip7UWzXWW2Yp2D8Yj9aA,spotify:track:4fip7UWzXWW2Yp2D8Yj9aA,https://api.spotify.com/v1/tracks/4fip7UWzXWW2Yp2D8Yj9aA,https://api.spotify.com/v1/audio-analysis/4fip7UWzXWW2Yp2D8Yj9aA,255733,4
3,Africa,TOTO,1982-04-08,False,spotify:track:2374M0fQpWi3dLnB54qaLX,85,williamdzn,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,0PFtn5NtBbbUNbU9EAmIWF,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,audio_features,2374M0fQpWi3dLnB54qaLX,spotify:track:2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,295893,4
4,Invisible Touch - Remastered 2007,Genesis,1986-06-09,False,spotify:track:480dDrqG7LO6qDaphHeXlM,71,williamdzn,https://open.spotify.com/track/480dDrqG7LO6qDaphHeXlM,3CkvROUTQ6nRi9yQOcsB50,0.623,0.94,0,-5.731,1,0.0365,0.202,0.00184,0.0472,0.837,131.037,audio_features,480dDrqG7LO6qDaphHeXlM,spotify:track:480dDrqG7LO6qDaphHeXlM,https://api.spotify.com/v1/tracks/480dDrqG7LO6qDaphHeXlM,https://api.spotify.com/v1/audio-analysis/480dDrqG7LO6qDaphHeXlM,210133,4
5,The Look,Roxette,1988-10-19,False,spotify:track:0ZfM5XfJTtFPhOxAERRnNY,0,williamdzn,https://open.spotify.com/track/0ZfM5XfJTtFPhOxAERRnNY,2SHhfs4BiDxGQ3oxqf0UHY,0.634,0.838,2,-5.363,1,0.0413,0.0531,8.34e-06,0.0522,0.541,95.011,audio_features,0ZfM5XfJTtFPhOxAERRnNY,spotify:track:0ZfM5XfJTtFPhOxAERRnNY,https://api.spotify.com/v1/tracks/0ZfM5XfJTtFPhOxAERRnNY,https://api.spotify.com/v1/audio-analysis/0ZfM5XfJTtFPhOxAERRnNY,237320,4
6,You Are the One,a-ha,1988-05-03,False,spotify:track:6a9O11ZNVVkl6zMrbdO3p3,61,williamdzn,https://open.spotify.com/track/6a9O11ZNVVkl6zMrbdO3p3,2jzc5TC5TVFLXQlBNiIUzE,0.514,0.71,2,-11.731,1,0.0316,0.017,0.007,0.29,0.861,161.108,audio_features,6a9O11ZNVVkl6zMrbdO3p3,spotify:track:6a9O11ZNVVkl6zMrbdO3p3,https://api.spotify.com/v1/tracks/6a9O11ZNVVkl6zMrbdO3p3,https://api.spotify.com/v1/audio-analysis/6a9O11ZNVVkl6zMrbdO3p3,231573,4
7,Never Gonna Give You Up,Rick Astley,1987-11-12,False,spotify:track:4cOdK2wGLETKBW3PvgPWqT,80,williamdzn,https://open.spotify.com/track/4cOdK2wGLETKBW3PvgPWqT,0gxyHStUsqpMadRV0Di1Qt,0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,audio_features,4cOdK2wGLETKBW3PvgPWqT,spotify:track:4cOdK2wGLETKBW3PvgPWqT,https://api.spotify.com/v1/tracks/4cOdK2wGLETKBW3PvgPWqT,https://api.spotify.com/v1/audio-analysis/4cOdK2wGLETKBW3PvgPWqT,213573,4
8,Big in Japan - Best Of,Alphaville,1991-12-17,False,spotify:track:3F8aTQzmKovktFcR7MCGFW,59,williamdzn,https://open.spotify.com/track/3F8aTQzmKovktFcR7MCGFW,0xliTEbFfy5HQHvsTknTkX,0.755,0.604,2,-9.84,0,0.0454,0.183,0.0336,0.128,0.491,97.8,audio_features,3F8aTQzmKovktFcR7MCGFW,spotify:track:3F8aTQzmKovktFcR7MCGFW,https://api.spotify.com/v1/tracks/3F8aTQzmKovktFcR7MCGFW,https://api.spotify.com/v1/audio-analysis/3F8aTQzmKovktFcR7MCGFW,235200,4
9,Maniac,Michael Sembello,1983-01-01,False,spotify:track:1xPSDf8z4dH46gkvlLtvDO,0,williamdzn,https://open.spotify.com/track/1xPSDf8z4dH46gkvlLtvDO,771qBvjnXOH9Azr6lKy6FB,0.617,0.533,3,-11.516,0,0.0651,0.0891,4.04e-06,0.0415,0.835,158.86,audio_features,1xPSDf8z4dH46gkvlLtvDO,spotify:track:1xPSDf8z4dH46gkvlLtvDO,https://api.spotify.com/v1/tracks/1xPSDf8z4dH46gkvlLtvDO,https://api.spotify.com/v1/audio-analysis/1xPSDf8z4dH46gkvlLtvDO,244707,4
