,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Runaway Train,Soul Asylum,1986,False,spotify:track:3Ib3SJV8ZXuLvDiDb2w1As,58,b0r59le42sug71zg4e418gk4p,https://open.spotify.com/track/3Ib3SJV8ZXuLvDiDb2w1As,02da1vDJ2hWqfK7aJL6SJm,0.616,0.714,0,-7.02,1,0.0385,0.00481,0.0,0.133,0.53,117.422,audio_features,3Ib3SJV8ZXuLvDiDb2w1As,spotify:track:3Ib3SJV8ZXuLvDiDb2w1As,https://api.spotify.com/v1/tracks/3Ib3SJV8ZXuLvDiDb2w1As,https://api.spotify.com/v1/audio-analysis/3Ib3SJV8ZXuLvDiDb2w1As,266067,4
1,"What Is Love - 7"" Mix",Haddaway,1993-09-13,False,spotify:track:2IHaGyfxNoFPLJnaEg4GTs,76,b0r59le42sug71zg4e418gk4p,https://open.spotify.com/track/2IHaGyfxNoFPLJnaEg4GTs,0Suv0tRrNrUlRzAy8aXjma,0.683,0.772,7,-7.907,0,0.0311,0.0222,0.0149,0.203,0.737,123.871,audio_features,2IHaGyfxNoFPLJnaEg4GTs,spotify:track:2IHaGyfxNoFPLJnaEg4GTs,https://api.spotify.com/v1/tracks/2IHaGyfxNoFPLJnaEg4GTs,https://api.spotify.com/v1/audio-analysis/2IHaGyfxNoFPLJnaEg4GTs,270373,4
2,Justify My Love,Madonna,2009-09-18,False,spotify:track:6BWRvw630R8z2vNMok6quI,49,b0r59le42sug71zg4e418gk4p,https://open.spotify.com/track/6BWRvw630R8z2vNMok6quI,6tbjWDEIzxoDsBA1FuhfPW,0.705,0.821,1,-7.085,1,0.128,0.00244,0.684,0.0572,0.456,99.642,audio_features,6BWRvw630R8z2vNMok6quI,spotify:track:6BWRvw630R8z2vNMok6quI,https://api.spotify.com/v1/tracks/6BWRvw630R8z2vNMok6quI,https://api.spotify.com/v1/audio-analysis/6BWRvw630R8z2vNMok6quI,294267,4
3,Ice Ice Baby,Vanilla Ice,2008-11-04,False,spotify:track:3XVozq1aeqsJwpXrEZrDJ9,72,b0r59le42sug71zg4e418gk4p,https://open.spotify.com/track/3XVozq1aeqsJwpXrEZrDJ9,7GXXMm3DB1VswVcuGyInUd,0.979,0.792,2,-2.784,1,0.0388,0.0025,7.71e-06,0.102,0.583,116.012,audio_features,3XVozq1aeqsJwpXrEZrDJ9,spotify:track:3XVozq1aeqsJwpXrEZrDJ9,https://api.spotify.com/v1/tracks/3XVozq1aeqsJwpXrEZrDJ9,https://api.spotify.com/v1/audio-analysis/3XVozq1aeqsJwpXrEZrDJ9,254467,4
4,Fields Of Gold,Sting,1993-03-09,False,spotify:track:5Y9Hqg5Z3EHUDDwd54FDQb,0,b0r59le42sug71zg4e418gk4p,https://open.spotify.com/track/5Y9Hqg5Z3EHUDDwd54FDQb,0Ty63ceoRnnJKVEYP0VQpk,0.649,0.308,2,-13.086,1,0.0261,0.359,0.0443,0.0757,0.341,103.975,audio_features,5Y9Hqg5Z3EHUDDwd54FDQb,spotify:track:5Y9Hqg5Z3EHUDDwd54FDQb,https://api.spotify.com/v1/tracks/5Y9Hqg5Z3EHUDDwd54FDQb,https://api.spotify.com/v1/audio-analysis/5Y9Hqg5Z3EHUDDwd54FDQb,222240,4
5,(Everything I Do) I Do It For You,Bryan Adams,1991-09-24,False,spotify:track:6eBK3edMW7bEzecF1eCezc,65,b0r59le42sug71zg4e418gk4p,https://open.spotify.com/track/6eBK3edMW7bEzecF1eCezc,3Z02hBLubJxuFJfhacLSDc,0.526,0.365,1,-12.605,1,0.028,0.0775,1.35e-05,0.0618,0.253,131.253,audio_features,6eBK3edMW7bEzecF1eCezc,spotify:track:6eBK3edMW7bEzecF1eCezc,https://api.spotify.com/v1/tracks/6eBK3edMW7bEzecF1eCezc,https://api.spotify.com/v1/audio-analysis/6eBK3edMW7bEzecF1eCezc,394133,4
6,Walk Of Life,Dire Straits,1985-05-13,False,spotify:track:4tyl9OMKMG8F2L0RUYQMH3,0,b0r59le42sug71zg4e418gk4p,https://open.spotify.com/track/4tyl9OMKMG8F2L0RUYQMH3,0WwSkZ7LtFUFjGjMZBMt6T,0.461,0.918,4,-8.507,1,0.0959,0.405,0.00033,0.126,0.802,172.435,audio_features,4tyl9OMKMG8F2L0RUYQMH3,spotify:track:4tyl9OMKMG8F2L0RUYQMH3,https://api.spotify.com/v1/tracks/4tyl9OMKMG8F2L0RUYQMH3,https://api.spotify.com/v1/audio-analysis/4tyl9OMKMG8F2L0RUYQMH3,249960,4
7,The Rhythm of the Night,Corona,1994,False,spotify:track:0ofMkI3jzmGCElAOgOLeo3,72,b0r59le42sug71zg4e418gk4p,https://open.spotify.com/track/0ofMkI3jzmGCElAOgOLeo3,26T6b8maqEVltcmE4kSDUl,0.69,0.805,5,-11.522,0,0.0336,0.000232,0.739,0.095,0.799,127.808,audio_features,0ofMkI3jzmGCElAOgOLeo3,spotify:track:0ofMkI3jzmGCElAOgOLeo3,https://api.spotify.com/v1/tracks/0ofMkI3jzmGCElAOgOLeo3,https://api.spotify.com/v1/audio-analysis/0ofMkI3jzmGCElAOgOLeo3,264280,4
8,Another Day In Paradise,Phil Collins,1989-11-10,False,spotify:track:3wNXqTMimmuTEj1iEPftC7,0,b0r59le42sug71zg4e418gk4p,https://open.spotify.com/track/3wNXqTMimmuTEj1iEPftC7,4lxfqrEsLX6N1N4OCSkILp,0.792,0.411,5,-12.384,0,0.033,0.786,0.00212,0.0499,0.41,101.976,audio_features,3wNXqTMimmuTEj1iEPftC7,spotify:track:3wNXqTMimmuTEj1iEPftC7,https://api.spotify.com/v1/tracks/3wNXqTMimmuTEj1iEPftC7,https://api.spotify.com/v1/audio-analysis/3wNXqTMimmuTEj1iEPftC7,322173,4
9,All Around the World - Remastered,Lisa Stansfield,2003-05-30,False,spotify:track:4oDE2kdP0JksBFuvMNZYyS,47,b0r59le42sug71zg4e418gk4p,https://open.spotify.com/track/4oDE2kdP0JksBFuvMNZYyS,2jS7I1u7BpgWT9ssG62Zr1,0.436,0.914,1,-4.608,1,0.192,0.552,1.68e-06,0.0876,0.765,101.211,audio_features,4oDE2kdP0JksBFuvMNZYyS,spotify:track:4oDE2kdP0JksBFuvMNZYyS,https://api.spotify.com/v1/tracks/4oDE2kdP0JksBFuvMNZYyS,https://api.spotify.com/v1/audio-analysis/4oDE2kdP0JksBFuvMNZYyS,265760,4
