,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,La Luz,Juanes,2014-01-01,False,spotify:track:6Kmh3xMuKdT3elxaKMtr4d,51,12136006341,https://open.spotify.com/track/6Kmh3xMuKdT3elxaKMtr4d,0UWZUmn7sybxMCqrw9tGa7,0.624,0.979,1,-3.796,0,0.0495,0.111,0.0,0.0972,0.88,157.962,audio_features,6Kmh3xMuKdT3elxaKMtr4d,spotify:track:6Kmh3xMuKdT3elxaKMtr4d,https://api.spotify.com/v1/tracks/6Kmh3xMuKdT3elxaKMtr4d,https://api.spotify.com/v1/audio-analysis/6Kmh3xMuKdT3elxaKMtr4d,176987,4
1,Humanos a Marte,Chayanne,2014-04-21,False,spotify:track:5fQ92ZcbeS2fF3YezS7B61,0,12136006341,https://open.spotify.com/track/5fQ92ZcbeS2fF3YezS7B61,1JbemQ1fPt2YmSLjAFhPBv,0.674,0.921,9,-3.515,1,0.0426,0.117,0.0,0.151,0.804,92.989,audio_features,5fQ92ZcbeS2fF3YezS7B61,spotify:track:5fQ92ZcbeS2fF3YezS7B61,https://api.spotify.com/v1/tracks/5fQ92ZcbeS2fF3YezS7B61,https://api.spotify.com/v1/audio-analysis/5fQ92ZcbeS2fF3YezS7B61,225187,4
2,Dame tu amor (Gimme Your Love),Alexander Acha,2014-03-11,False,spotify:track:4oqBYysYP0idXpmRv0cOHP,18,12136006341,https://open.spotify.com/track/4oqBYysYP0idXpmRv0cOHP,3JkgQ8Jjwt2mkeOsg5yhqh,0.649,0.777,1,-6.062,1,0.0311,0.000298,0.0338,0.098,0.853,120.001,audio_features,4oqBYysYP0idXpmRv0cOHP,spotify:track:4oqBYysYP0idXpmRv0cOHP,https://api.spotify.com/v1/tracks/4oqBYysYP0idXpmRv0cOHP,https://api.spotify.com/v1/audio-analysis/4oqBYysYP0idXpmRv0cOHP,224403,4
3,Mi Lugar Favorito,Natalia Lafourcade,2015-03-17,False,spotify:track:61eLDmKSbLpFEK0QyDV93z,0,12136006341,https://open.spotify.com/track/61eLDmKSbLpFEK0QyDV93z,1hcdI2N1023RvSwLzTtdsp,0.65,0.756,0,-6.708,1,0.0364,0.187,0.00532,0.174,0.823,159.146,audio_features,61eLDmKSbLpFEK0QyDV93z,spotify:track:61eLDmKSbLpFEK0QyDV93z,https://api.spotify.com/v1/tracks/61eLDmKSbLpFEK0QyDV93z,https://api.spotify.com/v1/audio-analysis/61eLDmKSbLpFEK0QyDV93z,297347,4
4,Nunca Es Suficiente,Natalia Lafourcade,2015-03-17,False,spotify:track:0vI2xzp1e8rtMTJ1MEt0ts,0,12136006341,https://open.spotify.com/track/0vI2xzp1e8rtMTJ1MEt0ts,1hcdI2N1023RvSwLzTtdsp,0.817,0.638,2,-8.15,0,0.0348,0.535,1.59e-06,0.131,0.829,89.038,audio_features,0vI2xzp1e8rtMTJ1MEt0ts,spotify:track:0vI2xzp1e8rtMTJ1MEt0ts,https://api.spotify.com/v1/tracks/0vI2xzp1e8rtMTJ1MEt0ts,https://api.spotify.com/v1/audio-analysis/0vI2xzp1e8rtMTJ1MEt0ts,237107,4
5,10 A.M.,Zoé,2013-01-01,False,spotify:track:5bNfEhOdYOg3xymezctqvS,62,12136006341,https://open.spotify.com/track/5bNfEhOdYOg3xymezctqvS,6IdtcAwaNVAggwd6sCKgTI,0.516,0.871,1,-6.258,0,0.0313,0.29,0.0402,0.0781,0.798,155.007,audio_features,5bNfEhOdYOg3xymezctqvS,spotify:track:5bNfEhOdYOg3xymezctqvS,https://api.spotify.com/v1/tracks/5bNfEhOdYOg3xymezctqvS,https://api.spotify.com/v1/audio-analysis/5bNfEhOdYOg3xymezctqvS,209373,4
6,Cámara Lenta,Zoé,2013-01-01,False,spotify:track:2SD2CdWAyC3Xo57QTsm8KI,54,12136006341,https://open.spotify.com/track/2SD2CdWAyC3Xo57QTsm8KI,6IdtcAwaNVAggwd6sCKgTI,0.553,0.787,9,-8.174,0,0.0273,0.0968,0.418,0.316,0.706,150.027,audio_features,2SD2CdWAyC3Xo57QTsm8KI,spotify:track:2SD2CdWAyC3Xo57QTsm8KI,https://api.spotify.com/v1/tracks/2SD2CdWAyC3Xo57QTsm8KI,https://api.spotify.com/v1/audio-analysis/2SD2CdWAyC3Xo57QTsm8KI,300280,4
7,Dos Mil Trece,Zoé,2013-01-01,False,spotify:track:6lgHyXnLgissB3AoZ9kHfl,44,12136006341,https://open.spotify.com/track/6lgHyXnLgissB3AoZ9kHfl,6IdtcAwaNVAggwd6sCKgTI,0.538,0.524,7,-7.003,1,0.0249,0.021,0.00677,0.16,0.228,97.987,audio_features,6lgHyXnLgissB3AoZ9kHfl,spotify:track:6lgHyXnLgissB3AoZ9kHfl,https://api.spotify.com/v1/tracks/6lgHyXnLgissB3AoZ9kHfl,https://api.spotify.com/v1/audio-analysis/6lgHyXnLgissB3AoZ9kHfl,270520,4
8,Fin De Semana,Zoé,2013-01-01,False,spotify:track:390zQV72aph1h6DC34P0j0,53,12136006341,https://open.spotify.com/track/390zQV72aph1h6DC34P0j0,6IdtcAwaNVAggwd6sCKgTI,0.593,0.788,0,-6.168,1,0.0257,0.00832,0.00211,0.303,0.857,140.022,audio_features,390zQV72aph1h6DC34P0j0,spotify:track:390zQV72aph1h6DC34P0j0,https://api.spotify.com/v1/tracks/390zQV72aph1h6DC34P0j0,https://api.spotify.com/v1/audio-analysis/390zQV72aph1h6DC34P0j0,191293,4
9,Arrullo De Estrellas,Zoé,2013-01-01,False,spotify:track:1p4rYrxjVkj6v2eMzRhLfA,69,12136006341,https://open.spotify.com/track/1p4rYrxjVkj6v2eMzRhLfA,6IdtcAwaNVAggwd6sCKgTI,0.459,0.764,5,-7.001,1,0.0359,0.326,0.22,0.0743,0.384,81.503,audio_features,1p4rYrxjVkj6v2eMzRhLfA,spotify:track:1p4rYrxjVkj6v2eMzRhLfA,https://api.spotify.com/v1/tracks/1p4rYrxjVkj6v2eMzRhLfA,https://api.spotify.com/v1/audio-analysis/1p4rYrxjVkj6v2eMzRhLfA,252693,4
