,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Flowers,Miley Cyrus,2023-01-13,False,spotify:track:0yLdNVWF3Srea0uzk55zFn,98,mejoresplaylistsspotify,https://open.spotify.com/track/0yLdNVWF3Srea0uzk55zFn,5YGY8feqx7naU7z4HrwZM6,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,audio_features,0yLdNVWF3Srea0uzk55zFn,spotify:track:0yLdNVWF3Srea0uzk55zFn,https://api.spotify.com/v1/tracks/0yLdNVWF3Srea0uzk55zFn,https://api.spotify.com/v1/audio-analysis/0yLdNVWF3Srea0uzk55zFn,200455,4
1,As It Was,Harry Styles,2022-03-31,False,spotify:track:4LRPiXqCikLlN15c3yImP7,92,mejoresplaylistsspotify,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7,6KImCVD70vtIoJWnq6nGn3,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4LRPiXqCikLlN15c3yImP7,spotify:track:4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/tracks/4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/audio-analysis/4LRPiXqCikLlN15c3yImP7,167303,4
2,SNAP,Rosa Linn,2022-03-19,False,spotify:track:76OGwb5RA9h4FxQPT33ekc,90,mejoresplaylistsspotify,https://open.spotify.com/track/76OGwb5RA9h4FxQPT33ekc,46xBNx0j6cwY6sD9LgMTm1,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,audio_features,76OGwb5RA9h4FxQPT33ekc,spotify:track:76OGwb5RA9h4FxQPT33ekc,https://api.spotify.com/v1/tracks/76OGwb5RA9h4FxQPT33ekc,https://api.spotify.com/v1/audio-analysis/76OGwb5RA9h4FxQPT33ekc,179551,4
3,Kill Bill,SZA,2022-12-08,False,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,94,mejoresplaylistsspotify,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL,7tYKF4w9nC0nq9CsPZTHyP,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,audio_features,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4
4,STAY (with Justin Bieber),The Kid LAROI,2021-07-09,True,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,87,mejoresplaylistsspotify,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20,2tIP7SsRs7vjIcLrU85W8J,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806,4
4,STAY (with Justin Bieber),The Kid LAROI,2021-07-09,True,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,87,mejoresplaylistsspotify,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20,1uNFoZAHBGtllmzznpCI3s,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806,4
4,STAY (with Justin Bieber),Justin Bieber,2021-07-09,True,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,87,mejoresplaylistsspotify,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20,2tIP7SsRs7vjIcLrU85W8J,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806,4
4,STAY (with Justin Bieber),Justin Bieber,2021-07-09,True,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,87,mejoresplaylistsspotify,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20,1uNFoZAHBGtllmzznpCI3s,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806,4
5,River,Miley Cyrus,2023-03-10,False,spotify:track:04CqLjewJiSAqM210vZAmT,86,mejoresplaylistsspotify,https://open.spotify.com/track/04CqLjewJiSAqM210vZAmT,5YGY8feqx7naU7z4HrwZM6,0.613,0.803,9,-5.171,1,0.0367,0.000525,0.000333,0.189,0.461,127.989,audio_features,04CqLjewJiSAqM210vZAmT,spotify:track:04CqLjewJiSAqM210vZAmT,https://api.spotify.com/v1/tracks/04CqLjewJiSAqM210vZAmT,https://api.spotify.com/v1/audio-analysis/04CqLjewJiSAqM210vZAmT,162973,4
6,Another Love,Tom Odell,2013-06-24,True,spotify:track:3JvKfv6T31zO0ini8iNItO,92,mejoresplaylistsspotify,https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO,2txHhyCwHjUEpJjWrEyqyX,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,audio_features,3JvKfv6T31zO0ini8iNItO,spotify:track:3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/tracks/3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/audio-analysis/3JvKfv6T31zO0ini8iNItO,244360,4
