,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Better Off Alone,Alice Deejay,2000,False,spotify:track:0pMUR7Uvp6vxlbG0qBFvgM,6,21zhzpdbf45zgxlarfs6quswi,https://open.spotify.com/track/0pMUR7Uvp6vxlbG0qBFvgM,2tbvDi9eXf9XXp06LupkED,0.671,0.88,8,-6.149,0,0.0552,0.00181,0.691,0.285,0.782,136.953,audio_features,0pMUR7Uvp6vxlbG0qBFvgM,spotify:track:0pMUR7Uvp6vxlbG0qBFvgM,https://api.spotify.com/v1/tracks/0pMUR7Uvp6vxlbG0qBFvgM,https://api.spotify.com/v1/audio-analysis/0pMUR7Uvp6vxlbG0qBFvgM,214883,4
1,Ecuador - Original Radio Edit,Sash!,2016-09-30,False,spotify:track:5hDPWrf12qJQ2pFGTbputX,47,21zhzpdbf45zgxlarfs6quswi,https://open.spotify.com/track/5hDPWrf12qJQ2pFGTbputX,5XTxV2ifoYkmNb13Gb6cKz,0.591,0.888,4,-6.836,1,0.0354,0.00223,0.699,0.396,0.588,132.885,audio_features,5hDPWrf12qJQ2pFGTbputX,spotify:track:5hDPWrf12qJQ2pFGTbputX,https://api.spotify.com/v1/tracks/5hDPWrf12qJQ2pFGTbputX,https://api.spotify.com/v1/audio-analysis/5hDPWrf12qJQ2pFGTbputX,212133,4
2,Me and You,Alexia,1997-06-24,False,spotify:track:1AAQ2bZXqYlCpzfLAMcqbu,50,21zhzpdbf45zgxlarfs6quswi,https://open.spotify.com/track/1AAQ2bZXqYlCpzfLAMcqbu,09ao6AC5gW8AxRBUVkqWIB,0.676,0.9,11,-9.0,0,0.0402,0.00583,0.000349,0.141,0.707,139.949,audio_features,1AAQ2bZXqYlCpzfLAMcqbu,spotify:track:1AAQ2bZXqYlCpzfLAMcqbu,https://api.spotify.com/v1/tracks/1AAQ2bZXqYlCpzfLAMcqbu,https://api.spotify.com/v1/audio-analysis/1AAQ2bZXqYlCpzfLAMcqbu,246507,4
3,L'amour Toujours (Small Mix),Gigi D'Agostino,2014-05-30,False,spotify:track:0FkLMOUTkSTPSAYkIXQ579,64,21zhzpdbf45zgxlarfs6quswi,https://open.spotify.com/track/0FkLMOUTkSTPSAYkIXQ579,1OAjDaKgg00KCUYqDe68un,0.637,0.878,7,-4.449,1,0.0302,0.0775,0.0227,0.364,0.742,139.053,audio_features,0FkLMOUTkSTPSAYkIXQ579,spotify:track:0FkLMOUTkSTPSAYkIXQ579,https://api.spotify.com/v1/tracks/0FkLMOUTkSTPSAYkIXQ579,https://api.spotify.com/v1/audio-analysis/0FkLMOUTkSTPSAYkIXQ579,242053,4
4,Infinity,Guru Josh,1990-10-17,False,spotify:track:78fTO9KOXmWLkm1r6Ko2Uq,55,21zhzpdbf45zgxlarfs6quswi,https://open.spotify.com/track/78fTO9KOXmWLkm1r6Ko2Uq,0GWezHEUuBQvQM31OaWlS7,0.609,0.762,7,-13.992,0,0.0416,0.00504,0.877,0.183,0.228,125.117,audio_features,78fTO9KOXmWLkm1r6Ko2Uq,spotify:track:78fTO9KOXmWLkm1r6Ko2Uq,https://api.spotify.com/v1/tracks/78fTO9KOXmWLkm1r6Ko2Uq,https://api.spotify.com/v1/audio-analysis/78fTO9KOXmWLkm1r6Ko2Uq,241507,4
5,Be My Lover,La Bouche,1996-01-16,False,spotify:track:7FoUzKTSQp25oe32pY9z5p,67,21zhzpdbf45zgxlarfs6quswi,https://open.spotify.com/track/7FoUzKTSQp25oe32pY9z5p,488v7rQzthLNK22r0UvMie,0.669,0.941,1,-5.765,0,0.0313,0.00129,4.3e-06,0.886,0.841,134.809,audio_features,7FoUzKTSQp25oe32pY9z5p,spotify:track:7FoUzKTSQp25oe32pY9z5p,https://api.spotify.com/v1/tracks/7FoUzKTSQp25oe32pY9z5p,https://api.spotify.com/v1/audio-analysis/7FoUzKTSQp25oe32pY9z5p,240267,4
6,Freed From Desire,Gala,1997-11-17,False,spotify:track:3u5N55tHf7hXATSQrjBh2q,79,21zhzpdbf45zgxlarfs6quswi,https://open.spotify.com/track/3u5N55tHf7hXATSQrjBh2q,3OqTvcWgb0xaainosGVvuZ,0.704,0.861,2,-4.221,0,0.0493,0.587,0.0615,0.0992,0.636,128.99,audio_features,3u5N55tHf7hXATSQrjBh2q,spotify:track:3u5N55tHf7hXATSQrjBh2q,https://api.spotify.com/v1/tracks/3u5N55tHf7hXATSQrjBh2q,https://api.spotify.com/v1/audio-analysis/3u5N55tHf7hXATSQrjBh2q,213394,4
7,Children,Robert Miles,1996-07-11,False,spotify:track:4wtR6HB3XekEengMX17cpc,71,21zhzpdbf45zgxlarfs6quswi,https://open.spotify.com/track/4wtR6HB3XekEengMX17cpc,2YVF0Ou5zIc4mpgtLIlGN0,0.604,0.755,0,-10.761,1,0.0337,0.000298,0.817,0.0625,0.387,137.064,audio_features,4wtR6HB3XekEengMX17cpc,spotify:track:4wtR6HB3XekEengMX17cpc,https://api.spotify.com/v1/tracks/4wtR6HB3XekEengMX17cpc,https://api.spotify.com/v1/audio-analysis/4wtR6HB3XekEengMX17cpc,243267,4
8,Oh La La La,2 Eivissa,2006-07-18,False,spotify:track:3y7KI1lRSm9jjrCjmsyFPN,52,21zhzpdbf45zgxlarfs6quswi,https://open.spotify.com/track/3y7KI1lRSm9jjrCjmsyFPN,3gkV8EZ8pE0eCwyLeUNwzE,0.789,0.862,5,-4.06,0,0.0398,0.0263,0.0368,0.219,0.882,130.442,audio_features,3y7KI1lRSm9jjrCjmsyFPN,spotify:track:3y7KI1lRSm9jjrCjmsyFPN,https://api.spotify.com/v1/tracks/3y7KI1lRSm9jjrCjmsyFPN,https://api.spotify.com/v1/audio-analysis/3y7KI1lRSm9jjrCjmsyFPN,211253,4
9,Blue (Da Ba Dee) - Extended Remix,Eiffel 65,1999-11-30,False,spotify:track:502X3BGNst24d1LUKkLh35,0,21zhzpdbf45zgxlarfs6quswi,https://open.spotify.com/track/502X3BGNst24d1LUKkLh35,64rxQRJsLgZwHHyWKB8fiF,0.824,0.978,7,-9.244,0,0.0616,0.236,0.000718,0.393,0.78,127.997,audio_features,502X3BGNst24d1LUKkLh35,spotify:track:502X3BGNst24d1LUKkLh35,https://api.spotify.com/v1/tracks/502X3BGNst24d1LUKkLh35,https://api.spotify.com/v1/audio-analysis/502X3BGNst24d1LUKkLh35,286667,4
