,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Umbrella,Rihanna,2008-06-02,False,spotify:track:49FYlytm3dAAraYgpoJZux,85,el_listón,https://open.spotify.com/track/49FYlytm3dAAraYgpoJZux,5pKCCKE2ajJHZ9KAiaK11H,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,audio_features,49FYlytm3dAAraYgpoJZux,spotify:track:49FYlytm3dAAraYgpoJZux,https://api.spotify.com/v1/tracks/49FYlytm3dAAraYgpoJZux,https://api.spotify.com/v1/audio-analysis/49FYlytm3dAAraYgpoJZux,275987,4
0,Umbrella,Rihanna,2008-06-02,False,spotify:track:49FYlytm3dAAraYgpoJZux,85,el_listón,https://open.spotify.com/track/49FYlytm3dAAraYgpoJZux,3nFkdlSjzX9mRTtwJOzDYB,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,audio_features,49FYlytm3dAAraYgpoJZux,spotify:track:49FYlytm3dAAraYgpoJZux,https://api.spotify.com/v1/tracks/49FYlytm3dAAraYgpoJZux,https://api.spotify.com/v1/audio-analysis/49FYlytm3dAAraYgpoJZux,275987,4
0,Umbrella,JAY-Z,2008-06-02,False,spotify:track:49FYlytm3dAAraYgpoJZux,85,el_listón,https://open.spotify.com/track/49FYlytm3dAAraYgpoJZux,5pKCCKE2ajJHZ9KAiaK11H,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,audio_features,49FYlytm3dAAraYgpoJZux,spotify:track:49FYlytm3dAAraYgpoJZux,https://api.spotify.com/v1/tracks/49FYlytm3dAAraYgpoJZux,https://api.spotify.com/v1/audio-analysis/49FYlytm3dAAraYgpoJZux,275987,4
0,Umbrella,JAY-Z,2008-06-02,False,spotify:track:49FYlytm3dAAraYgpoJZux,85,el_listón,https://open.spotify.com/track/49FYlytm3dAAraYgpoJZux,3nFkdlSjzX9mRTtwJOzDYB,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,audio_features,49FYlytm3dAAraYgpoJZux,spotify:track:49FYlytm3dAAraYgpoJZux,https://api.spotify.com/v1/tracks/49FYlytm3dAAraYgpoJZux,https://api.spotify.com/v1/audio-analysis/49FYlytm3dAAraYgpoJZux,275987,4
1,Party In The U.S.A.,Miley Cyrus,2009-01-01,False,spotify:track:3E7dfMvvCLUddWissuqMwr,83,el_listón,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr,5YGY8feqx7naU7z4HrwZM6,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,audio_features,3E7dfMvvCLUddWissuqMwr,spotify:track:3E7dfMvvCLUddWissuqMwr,https://api.spotify.com/v1/tracks/3E7dfMvvCLUddWissuqMwr,https://api.spotify.com/v1/audio-analysis/3E7dfMvvCLUddWissuqMwr,202067,4
2,Tenia Tanto Que Darte,Nena Daconte,2008-01-01,False,spotify:track:3Th2of8xIYyImVLXUbzaTp,64,el_listón,https://open.spotify.com/track/3Th2of8xIYyImVLXUbzaTp,58ZTr51uERVdMQbfDbc5B3,0.642,0.603,1,-3.794,1,0.0349,0.0465,0.0,0.448,0.493,124.978,audio_features,3Th2of8xIYyImVLXUbzaTp,spotify:track:3Th2of8xIYyImVLXUbzaTp,https://api.spotify.com/v1/tracks/3Th2of8xIYyImVLXUbzaTp,https://api.spotify.com/v1/audio-analysis/3Th2of8xIYyImVLXUbzaTp,204560,4
3,Bad Romance,Lady Gaga,2009-11-05,True,spotify:track:0SiywuOBRcynK0uKGWdCnn,83,el_listón,https://open.spotify.com/track/0SiywuOBRcynK0uKGWdCnn,1HY2Jd0NmPuamShAr6KMms,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,audio_features,0SiywuOBRcynK0uKGWdCnn,spotify:track:0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/tracks/0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/audio-analysis/0SiywuOBRcynK0uKGWdCnn,294573,4
4,Con Las Ganas,Zahara,2009-01-01,False,spotify:track:65S18KXTH1fl5AYnKOJN6r,60,el_listón,https://open.spotify.com/track/65S18KXTH1fl5AYnKOJN6r,7uLePkJ2f0MwEcphODfkuu,0.434,0.0962,4,-15.646,1,0.138,0.936,0.0,0.128,0.3,55.453,audio_features,65S18KXTH1fl5AYnKOJN6r,spotify:track:65S18KXTH1fl5AYnKOJN6r,https://api.spotify.com/v1/tracks/65S18KXTH1fl5AYnKOJN6r,https://api.spotify.com/v1/audio-analysis/65S18KXTH1fl5AYnKOJN6r,255773,4
5,You Belong With Me (Taylor’s Version),Taylor Swift,2021-04-09,False,spotify:track:1qrpoAMXodY6895hGKoUpA,83,el_listón,https://open.spotify.com/track/1qrpoAMXodY6895hGKoUpA,06HL4z0CvFAxyc27GXpf02,0.632,0.773,6,-4.856,1,0.0346,0.0623,0.0,0.0885,0.474,130.033,audio_features,1qrpoAMXodY6895hGKoUpA,spotify:track:1qrpoAMXodY6895hGKoUpA,https://api.spotify.com/v1/tracks/1qrpoAMXodY6895hGKoUpA,https://api.spotify.com/v1/audio-analysis/1qrpoAMXodY6895hGKoUpA,231124,4
6,This Is The Life,Amy Macdonald,2007-01-01,False,spotify:track:2T3jgoAMbBXiMMD8pSc6QL,80,el_listón,https://open.spotify.com/track/2T3jgoAMbBXiMMD8pSc6QL,1hJuGCUpefX24GFmss9bjH,0.628,0.882,1,-5.024,0,0.0323,0.259,0.0,0.065,0.853,95.083,audio_features,2T3jgoAMbBXiMMD8pSc6QL,spotify:track:2T3jgoAMbBXiMMD8pSc6QL,https://api.spotify.com/v1/tracks/2T3jgoAMbBXiMMD8pSc6QL,https://api.spotify.com/v1/audio-analysis/2T3jgoAMbBXiMMD8pSc6QL,184413,4
