,artist_name,artist_id,followers,genres,popularity
0,Bruce Hornsby,2iM28IgKg89v1o7BTQAVPo,358615,"['album rock', 'heartland rock', 'mellow gold', 'piano rock', 'singer-songwriter', 'soft rock']",55
0,The Range,4374DY0rBAi0pCV6F9i00Y,3493,['soft rock'],55
0,Double,4NOA8osMRoNN1FZ5vrR4y2,10423,"['new wave pop', 'sophisti-pop']",45
0,Matt Bianco,1WQky50vkzSvSCUl0ejWqb,85346,['sophisti-pop'],44
0,Supermax,0uIhbmH4ljZzKm8xGgsXok,11953,[],30
0,Gnarls Barkley,5SbkVQYYzlw1kte75QIabH,484480,"['atl hip hop', 'neo soul']",64
0,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,1660460,"['australian dance', 'australian pop', 'dance pop', 'eurodance', 'new wave pop']",69
0,James Brown,7GaxyUddsPok8BuhxN6OUW,2029928,"['funk', 'soul']",64
0,LP,0J7U24vlOOIeMpuaO6Q85A,2561540,"['la pop', ""women's music""]",68
0,Simply Red,1fa0cOhromAZdq2xRA4vv8,2098644,"['british soul', 'new romantic', 'new wave pop', 'soft rock', 'sophisti-pop']",67
0,Lighthouse Family,6edGSAX5dVpeJVwu1Q0NwJ,518279,"['europop', 'new wave pop']",59
0,The Alan Parsons Project,2m62cc253Xvd9qYQ8d2X3d,1299933,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'soft rock', 'symphonic rock']",63
0,Keane,53A0W3U0s8diEn9RhXQhVz,2918180,"['neo mellow', 'piano rock', 'pop rock']",74
0,Toni Braxton,3X458ddYA2YcVWuVIGGOYe,3708643,"['contemporary r&b', 'dance pop', 'r&b', 'urban contemporary']",64
0,Shania Twain,5e4Dhzv426EvQe3aDb64jL,2882952,"['canadian country', 'canadian pop', 'contemporary country', 'country', 'country dawn']",74
0,No Doubt,0cQbJU1aAzvbEmTuljWLlF,2490642,"['dance pop', 'dance rock', 'permanent wave', 'pop rock', 'rock']",68
0,Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,4142362,"['mellow gold', 'soft rock']",73
0,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,3705569,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",71
0,Chris Rea,5KEG7G8LDYlHgFDqZyEEs2,880969,"['soft rock', 'sophisti-pop']",59
0,Joe Cocker,3pFCERyEiP5xeN2EsPXhjI,2092014,"['album rock', 'blues rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",65
0,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,15442046,"['piano rock', 'pop']",84
0,James Blunt,7KMqksf0UMdyA0UCf4R3ux,2776766,['neo mellow'],72
0,Elton John,3PhoLpVuITZKcymswpck5b,11422104,"['glam rock', 'mellow gold', 'piano rock', 'rock']",84
0,Glenn Frey,3vMWY1bUrmYoSoEWLiQWOZ,551448,"['album rock', 'classic rock', 'country rock', 'heartland rock', 'mellow gold', 'new wave pop', 'singer-songwriter', 'soft rock']",56
0,Bryan Ferry,5RNFFojXkPRmlJZIwXeKQC,532819,"['glam rock', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'solo wave', 'sophisti-pop']",59
0,Barry White,3rfgbfpPSfXY40lzRK7Syt,1685518,"['disco', 'quiet storm', 'soul']",65
0,Lisa Stansfield,2jS7I1u7BpgWT9ssG62Zr1,655182,"['british soul', 'new romantic', 'new wave pop', 'synthpop']",55
0,Fools Garden,0jRqFvRKCDryHOgrgFqsKG,127054,['german pop rock'],59
0,Gazebo,1Tzu45aHnn0Xz4msfhHRW1,62582,"['italian disco', 'synthpop']",46
0,Prefab Sprout,4w3QqrcmBv8dasemwBXmxf,187626,"['melancholia', 'new romantic', 'new wave pop', 'sophisti-pop']",48
0,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,8105262,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",80
0,Lenny Kravitz,5gznATMVO85ZcLTkE9ULU7,2888147,"['permanent wave', 'rock']",70
0,Seal,5GtMEZEeFFsuHY8ad4kOxv,1674865,['british soul'],64
0,Crowded House,7ohlPA8dRBtCf92zaZCaaB,747999,"['australian rock', 'permanent wave']",66
0,Fugees,2WKdxPFRD7IqZvlIAvhMgY,1232403,"['east coast hip hop', 'hip hop', 'neo soul', 'new jersey rap']",67
