,artist_name,artist_id,followers,genres,popularity
0,Amistades Peligrosas,15FscPIs0VO23BCCMaPglf,301498,"['latin pop', 'rock en espanol', 'spanish new wave', 'spanish pop']",52
0,Nacho Cano,3sNPNZwXgDcCY71Jqa7kMe,76939,"['cantautor', 'mexican pop', 'spanish new wave', 'spanish pop']",41
0,Mercedes Ferrer,6iIXnmfNddiSobGZBeCzKP,2306,[],37
0,La Guardia,5UYbCAN2H4Yr4f46tN5AeD,137124,"['cantautor', 'spanish folk rock', 'spanish new wave', 'spanish pop']",50
0,Radio Futura,4qKJA8Cf8R44cMThP6q8KM,348921,"['cantautor', 'spanish new wave', 'spanish pop']",54
0,Seguridad Social,5UbMQUFrcJdDstPCza7y0B,137611,"['rock en espanol', 'spanish new wave', 'spanish pop']",50
0,Ella Baila Sola,6xvRfsmnwd0qcDUomtlmAt,365951,"['latin pop', 'mexican pop', 'spanish pop', 'spanish pop rock']",51
0,Marta Sánchez,368rTiMKMrz3b03az6B14w,373290,"['latin pop', 'spanish pop']",63
0,Los Manolos,4WsE6jJORlwp3OcAWkCUrj,26786,"['rumba', 'rumba catalana']",41
0,Los Auténticos Decadentes,3HrbmsYpKjWH1lzhad7alj,1927196,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",68
0,Maná,7okwEbXzyT2VffBmyQBWLz,9617491,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']",78
0,Shakira,0EmeFodog0BfCgMzAIvKQp,28661520,"['colombian pop', 'dance pop', 'latin pop', 'pop']",90
0,Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,2219112,"['argentine rock', 'cantautor', 'latin alternative', 'latin rock', 'pop argentino', 'rock en espanol']",69
0,Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,7158876,"['cantautor', 'latin arena pop', 'latin pop', 'mexican pop']",77
0,Navajita Platea,14QPRrwRDAiUhdGC6D3VpE,45293,"['flamenco', 'pop flamenco', 'rumba', 'spanish pop']",48
0,Ketama,5s9GgX51pD0YhcsQRSYlpF,125979,"['cantautor', 'flamenco', 'nuevo flamenco', 'pop flamenco', 'rumba', 'spanish pop']",47
0,Los Rodriguez,3XkJyJgJDxnjdQgH0zfT8K,637953,"['argentine rock', 'latin alternative', 'rock en espanol']",60
0,Celtas Cortos,3hIPQBm8PBt8B5aahP6cVP,242258,"['cantautor', 'celtic rock', 'latin alternative', 'musica pitiusa', 'spanish new wave', 'spanish pop']",52
0,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,1164369,"['indie extremena', 'spanish rock']",63
0,Jarabe De Palo,5B6H1Dq77AV1LZWrbNsuH5,1478532,"['latin alternative', 'latin rock', 'rock en espanol', 'spanish pop', 'spanish rock']",68
0,El Chaval De La Peca,2vmS7wjopQSoPNuEs5tU2S,7148,[],29
0,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,7130908,"['latin pop', 'puerto rican pop']",71
0,Café Quijano,2ECP3nWC88LaFz4oQzTo3Z,385403,"['cantautor', 'spanish pop']",57
0,La Oreja de Van Gogh,4U7lXyKdSf1JbM1aXvsodC,3313445,"['latin arena pop', 'latin pop', 'mexican pop', 'spanish pop', 'spanish pop rock']",73
0,Fito y Fitipaldis,1tZ99AnqyjgrmPwLfGU5eo,1811651,"['cantautor', 'latin rock', 'spanish pop', 'spanish rock']",66
0,Marea,5EBH204cwRkvAWknwTAjCQ,574731,"['punk urbano', 'spanish punk']",61
0,Mojinos Escozios,41vHguv5A56arhiVNrMW4z,122950,"['comic metal', 'spanish pop']",43
0,Estopa,5ZqnEfVdEGmoPxtELhN7ai,1717147,"['pop flamenco', 'rumba', 'spanish pop']",70
0,Los Fresones Rebeldes,7jnDSK1hbbcZdjapo2bHzY,20423,['spanish indie pop'],37
0,Zapato Veloz,27dPlYE29FxN9yIwpsVXYF,2493,[],27
0,Manolo Garcia,4eBTqTx5ssOK5YwmijmfU4,603952,"['cantautor', 'pop flamenco', 'rumba', 'spanish new wave', 'spanish pop']",59
0,Platero Y Tu,1fQt5j7DTPuAOjdbTYgWav,281718,"['punk urbano', 'spanish punk']",51
0,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,2799165,"['cantautor', 'spanish pop', 'trova']",69
0,Amparanoia,23xlCr6Espgfu0IQExvjU6,75625,['latin alternative'],40
0,Dusminguet,0ytmuycMJssz05Wn4WivBp,17118,"['rock catala', 'rumba catalana']",25
0,Thalia,23wEWD21D4TPYiJugoXmYb,4650441,"['latin pop', 'mexican pop']",69
0,Azucar Moreno,2WrKqjMRKr5MitNYaNgvl3,242119,"['spanish pop', 'spanish pop rock']",48
0,Elvis Crespo,1c22GXH30ijlOfXhfLz9Df,974972,"['latin pop', 'salsa', 'tropical']",65
0,Carlos Vives,4vhNDa5ycK0ST968ek7kRr,5911329,"['colombian pop', 'latin pop', 'vallenato']",74
0,Los Del Rio,2JXn03fudjyRkQ1Ye9f5rk,46998,['tropical'],57
0,Rafaga,0CBKUzrf6yGdTgxAQbUUHS,582066,"['cumbia chilena', 'cumbia villera']",63
0,Gloria Estefan,5IFCkqu9J6xdWeYMk5I889,693076,['new wave pop'],65
0,Ricky Martin,7slfeZO9LsJbWgpkIoXBUJ,7300707,"['latin pop', 'mexican pop', 'puerto rican pop']",74
0,Nek,5mXMQJHLLfym1KyNcDrhoZ,494615,"['europop', 'italian adult pop']",59
0,Dover,5kdLOinhQnlSk4su7U6lyW,110418,['spanish rock'],48
