,artist_name,artist_id,followers,genres,popularity
0,Loquillo,5Fv0DQ1ZBuc2DlidtOUCZr,305819,"['cantautor', 'rockabilly en espanol', 'spanish new wave', 'spanish pop', 'spanish rockabilly']",51
0,Mecano,5BMgsAFg8rZQc3tqs5BB8G,1571453,"['cantautor', 'latin alternative', 'latin pop', 'rock en espanol', 'spanish pop', 'spanish pop rock']",66
0,LOS NIKIS,6arRVLZ3vn5AXkuvp9JxbS,30970,['spanish new wave'],37
0,Polanski y el Ardor,42DaDfRKs3ZXH6oltXdwOk,4382,['spanish new wave'],17
0,Gabinete Caligari,112QHbB1xApqwVJR6n20xy,128569,"['spanish new wave', 'spanish pop']",45
0,Hombres G,60uh2KYYSCqAgJNxcU4DA0,3742648,"['latin alternative', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish rock']",71
0,Revolver,0U5P1naxYkkOsbHIGkVU9c,86929,"['cantautor', 'spanish new wave', 'spanish pop']",45
0,Los Secretos,2KEDbpUlz9nwtGywHT4gyf,405717,"['cantautor', 'latin arena pop', 'spanish new wave', 'spanish pop', 'spanish pop rock']",56
0,Seguridad Social,5UbMQUFrcJdDstPCza7y0B,137611,"['rock en espanol', 'spanish new wave', 'spanish pop']",50
0,The Refrescos,2dN0tlioLsFZ6319yNUNlX,10161,['spanish new wave'],37
0,Tino Casal,3PWELXN8Bl961nrQGPVk3u,100271,"['spanish new wave', 'spanish pop']",40
0,Miguel Bosé,7mWCSSOYqm4E9mB7V4ot6S,2422730,"['latin pop', 'mexican pop']",69
0,Celtas Cortos,3hIPQBm8PBt8B5aahP6cVP,242258,"['cantautor', 'celtic rock', 'latin alternative', 'musica pitiusa', 'spanish new wave', 'spanish pop']",52
0,Duncan Dhu,2MLHBMApNE5h8wIufiTPs7,655891,"['cantautor', 'latin alternative', 'latin rock', 'mexican rock', 'rock en espanol', 'spanish new wave', 'spanish pop']",60
0,Nacha Pop,1CdLG4i1rTEOsex2UE0jCH,316344,"['cantautor', 'latin alternative', 'mexican rock', 'rock en espanol', 'spanish new wave', 'spanish pop']",56
0,Tam Tam Go!,5S8JCEc9r5JQIOYAHngbCs,88916,"['indie extremena', 'spanish new wave', 'spanish pop', 'spanish pop rock']",41
0,Radio Futura,4qKJA8Cf8R44cMThP6q8KM,348921,"['cantautor', 'spanish new wave', 'spanish pop']",54
0,Antonio Flores,6GwZIG7UlxQR6n9kO8QlV6,200751,"['cantautor', 'rumba', 'spanish new wave', 'spanish pop']",51
0,Orquesta Mondragon,6d7LEKCmi5168sop16K9oI,65074,['spanish new wave'],38
0,Alaska Y Dinarama,2mDlFcPtgXtLF1gEshEInh,241227,"['spanish new wave', 'spanish pop', 'spanish synthpop']",55
0,Zombies,6ux3PhdqQ1cP8LZOpUvihc,5475,['spanish new wave'],32
0,Ejecutivos Agresivos,7jVf9vjqvnJA38xPXMWESY,3609,['spanish new wave'],17
0,La Unión,2Ax9wZpdlg4r2zkc3pcI8U,519790,"['cantautor', 'latin alternative', 'latin rock', 'mexican rock', 'rock en espanol', 'spanish new wave', 'spanish pop']",59
0,Loquillo Y Los Trogloditas,4EM1gc21UrYHQ3eal963Xl,236951,"['spanish new wave', 'spanish pop']",48
0,Miguel Ríos,1dpnxi6xgoB2kaRYnnoatZ,241372,"['cantautor', 'rock andaluz', 'spanish new wave', 'spanish pop', 'trova']",57
0,Alex Y Christina,0KCH1PXlG8girK5UrHIA4y,3970,['spanish new wave'],34
0,La Frontera,4WeIMVqCUH09dxtBsstIw3,81503,"['spanish new wave', 'spanish pop']",42
0,Paloma San Basilio,1QcwtcwAClkmeaVofZ4zUn,720183,"['cancion melodica', 'pop romantico']",47
0,Aerolineas Federales,006cVD18msU9HBrB4aNS5Z,19533,"['galician rock', 'spanish new wave']",29
0,Objetivo Birmania,6d88kdF9N4XWda5sc2yzul,14886,"['spanish new wave', 'spanish synthpop']",26
0,Luz Casal,1HUbv0v2f9HNE6qIbB35El,319707,"['cantautor', 'spanish new wave', 'spanish pop']",54
0,UN PINGUINO EN MI ASCENSOR,4A8tbqw9C0qukEXNuio2iN,20462,['spanish new wave'],31
0,Los Burros,1KViKM8dz7bVqn4QBtoTwD,23836,['spanish new wave'],32
0,Loquillo Y Los Intocables,3W5EpjyH0Mv1MXicKepdVt,2883,[],29
