,artist_name,artist_id,followers,genres,popularity
0,Soul Asylum,02da1vDJ2hWqfK7aJL6SJm,564528,"['alternative rock', 'grunge', 'permanent wave', 'pop rock', 'post-grunge']",56
0,Haddaway,0Suv0tRrNrUlRzAy8aXjma,302102,"['eurodance', 'europop']",65
0,Madonna,6tbjWDEIzxoDsBA1FuhfPW,6909644,"['dance pop', 'pop']",78
0,Vanilla Ice,7GXXMm3DB1VswVcuGyInUd,453768,['miami hip hop'],57
0,Sting,0Ty63ceoRnnJKVEYP0VQpk,2934035,"['permanent wave', 'soft rock', 'sophisti-pop']",71
0,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,3096351,"['canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'soft rock']",75
0,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,6607578,"['album rock', 'classic rock', 'mellow gold', 'rock']",76
0,Corona,26T6b8maqEVltcmE4kSDUl,190250,"['diva house', 'eurodance', 'europop', 'hip house']",61
0,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,5129342,"['rock drums', 'soft rock']",76
0,Lisa Stansfield,2jS7I1u7BpgWT9ssG62Zr1,656346,"['british soul', 'new romantic', 'new wave pop', 'synthpop']",55
0,Ian Devaney,6Ufm4BHf4ZdolpvcvYgH2S,600,[],49
0,Andy Morris,0A1FSG9WZ2dQ5JSkQYJHIp,840,[],48
0,Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,2592986,"['album rock', 'classic rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']",69
0,Milli Vanilli,3vRclCt9VnNhYIxFMQCxuM,320305,"['freestyle', 'new jack swing', 'new wave pop']",51
0,Technotronic,2Cd98zHVdZeOCisc6Gi2sB,249727,"['eurodance', 'hip house', 'new beat']",58
0,Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,2298531,"['dance pop', 'new wave pop', 'permanent wave', 'soft rock']",71
0,Laura Branigan,4463nfFMmK1cwAWBQDwT5e,628219,"['new romantic', 'new wave pop', 'soft rock', 'synthpop']",62
0,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,2801918,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'sophisti-pop', 'synthpop']",74
0,No Doubt,0cQbJU1aAzvbEmTuljWLlF,2495436,"['dance pop', 'dance rock', 'permanent wave', 'pop rock', 'rock']",68
0,Culture Club,6kz53iCdBSqhQCZ21CoLcc,1416490,"['album rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",64
0,Roxette,2SHhfs4BiDxGQ3oxqf0UHY,1967791,"['europop', 'swedish pop']",71
0,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,9162891,['dance pop'],77
0,Robbie Williams,2HcwFjNelS49kFbfvMxQYw,2660920,"['dance rock', 'europop']",71
0,INXS,1eClJfHLoDI4rZe5HxzBFv,2353683,"['australian rock', 'dance rock', 'funk rock', 'new romantic', 'new wave', 'rock']",70
0,Kid Travis,6UWui6Csqc1ywqnDzjOWnk,116517,[],58
