,artist_name,artist_id,followers,genres,popularity
0,La Oreja de Van Gogh,4U7lXyKdSf1JbM1aXvsodC,3318687,"['latin arena pop', 'latin pop', 'mexican pop', 'spanish pop', 'spanish pop rock']",73
0,El Canto Del Loco,5RK6c1tyaKpwcDpbgCGNgj,944622,"['latin arena pop', 'spanish pop', 'spanish pop rock']",65
0,Julieta Venegas,2QWIScpFDNxmS6ZEMIUvgm,1960211,"['latin alternative', 'latin pop', 'latin rock', 'rock en espanol']",74
0,Fito y Fitipaldis,1tZ99AnqyjgrmPwLfGU5eo,1814877,"['cantautor', 'latin rock', 'spanish pop', 'spanish rock']",66
0,Melendi,1EXjXQpDx2pROygh8zvHs4,3434046,"['spanish pop', 'spanish pop rock']",73
0,Estopa,5ZqnEfVdEGmoPxtELhN7ai,1719994,"['pop flamenco', 'rumba', 'spanish pop']",70
0,Shakira,0EmeFodog0BfCgMzAIvKQp,28744756,"['colombian pop', 'dance pop', 'latin pop', 'pop']",90
0,David Bisbal,5gOJTI4TusSENizxhcG7jB,4370904,"['latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock']",71
0,Nena Daconte,58ZTr51uERVdMQbfDbc5B3,157076,['spanish pop'],52
0,Amaral,4OkeTQCk0fvX6VBYpOOxDi,733861,"['latin arena pop', 'musica aragonesa', 'spanish pop', 'spanish pop rock', 'spanish rock']",59
0,Despistaos,0QE9iXPzgSaBq34OqIZ4n2,238545,"['latin arena pop', 'spanish pop', 'spanish pop rock']",56
0,Coti,1OUDQLymoysITxprkd0Qvj,283379,"['spanish pop', 'spanish pop rock']",62
0,Paulina Rubio,1d6dwipPrsFSJVmFTTdFSS,2706480,"['latin arena pop', 'latin pop', 'mexican pop']",67
0,Los Ronaldos,1OTnb625gMBm5NsLYAdUEm,118725,"['spanish new wave', 'spanish pop']",48
0,La Quinta Estacion,7FZj349hdLfD6qzXkJLuAh,2655449,"['latin arena pop', 'latin pop', 'spanish pop rock']",66
0,Alex Gargolas,7awyvLSthqOcL5A3hnR1pf,77980,"['reggaeton', 'reggaeton flow', 'urbano latino']",60
0,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,32534110,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",88
0,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,18775432,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",81
0,Juanes,0UWZUmn7sybxMCqrw9tGa7,4345121,"['colombian pop', 'latin pop', 'mexican pop', 'rock en espanol']",76
0,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,3414360,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",77
0,Cristian Castro,2AZOALDIBORfbzKTuliwdJ,2974886,"['latin arena pop', 'latin pop']",71
0,Pereza,6mfK6Q2tzLMEchAr0e9Uzu,445980,"['spanish indie pop', 'spanish pop', 'spanish pop rock', 'spanish rock']",58
0,Mägo de Oz,5ZNxiPcbKgaNcBrERMpqeu,3735123,"['celtic metal', 'latin rock', 'medieval rock', 'rock en espanol', 'spanish folk metal', 'spanish metal']",69
0,Fondo Flamenco,0YIhVMmaboWI25NVbZRkmo,452455,"['flamenco fusion', 'pop flamenco', 'rumba', 'spanish pop', 'spanish pop rock']",61
0,Los Delinquentes,38LYyZ9hZEEQeEfeYoydqd,307950,"['carnaval cadiz', 'flamenco', 'flamenco fusion', 'pop flamenco', 'rock andaluz', 'rumba']",55
0,El Barrio,0fM3rWsshliRFUmJlBP6QZ,1143226,"['pop flamenco', 'rock andaluz', 'rumba', 'spanish pop']",63
0,M-Clan,4oVqMVHC03xnYJ7fyb1dh6,302068,"['cantautor', 'spanish new wave', 'spanish pop']",53
0,Vetusta Morla,6J6yx1t3nwIDyPXk5xa7O8,694814,"['latin rock', 'rock alternativo espanol', 'spanish indie pop', 'spanish rock']",61
0,Amaia Montero,4LbuSjHhhAddvN44qXpRJo,1152126,"['latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock']",58
0,Miguel Bosé,7mWCSSOYqm4E9mB7V4ot6S,2426102,"['latin pop', 'mexican pop']",69
0,Bimba Bosé,0AkI71ECC3U8xmKMGMmkdK,506,[],42
0,Eros Ramazzotti,61J0BktHv7PuP3tjTPYXSX,1984398,"['italian adult pop', 'mexican pop']",70
0,Loquillo Y Los Trogloditas,4EM1gc21UrYHQ3eal963Xl,237342,"['spanish new wave', 'spanish pop']",48
