,artist_name,artist_id,followers,genres,popularity
0,Juanes,0UWZUmn7sybxMCqrw9tGa7,4345121,"['colombian pop', 'latin pop', 'mexican pop', 'rock en espanol']",76
0,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,7140691,"['latin pop', 'puerto rican pop']",71
0,Alexander Acha,3JkgQ8Jjwt2mkeOsg5yhqh,602290,"['latin arena pop', 'latin pop', 'mexican pop']",57
0,Natalia Lafourcade,1hcdI2N1023RvSwLzTtdsp,3930034,"['latin alternative', 'latin pop', 'mexican pop', 'rock en espanol', 'veracruz indie']",74
0,Zoé,6IdtcAwaNVAggwd6sCKgTI,5003934,"['latin alternative', 'latin rock', 'mexican rock', 'morelos indie', 'rock en espanol']",73
0,"Sasha, Benny y Erik",03FiyT61gVIy08oxFm6xZC,246170,[],50
0,"Ilse, Ivonne y Mimi",3d79GDviyp0nkS5hPDlBKX,18882,[],47
0,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,18775432,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",81
0,Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,11162545,"['dance pop', 'latin pop', 'mexican pop']",77
0,Descemer Bueno,5luyt0SUvGkDMY4ILP6Qhl,46573,['cubaton'],65
0,Gente De Zona,2cy1zPcrFcXAJTP0APWewL,1519854,"['cubaton', 'electro latino', 'latin hip hop', 'latin pop']",70
0,Shakira,0EmeFodog0BfCgMzAIvKQp,28744756,"['colombian pop', 'dance pop', 'latin pop', 'pop']",90
0,El Cata,52aHqEQZ802daFzuMHfcES,10429,[],57
0,Belanova,3oNy8cjBtJzLC07I70sklp,1209457,"['latin arena pop', 'latin pop', 'mexican pop']",68
0,Julieta Venegas,2QWIScpFDNxmS6ZEMIUvgm,1960211,"['latin alternative', 'latin pop', 'latin rock', 'rock en espanol']",74
0,Carla Morrison,0XK6kT7xcZAlcYrNjOgzJe,3639469,['mexican pop'],74
0,Kalimba,4RjamFQJNT8nVbTKXJDJgv,2030874,"['latin arena pop', 'latin pop', 'mexican pop']",61
0,Prince Royce,3MHaV05u0io8fQbZ2XPtlC,7708264,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",76
0,Jenny And The Mexicats,2faVKByk0IA651ICKyYYOa,219036,['latin alternative'],51
0,Jotdog,6rfFUodEv0dJxD1mKbDNdF,228014,"['latin alternative', 'latin arena pop', 'mexican rock']",48
0,Belinda,5LeiVcEnsZcwc133TUhJNW,1739299,"['latin arena pop', 'latin pop', 'mexican pop']",68
0,Pitbull,0TnOYISbd1XYRBk9myaseg,9963693,"['dance pop', 'miami hip hop', 'pop']",83
0,Camila,2gRP1Ezbtj3qrERnd0XasU,4002491,"['latin arena pop', 'latin pop']",71
