,artist_name,artist_id,followers,genres,popularity
0,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,20548132,['pop'],90
0,Harry Styles,6KImCVD70vtIoJWnq6nGn3,27266510,['pop'],89
0,Rosa Linn,46xBNx0j6cwY6sD9LgMTm1,256395,['alt z'],74
0,SZA,7tYKF4w9nC0nq9CsPZTHyP,12248123,"['pop', 'r&b', 'rap']",92
0,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,4528613,['australian hip hop'],82
0,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,71561569,"['canadian pop', 'pop']",90
0,Tom Odell,2txHhyCwHjUEpJjWrEyqyX,3086397,['chill pop'],78
0,Beyoncé,6vWDO969PvNqNYHIOW5v0m,34378911,"['pop', 'r&b']",86
0,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,12408903,['lgbtq+ hip hop'],80
0,Billy Ray Cyrus,60rpJ9SgigSd16DOAG7GSa,230939,['country rock'],64
0,Sia,5WUlDfRSoLAfcVSX1WnrxN,26112587,"['australian dance', 'australian pop', 'pop']",84
0,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,9370082,"['electro', 'filter house', 'rock']",82
0,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,4177801,"['dance pop', 'pop']",80
0,Nile Rodgers,3yDIp0kaq9EFKe07X1X2rz,103423,['disco'],70
0,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,30112580,"['dance pop', 'pop']",81
0,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,111566110,"['pop', 'uk pop']",91
0,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,1010322,[],75
0,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,22337143,"['hip hop', 'rap', 'slap house']",90
0,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,12312847,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",84
0,Calvin Harris,7CajNmpbOovFoOoasH2HaY,23356740,"['edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",87
0,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,39575682,"['dance pop', 'pop', 'uk pop']",87
0,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,13235572,"['hip pop', 'pop']",81
0,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,19351568,"['r&b', 'rap']",88
0,Kygo,23fqKkggKUBHNkbKtXEls4,8347910,"['edm', 'pop', 'pop dance', 'tropical house']",80
0,Conrad Sewell,1rw8ZTLnDHd74TWDDukjVi,109495,['australian pop'],61
0,RAYE,5KKpBU5eC2tJDzf0wmlRp2,866846,"['uk contemporary r&b', 'uk pop']",80
0,070 Shake,12Zk1DFhCbHY6v3xep2ZjI,461852,['new jersey rap'],78
0,Todd Edwards,6MFopqejpmTUUZlcRmGzgg,24626,"['garage house', 'uk garage']",52
0,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,20093986,"['electropop', 'pop', 'tropical house']",81
0,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,43679034,"['permanent wave', 'pop']",89
0,MAGIC!,0DxeaLnv6SyYk2DOqkLO8c,1309474,"['pop', 'reggae fusion']",67
0,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,47887424,"['dance pop', 'pop']",88
0,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,11276987,"['hip hop', 'rap']",89
0,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,4280999,['colombian pop'],86
