,artist_name,artist_id,followers,genres,popularity
0,The Mamas & The Papas,1bs7HoMkSyQwcobCpE9KpN,1530968,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock', 'sunshine pop']",68
0,Scott McKenzie,7d7AZ3CQC457bFhK0wHpSO,40887,[],51
0,Roy Orbison,0JDkhL4rjiPNEp92jAgJnS,1771907,"['adult standards', 'classic rock', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'singer-songwriter']",66
0,The Righteous Brothers,4b0WsB47XCa9F83BmwQ7WX,526741,"['adult standards', 'brill building pop', 'folk rock', 'rock-and-roll', 'rockabilly']",62
0,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,4084507,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']",73
0,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,12868507,"['album rock', 'british invasion', 'classic rock', 'rock']",79
0,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,8179410,"['rock-and-roll', 'rockabilly']",79
0,Eddie Cochran,1p0t3JtUTayV2wb1RGN9mO,304682,"['rock-and-roll', 'rockabilly']",53
0,Buddy Holly,3wYyutjgII8LJVVOLrGI0D,1185802,"['classic rock', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'singer-songwriter']",59
0,Little Richard,4xls23Ye9WR9yy3yYMpAMm,842759,"['blues', 'rock-and-roll', 'rockabilly', 'soul']",59
0,Jerry Lee Lewis,2zyz0VJqrDXeFDIyrfVXSo,801869,"['piano rock', 'rock-and-roll', 'rockabilly']",59
0,Ritchie Valens,5Y9xEAGW4GwGJgbiI6W85P,503393,"['rock-and-roll', 'rockabilly']",59
0,Bill Haley & His Comets,3MFp4cYuYtTZe3d3xkLLbr,286866,"['rock-and-roll', 'rockabilly']",54
0,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,5726483,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",80
0,The Zombies,2jgPkn6LuUazBoBk6vvjh5,877394,"['baroque pop', 'british invasion', 'classic rock', 'folk rock', 'psychedelic rock']",60
0,The Byrds,1PCZpxHJz7WAMF8EEq8bfc,911275,"['album rock', 'beatlesque', 'blues rock', 'british blues', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock']",58
0,The Drifters,1FqqOl9itIUpXr4jZPIVoT,467891,"['adult standards', 'doo-wop', 'rock-and-roll', 'rockabilly', 'soul']",60
0,Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,572669,"['adult standards', 'bubblegum pop', 'doo-wop', 'lounge', 'northern soul', 'rock-and-roll', 'rockabilly']",64
0,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,2375039,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock', 'singer-songwriter']",66
0,The Crickets,4r7JUeiYy24L7BuzCq9EjR,103969,"['doo-wop', 'rock-and-roll', 'rockabilly']",54
0,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,818903,"['adult standards', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",60
0,Chuck Berry,293zczrfYafIItmnmM3coR,1787758,"['blues', 'blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",66
0,Frankie Valli,3CDKmzJu6uwEGnPLLZffpD,240024,"['adult standards', 'bubblegum pop', 'lounge', 'rock-and-roll']",62
0,The Doors,22WZ7M8sxp5THdruNY3gXt,7192615,"['acid rock', 'album rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']",74
0,The Platters,6KWcxMWVNVIYbdOQyJtsSy,684438,"['adult standards', 'easy listening', 'rock-and-roll', 'rockabilly']",60
0,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,6252213,"['adult standards', 'easy listening', 'lounge']",76
0,Count Basie,2jFZlvIea42ZvcCw4OeEdA,327426,"['big band', 'harlem renaissance', 'jazz', 'jazz piano', 'swing', 'vocal jazz']",62
0,Nancy Sinatra,3IZrrNonYELubLPJmqOci2,399526,"['lounge', 'sunshine pop']",63
0,The Shirelles,0x83OBqixqdCHnStP5VMcn,277275,"['adult standards', 'classic girl group', 'doo-wop', 'motown', 'rock-and-roll', 'soul']",53
0,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,25211021,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",84
0,Neil Sedaka,5N6GwJzOcOY5kv8p0NjhYL,467055,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'rockabilly', 'soft rock']",57
0,Ben E. King,3plJVWt88EqjvtuB4ZDRV3,518669,"['rock-and-roll', 'soul']",65
0,Danny & The Juniors,6Ahm6X9wSKXitavOvu0XzY,41634,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",44
0,Los Bravos,7ewJCECkpkh56w0Y4VWzSY,44485,['spanish invasion'],43
0,Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,4604833,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",73
0,Ricky Nelson,73sSFVlM6pkweLXE8qw1OS,422551,"['adult standards', 'doo-wop', 'rock-and-roll', 'rockabilly']",57
0,The Hollies,6waa8mKu91GjzD4NlONlNJ,1077515,"['album rock', 'british invasion', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'soft rock']",63
0,The Monkees,320EPCSEezHt1rtbfwH6Ck,1073229,"['album rock', 'beatlesque', 'bubblegum pop', 'classic rock', 'folk rock', 'mellow gold', 'rock-and-roll', 'singer-songwriter', 'soft rock', 'sunshine pop']",64
0,Tom Jones,1T0wRBO0CK0vK8ouUMqEl5,830488,"['adult standards', 'british invasion']",65
0,George Harrison,7FIoB5PHdrMZVC3q2HE5MS,2417148,"['album rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",67
0,Shocking Blue,5WimOFbBnCU5wI6t5PPpEk,130381,['nederpop'],51
0,The Tokens,1GAJzApRTMmYZ9EjQ91VOy,32865,"['doo-wop', 'sunshine pop']",49
0,The Cascades,6qF0CJP412Gd50Rn1sFg2o,75547,['brill building pop'],49
0,The Troggs,57xdnSVt4ahJCIXYLieQ25,268327,"['british blues', 'british invasion']",51
0,Mike Laure,39vVl1HOIZwca5O4g8QQ8h,158451,['mexican rock-and-roll'],50
0,"Germán Valdés ""Tin Tan""",3UycXszmChrsTWhbmydyDZ,20261,['bolero mexicano'],46
0,Trios de Mexico,1iXvNC4dw6uoQz6cKA8Ths,20536,['bolero mexicano'],30
0,Compay Segundo,1dx48GQoWg5u6ssXmihkV2,256,[],45
0,The Manhattans,1DpIDwg8FGD50N9Tfunfsf,558256,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul']",51
0,Lou Rawls,1zJBFCev9UwOMcrZsLi2od,180703,"['disco', 'motown', 'philly soul', 'quiet storm', 'soul', 'soul blues']",53
0,MFSB,2mknvtcck8i82nKxDPDibv,74926,"['disco', 'instrumental soul', 'jazz funk', 'philly soul', 'post-disco']",40
0,The Three Degrees,2zpFG5cvw00QmrYTUsjApa,173674,"['classic girl group', 'disco', 'motown', 'philly soul']",50
