,artist_name,artist_id,followers,genres,popularity
0,Alice Deejay,2tbvDi9eXf9XXp06LupkED,116938,"['bouncy house', 'eurodance']",61
0,Sash!,5XTxV2ifoYkmNb13Gb6cKz,139329,"['eurodance', 'german techno']",60
0,Alexia,09ao6AC5gW8AxRBUVkqWIB,58930,"['classic greek pop', 'eurodance', 'italo dance']",45
0,Gigi D'Agostino,1OAjDaKgg00KCUYqDe68un,752857,"['eurodance', 'italo dance']",69
0,Guru Josh,0GWezHEUuBQvQM31OaWlS7,11595,[],41
0,La Bouche,488v7rQzthLNK22r0UvMie,244071,"['diva house', 'eurodance', 'europop', 'german techno']",64
0,Gala,3OqTvcWgb0xaainosGVvuZ,66840,"['eurodance', 'hip house', 'italo dance']",62
0,Robert Miles,2YVF0Ou5zIc4mpgtLIlGN0,178359,"['dream trance', 'eurodance', 'trance']",65
0,2 Eivissa,3gkV8EZ8pE0eCwyLeUNwzE,9605,"['eurodance', 'hip house', 'italo dance']",42
0,Eiffel 65,64rxQRJsLgZwHHyWKB8fiF,325424,"['eurodance', 'europop', 'italian adult pop', 'italo dance']",63
0,Sensity World,2FCTprdXrOxwCRgQokrMOC,2781,"['makina', 'ruta destroy']",34
0,Cher,72OaDtakiy6yFqkt4TsiFt,2936143,"['dance pop', 'pop']",69
0,Scatman John,4omQQTNN7ILiMsSB2k9eqX,125570,['eurodance'],54
0,Mr. President,7KBkgunlONG7LPxs93pgpp,120021,"['eurodance', 'europop', 'german techno']",57
0,Me & My,4FD9joiv6N5yWEnxxbyC59,21438,"['bubblegum dance', 'eurodance']",41
0,Corona,26T6b8maqEVltcmE4kSDUl,190250,"['diva house', 'eurodance', 'europop', 'hip house']",61
0,Tss Proyect,3UkX32YkRY0ZuKWGJ6Bg5N,1158,['italo beats'],25
0,Irantzu,3hlKhpMSsiLiMDpbLe7Ln9,299,[],22
0,Charly Lownoise & Mental Theo,5GLFbwgiU1YyAoQD8C4nvC,23769,"['bubble trance', 'happy hardcore', 'hardcore techno']",47
0,Coro,1rKi6kZNi8iUz2mMlaAwQ9,18374,['freestyle'],38
0,Taleesa,2Fh1UVBGudugIFPx2IoggP,13676,"['eurodance', 'hip house', 'italo dance']",40
0,2 Unlimited,18JD8DVlD1fakDAw7E9LFC,234921,"['eurodance', 'europop', 'hip house']",56
0,Dr. Alban,6BkcAbUkfIBM4XudxieMq8,207759,"['eurodance', 'europop', 'hip house']",62
0,Whigfield,0lHoDF96DNKSIcIpcOfMnq,116546,"['diva house', 'eurodance', 'europop']",55
0,G.E.M.,3c7p7nXw2bUkTGA0p5EfVn,1189,[],33
0,Captain Jack,1b81zU0IfjHE8krv2IZ0Hf,72191,"['eurodance', 'german techno']",50
0,Milk Inc.,2sgikskblKZFbDpsYO9anB,84526,"['belgian dance', 'eurodance']",48
0,Technotronic,2Cd98zHVdZeOCisc6Gi2sB,249727,"['eurodance', 'hip house', 'new beat']",58
0,Sky High,7Cv1U9wvW1HuxtJS0zo3xC,3220,[],19
0,New Limit,196ZlaBltrhUnXxtAUpflZ,8178,"['cantaditas', 'makina', 'ruta destroy']",39
0,Aqua,6kBjAFKyd0he7LiA5GQ3Gz,502155,"['bubblegum dance', 'dance pop', 'eurodance', 'europop']",63
0,Double Vision,6J4vIWJhZpQ0s1DC9Dn2qn,5307,"['belgian dance', 'eurodance', 'hip house']",33
0,Bellini,2CzPCLry0VHxB4JNva2du6,11636,[],51
0,Cascada,0N0d3kjwdY2h7UVuTdJGfp,479838,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']",67
0,Ace of Base,5ksRONqssB7BR161NTtJAm,670529,"['eurodance', 'europop', 'new wave pop']",65
0,SNAP!,2FrKQPjJe4pVMZOgm0ESOx,188933,"['diva house', 'eurodance', 'german techno', 'hip house']",61
0,Ice Mc,5wlyJXaam6QmyDn8qBLZx8,97283,['eurodance'],52
0,Cacao,3RBjHIjeNEgQTkq2e0xU6d,49,[],11
0,Ku Minerva,27t6SOpZQIUbD1uFvO4ho1,1939,['ruta destroy'],30
0,Twenty 4 Seven,39QjUR6m5slbxO36zayaMq,60858,"['eurodance', 'hip house']",41
0,Cappella,0NPwkUJRrRiWYdHpLXBkxg,61963,"['diva house', 'eurodance', 'hip house']",44
0,Ramirez,0wz61D3Pt8qo6lwBqSTHcG,605,[],24
0,Vengaboys,0cwmNvclzPd8mQnoHuIksj,401276,"['bubblegum dance', 'eurodance', 'europop']",63
0,Rozalla,2wnJCxpnKAagrdBJAvaDrQ,26834,['diva house'],43
0,MC Hammer,2rblp9fJo16ZPTcKDtlmKW,573914,['hip hop'],57
0,Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3049777,"['dance pop', 'girl group', 'pop']",69
0,Reel 2 Real,4AXX8UN3xaPrxHSqrgE3Ta,35076,"['eurodance', 'hip house']",50
0,The Mad Stuntman,2rC7eyIFrDIYnFsxsbSxF5,1025,[],50
0,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,27017161,"['r&b', 'soul']",83
0,Chimo Bayo,5v8i5bIYoqGgrh9SLpclfd,11323,"['makina', 'ruta destroy']",34
0,C & C Music Factory,7krx6UBDKLwE0q3s3fesqF,229514,"['diva house', 'eurodance', 'freestyle', 'hip house', 'new wave pop']",55
0,Playahitty,6zZWFyAqVLEWelkVuQRUCz,8947,"['eurodance', 'hip house']",48
0,Falco,0hLd40hVpRDGENe4KGZLnW,466016,"['austropop', 'german pop', 'neue deutsche welle']",60
0,No Doubt,0cQbJU1aAzvbEmTuljWLlF,2495436,"['dance pop', 'dance rock', 'permanent wave', 'pop rock', 'rock']",68
0,Cabballero,4d1voLc2lw2lwpIBTNUN7q,3708,"['deep eurodance', 'eurodance', 'hip house', 'makina']",31
0,Chiquetere Band,1S9LrT5VZA3T7HHr1qVTd8,1482,['ruta destroy'],17
0,49ers,6BWEqA4CdZageKtzch78Vs,4139,"['diva house', 'hip house', 'italo house']",26
0,DJ Sylvan,3xD7VDbIxB0Pli1m6eQAxG,1698,['ruta destroy'],30
0,Netzwerk,73gOadOI31tBLlsjbYYZbk,9064,"['eurodance', 'hip house', 'italo dance']",37
0,Galeotti M.,3TYqeELA0QoNm5206ay1Sy,62,[],34
0,Newton,4ePkEXGAFYetvqmFU2YZeb,2847,['ruta destroy'],35
0,Kate Ryan,47BNWfpngeFHYvBlPPyraM,78019,"['belgian pop', 'eurodance']",56
0,Kriss,2ICpdq6XH4igauS6tosVgH,598,[],27
0,High Density,60h5GuqF5kUp3B3wIojurs,291,['ruta destroy'],25
0,Pont Aeri,3jlq566oG3nXIG5HzPcc67,17890,['makina'],39
0,Double You,2x0mCNdW4P27f3WE0iuQTV,59654,['eurodance'],50
0,Ini Kamoze,1VJspRsoC6c0bvqhnSiFCs,131219,"['reggae', 'reggae fusion', 'roots reggae']",58
0,Salaam Remi,0rlS0SzVFk8BoiAW0fGBbN,27263,['hip hop'],63
0,2 Brothers On The 4th Floor,5wsBGjgRsASMggXLPF7pYm,96318,"['eurodance', 'hip house']",54
0,Dagon,5a2GBdQpO6RDZPBgxm6awk,315,[],27
0,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,6870966,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",85
0,Naeleck,2DYDFBqoaBP2i9XrTGpOgF,47233,['electro'],65
0,Inner Circle,5os0Ltvz8Q8BvXOPOd1frx,355534,"['reggae', 'reggae fusion']",60
0,DJ Sammy,4z4m1P0iX2nRSPDBEZ8LBT,82409,['eurodance'],53
0,Yanou,5SWX583ExJOL7cv8572Crs,2738,[],52
0,Do,7sQECgfT3RtfL0RZWK63Wg,29213,"['dutch pop', 'dutch rock']",54
