,artist_name,artist_id,followers,genres,popularity
0,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,54752804,"['barbadian pop', 'pop', 'urban contemporary']",91
0,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,8330852,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",85
0,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,20548132,['pop'],90
0,Nena Daconte,58ZTr51uERVdMQbfDbc5B3,157076,['spanish pop'],52
0,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,26207886,"['art pop', 'dance pop', 'pop']",86
0,Zahara,7uLePkJ2f0MwEcphODfkuu,224915,"['cantautor', 'spanish indie pop', 'spanish rock']",53
0,Taylor Swift,06HL4z0CvFAxyc27GXpf02,73091578,['pop'],100
0,Amy Macdonald,1hJuGCUpefX24GFmss9bjH,453972,['scottish singer-songwriter'],64
0,Paulina Rubio,1d6dwipPrsFSJVmFTTdFSS,2706480,"['latin arena pop', 'latin pop', 'mexican pop']",67
0,Vanessa Carlton,5ILrArfIV0tMURcHJN8Q07,585761,"['lilith', 'neo mellow', 'piano rock', 'pop rock', 'post-teen pop']",63
0,Pixie Lott,3EBRANWwnViQuBrImN61Z1,969007,"['dance pop', 'post-teen pop', 'talent show']",48
0,The Pussycat Dolls,6wPhSqRtPu1UhRCDX5yaDJ,5390703,"['dance pop', 'girl group', 'pop']",70
0,Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,2394402,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",72
0,Chenoa,0i3ypO6G38iZmANDHWZxlY,414012,"['latin pop', 'spanish pop', 'spanish pop rock']",48
0,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,10643962,"['neo soul', 'pop', 'r&b']",78
0,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,7407761,"['dance pop', 'pop', 'pop rap']",81
0,Beyoncé,6vWDO969PvNqNYHIOW5v0m,34378911,"['pop', 'r&b']",86
0,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,8392307,"['british soul', 'neo soul']",76
0,Coti,1OUDQLymoysITxprkd0Qvj,283379,"['spanish pop', 'spanish pop rock']",62
0,Julieta Venegas,2QWIScpFDNxmS6ZEMIUvgm,1960211,"['latin alternative', 'latin pop', 'latin rock', 'rock en espanol']",74
0,Gisela,6SxnKPhYvkTKp2FtBzh6CI,12741,"['musica andorra', 'spanish pop']",40
0,Noisettes,6oX4tx055oEFYM3ahDTyOD,105768,['british soul'],50
0,RBD,7cjh6y0V9SsyCrWSXTzwOs,1710592,['latin pop'],70
0,Anahí,0TeVa4xdLB8vdzjsvKH6Ri,735521,['latin pop'],70
0,Dulce María,6kaefrHSdAvxhhCVDFTCEL,708568,['latin arena pop'],70
0,Maite Perroni,6ModsWtBph2rE6zCTVxvZt,1235233,"['latin pop', 'mexican pop']",70
0,Christian Chávez,0aMqt2uGLuHj4eI8oXgVzN,164612,['mexican pop'],70
0,Christopher von Uckermann,5O8cudluftNZ6PCwRzvYxo,127189,['mexican pop'],70
0,Alfonso Herrera,0veZkZPeWoJQ9gt6VAXlkN,4606,[],70
0,Stromae,5j4HeCoUlzhfWtjAfM1acR,2968432,"['belgian pop', 'g-house']",73
0,David Bisbal,5gOJTI4TusSENizxhcG7jB,4370904,"['latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock']",71
0,Keane,53A0W3U0s8diEn9RhXQhVz,2927709,"['neo mellow', 'piano rock', 'pop rock']",74
0,Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp,2812845,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']",68
0,Manuel Carrasco,7qAoXV4U0qDxQAUqhszjAA,2044486,"['carnaval cadiz', 'pop flamenco', 'spanish pop']",66
0,Malú,3TLGNOdp1UWYMnV5XG9HkR,1636395,"['latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock']",61
0,Daniel Zueras,36ReRBxQqpu2EmFzsw4ujx,1286,['spanish pop rock'],20
0,Juanes,0UWZUmn7sybxMCqrw9tGa7,4345121,"['colombian pop', 'latin pop', 'mexican pop', 'rock en espanol']",76
0,Juan Magán,1ackd5XprZEkH3McKbQD51,1750177,"['electro latino', 'spanish pop']",69
0,50 Cent,3q7HBObVc0L8jNeTe5Gofh,10949770,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",84
0,Katy Perry,6jJ0s89eD6GaHleKKya26X,26633954,['pop'],85
0,Hoobastank,2MqhkhX4npxDZ62ObR5ELO,2329711,"['alternative metal', 'funk metal', 'nu metal', 'pop rock', 'post-grunge']",67
0,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,11010414,"['latin pop', 'puerto rican pop']",75
0,t.A.T.u.,2Q3eZMfDQgT8MhPowKFXYO,749721,"['dance pop', 'europop', 'girl group']",64
0,Antonio Orozco,1ADdpen72RPuafRcv0YRBf,1333295,"['pop flamenco', 'spanish pop']",62
0,D12,5Qi4Bb7a8C0a00NZcA77L0,2812513,"['detroit hip hop', 'gangster rap', 'hip hop']",66
0,Robbie Williams,2HcwFjNelS49kFbfvMxQYw,2660920,"['dance rock', 'europop']",71
0,Coyote Dax,5suCFlGHpWS0iXRzNbHV6V,2100,[],23
0,Evanescence,5nGIFgo0shDenQYSE0Sn7c,3814893,['alternative metal'],72
0,Selena Leo,2UHjCHmj8bcafgnYwrBjrI,290,[],15
0,Lori Meyers,3mOsjj1MhocRVwOejIZlTi,262543,"['granada indie', 'spanish indie pop']",55
0,Bustamante,1VfKauu6JYTUrApbJXU0zo,546898,['spanish pop'],45
0,Alex,5ZR8tR5l15gAdIwtf1tIjB,147,[],37
0,The Offspring,5LfGQac0EIXyAN8aUwmNAQ,4995596,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",77
0,Jack Johnson,3GBPw9NK25X1Wt2OUvOwY3,3615669,['neo mellow'],77
0,María Isabel,0oSfTqDPZq2WVyFN5iouCf,50751,['spanish pop'],40
0,Carla Bruni,1HVwzNriKEjaeE06okqSpx,493201,['chanson'],61
0,MIKA,5MmVJVhhYKQ86izuGHzJYA,1315471,[],67
0,U2,51Blml2LZPmy7TTiAg47vQ,11021774,"['irish rock', 'permanent wave', 'rock']",79
0,Sophie Ellis-Bextor,2cBh5lVMg222FFuRU7EfDE,379869,"['dance pop', 'europop', 'new wave pop']",59
0,Taio Cruz,6MF9fzBmfXghAz953czmBC,2226043,"['dance pop', 'pop', 'pop rap']",70
0,L.A.,7BaLRZPbaTkb3ZgxLc5eFs,52163,['spanish indie pop'],40
0,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,19945363,"['chicago rap', 'hip hop', 'rap']",91
0,Sonia Y Selena,0wWRxCuyckZOJQVEGqE1f8,15920,['spanish pop'],38
0,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,6335028,"['baroque pop', 'modern rock', 'uk alternative pop']",77
0,Lady A,32WkQRZEVKSzVAAYqukAEA,3742530,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",68
0,Norah Jones,2Kx7MNY7cI1ENniW7vT30N,2962017,"['contemporary vocal jazz', 'jazz pop', 'vocal jazz']",73
0,Zucchero,2KftmGt9sk1yLjsAoloC3M,887410,"['italian adult pop', 'italian pop rock']",62
0,Mala Rodríguez,3Ces1OJeGOVGcUB0wPaPXJ,525940,"['latin hip hop', 'rap latina']",57
0,La Mosca Tse-Tse,60nua3AsVSfADZtg5Hdz3W,489215,"['latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",63
0,Timbaland,5Y5TRrQiqgUO4S36tzjIRZ,2501304,"['dance pop', 'pop', 'pop rap']",78
0,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,15474641,"['piano rock', 'pop']",84
0,Corinne Bailey Rae,29WzbAQtDnBJF09es0uddn,726347,"['british soul', 'neo soul', 'pop soul', 'soul']",64
0,Duffy,37NqXwtb6nIEqRt4EJSoIO,925418,['british soul'],60
0,Kaiser Chiefs,0LbLWjaweRbO4FDKYlbfNt,1249882,"['modern rock', 'rock']",60
0,Travis,3bUwxJgNakzYKkqAVgZLlh,1020063,['britpop'],60
0,Owl City,07QEuhtrNmmZ0zEcqE9SF6,2347076,"['indietronica', 'pop']",70
0,Weezer,3jOstUTkEu2JkjvRdBA5Gu,3078241,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",73
0,Nach,66ArjpKRgw8vYBf9yhktto,818989,"['rap conciencia', 'spanish hip hop']",59
0,Rosario,05xSLrRgGwm2nCH2SmnNMW,728606,"['cantautor', 'spanish pop']",62
0,Kate Ryan,47BNWfpngeFHYvBlPPyraM,78019,"['belgian pop', 'eurodance']",56
0,Merche,27a2VPd27oQbqE2TdiZVTo,285516,"['latin arena pop', 'pop flamenco', 'spanish pop', 'spanish pop rock']",45
0,Cheryl,3NyNPJaemMYsL14DK2tO01,564529,"['dance pop', 'post-teen pop', 'talent show']",53
0,Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,3515617,"['dance pop', 'neo soul', 'r&b', 'urban contemporary']",71
0,Cascada,0N0d3kjwdY2h7UVuTdJGfp,479838,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']",67
0,Safri Duo,2UOx6w3eHpPKc3RBnNV3Rl,117099,['eurodance'],55
0,Scissor Sisters,3Y10boYzeuFCJ4Qgp53w6o,503540,"['dance pop', 'dance rock']",61
0,The Killers,0C0XlULifJtAgn6ZNCW2eu,6961451,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",77
0,Diana Krall,5z1VAFwT35EVvCp1XlZZuL,1036525,"['contemporary vocal jazz', 'jazz pop', 'vocal jazz']",64
0,Maroon 5,04gDigrS5kc9YWfZHwBETP,40360028,['pop'],86
0,Westlife,5Z1CCuBsyhEHngq3U5IraY,3606025,['boy band'],70
0,Sugababes,7rZNSLWMjTbwdLNskFbzFf,656302,"['dance pop', 'europop', 'girl group', 'talent show']",60
0,Empire of the Sun,67hb7towEyKvt5Z8Bx306c,1280386,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']",72
0,Eminem,7dGJo4pcD2V6oG8kP0tJRR,69768638,"['detroit hip hop', 'hip hop', 'rap']",92
0,Akon,0z4gvV4rjIZ9wHck67ucSV,3720063,['dance pop'],81
0,Bon Jovi,58lV9VcRSjABbAbfWS6skp,12147410,"['glam metal', 'rock']",78
0,Fergie,3r17AfJCCUqC9Lf0OAc73G,5420315,"['dance pop', 'pop']",70
0,Hanna,36aQoK1IYkIgSc6gqjfZt7,15596,['spanish pop rock'],28
0,Gabrielle,7rftfGIYEeZ79sLb58ZBDi,244452,"['british soul', 'europop', 'new wave pop']",58
0,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,3414360,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",77
