song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Estoy por ti,Amistades Peligrosas,1991,False,spotify:track:2NCw456Y6nu6RgPotF5tDG,48,oid6yv3v6mpo5t94nn5bqblvq,https://open.spotify.com/track/2NCw456Y6nu6RgPotF5tDG,15FscPIs0VO23BCCMaPglf,0.635,0.718,0,-9.626,0,0.0281,0.225,0.0,0.133,0.573,98.006,audio_features,2NCw456Y6nu6RgPotF5tDG,spotify:track:2NCw456Y6nu6RgPotF5tDG,https://api.spotify.com/v1/tracks/2NCw456Y6nu6RgPotF5tDG,https://api.spotify.com/v1/audio-analysis/2NCw456Y6nu6RgPotF5tDG,284067,4
Vivimos siempre juntos (feat. Mercedes Ferrer),Nacho Cano,1996-10-14,False,spotify:track:6ijh6CO529euKaq3YfSuCZ,54,oid6yv3v6mpo5t94nn5bqblvq,https://open.spotify.com/track/6ijh6CO529euKaq3YfSuCZ,3sNPNZwXgDcCY71Jqa7kMe,0.729,0.709,9,-9.166,1,0.0258,0.335,0.000288,0.0918,0.701,117.693,audio_features,6ijh6CO529euKaq3YfSuCZ,spotify:track:6ijh6CO529euKaq3YfSuCZ,https://api.spotify.com/v1/tracks/6ijh6CO529euKaq3YfSuCZ,https://api.spotify.com/v1/audio-analysis/6ijh6CO529euKaq3YfSuCZ,255200,4
Vivimos siempre juntos (feat. Mercedes Ferrer),Nacho Cano,1996-10-14,False,spotify:track:6ijh6CO529euKaq3YfSuCZ,54,oid6yv3v6mpo5t94nn5bqblvq,https://open.spotify.com/track/6ijh6CO529euKaq3YfSuCZ,6iIXnmfNddiSobGZBeCzKP,0.729,0.709,9,-9.166,1,0.0258,0.335,0.000288,0.0918,0.701,117.693,audio_features,6ijh6CO529euKaq3YfSuCZ,spotify:track:6ijh6CO529euKaq3YfSuCZ,https://api.spotify.com/v1/tracks/6ijh6CO529euKaq3YfSuCZ,https://api.spotify.com/v1/audio-analysis/6ijh6CO529euKaq3YfSuCZ,255200,4
Vivimos siempre juntos (feat. Mercedes Ferrer),Mercedes Ferrer,1996-10-14,False,spotify:track:6ijh6CO529euKaq3YfSuCZ,54,oid6yv3v6mpo5t94nn5bqblvq,https://open.spotify.com/track/6ijh6CO529euKaq3YfSuCZ,3sNPNZwXgDcCY71Jqa7kMe,0.729,0.709,9,-9.166,1,0.0258,0.335,0.000288,0.0918,0.701,117.693,audio_features,6ijh6CO529euKaq3YfSuCZ,spotify:track:6ijh6CO529euKaq3YfSuCZ,https://api.spotify.com/v1/tracks/6ijh6CO529euKaq3YfSuCZ,https://api.spotify.com/v1/audio-analysis/6ijh6CO529euKaq3YfSuCZ,255200,4
Vivimos siempre juntos (feat. Mercedes Ferrer),Mercedes Ferrer,1996-10-14,False,spotify:track:6ijh6CO529euKaq3YfSuCZ,54,oid6yv3v6mpo5t94nn5bqblvq,https://open.spotify.com/track/6ijh6CO529euKaq3YfSuCZ,6iIXnmfNddiSobGZBeCzKP,0.729,0.709,9,-9.166,1,0.0258,0.335,0.000288,0.0918,0.701,117.693,audio_features,6ijh6CO529euKaq3YfSuCZ,spotify:track:6ijh6CO529euKaq3YfSuCZ,https://api.spotify.com/v1/tracks/6ijh6CO529euKaq3YfSuCZ,https://api.spotify.com/v1/audio-analysis/6ijh6CO529euKaq3YfSuCZ,255200,4
Cuando Brille el Sol,La Guardia,1990-07-06,False,spotify:track:3BNy8c9gYaL63nL5DKHFMU,57,oid6yv3v6mpo5t94nn5bqblvq,https://open.spotify.com/track/3BNy8c9gYaL63nL5DKHFMU,5UYbCAN2H4Yr4f46tN5AeD,0.505,0.731,7,-11.379,1,0.0374,0.0326,4.14e-05,0.174,0.93,169.79,audio_features,3BNy8c9gYaL63nL5DKHFMU,spotify:track:3BNy8c9gYaL63nL5DKHFMU,https://api.spotify.com/v1/tracks/3BNy8c9gYaL63nL5DKHFMU,https://api.spotify.com/v1/audio-analysis/3BNy8c9gYaL63nL5DKHFMU,224000,4
Veneno en la Piel,Radio Futura,1990-03-20,False,spotify:track:4oCGALJSQZxLnsnPPgShln,57,oid6yv3v6mpo5t94nn5bqblvq,https://open.spotify.com/track/4oCGALJSQZxLnsnPPgShln,4qKJA8Cf8R44cMThP6q8KM,0.692,0.797,2,-11.34,1,0.0266,0.0565,0.000113,0.12,0.973,139.498,audio_features,4oCGALJSQZxLnsnPPgShln,spotify:track:4oCGALJSQZxLnsnPPgShln,https://api.spotify.com/v1/tracks/4oCGALJSQZxLnsnPPgShln,https://api.spotify.com/v1/audio-analysis/4oCGALJSQZxLnsnPPgShln,222013,4
Quiero tener tu presencia,Seguridad Social,1993,False,spotify:track:3f2k0XTc2ZXG17jEMDu8pp,62,oid6yv3v6mpo5t94nn5bqblvq,https://open.spotify.com/track/3f2k0XTc2ZXG17jEMDu8pp,5UbMQUFrcJdDstPCza7y0B,0.741,0.816,4,-5.597,1,0.0797,0.0211,0.0,0.0981,0.574,146.075,audio_features,3f2k0XTc2ZXG17jEMDu8pp,spotify:track:3f2k0XTc2ZXG17jEMDu8pp,https://api.spotify.com/v1/tracks/3f2k0XTc2ZXG17jEMDu8pp,https://api.spotify.com/v1/audio-analysis/3f2k0XTc2ZXG17jEMDu8pp,220626,4
Lo echamos a suertes,Ella Baila Sola,1996,False,spotify:track:1EBYkBMIU9nWRCLsot4DN2,59,oid6yv3v6mpo5t94nn5bqblvq,https://open.spotify.com/track/1EBYkBMIU9nWRCLsot4DN2,6xvRfsmnwd0qcDUomtlmAt,0.616,0.786,2,-4.778,1,0.0271,0.395,1.04e-06,0.154,0.455,89.091,audio_features,1EBYkBMIU9nWRCLsot4DN2,spotify:track:1EBYkBMIU9nWRCLsot4DN2,https://api.spotify.com/v1/tracks/1EBYkBMIU9nWRCLsot4DN2,https://api.spotify.com/v1/audio-analysis/1EBYkBMIU9nWRCLsot4DN2,237907,4
Desesperada,Marta Sánchez,1993-01-01,False,spotify:track:20WaSPMyeIO7NntPpn1FM5,66,oid6yv3v6mpo5t94nn5bqblvq,https://open.spotify.com/track/20WaSPMyeIO7NntPpn1FM5,368rTiMKMrz3b03az6B14w,0.772,0.935,6,-4.805,0,0.0732,0.00871,7.62e-06,0.063,0.867,98.226,audio_features,20WaSPMyeIO7NntPpn1FM5,spotify:track:20WaSPMyeIO7NntPpn1FM5,https://api.spotify.com/v1/tracks/20WaSPMyeIO7NntPpn1FM5,https://api.spotify.com/v1/audio-analysis/20WaSPMyeIO7NntPpn1FM5,227733,4
